000	The Basic Cat<br><br>	Charm point: muscle definition.<br>Basic Cat.<br>	Charm point: muscle definition.<br>Added charm point: beautiful hair.<br>
363	Joining the fight from Fate/stay night [HF]! Seeks<br>the Holy Grail with her summoned Archer. Chance<br>to knockback Aliens/Zombies, with Area Attack!	Joining the fight from Fate/stay night [HF]! Classmate<br>of Shirou, heir to the Tohsaka lineage. Chance<br>to knockback Aliens/Zombies, with Area Attack!	
364	Joining the fight from Fate/stay night [HF]! With<br>Berserker at her command, she is ready for battle.<br>Chance to Slow Red/Metal, with Area Attack!	Joining the fight from Fate/stay night [HF]! Guardian<br>of the Einzbern family's honorable name.<br>Chance to Slow Red/Metal, with Area Attack!	
365	Joining the fight from Fate/stay night [HF]! His bow<br>is pledged to his Master, Rin Tohsaka. Immune to<br>Wave Damage, with Long-range Area Attack!	Joining the fight from Fate/stay night [HF]! His<br>enmity for Shirou is still a mystery. Immune to<br>Wave Damage, with Long-range Area Attack!	
366	Joining the fight from Fate/stay night [HF]! His<br>spear is pledged to an unknown Master.<br>100% chance to break Barriers! (Area Attack)	Joining the fight from Fate/stay night [HF]! Agility<br>which rivals even Saber's is his point of pride.<br>100% chance to break Barriers! (Area Attack)	
367	Joining the fight from Fate/stay night [HF]! Her<br>dagger is pledged to her Master, Shinji Matou.<br>Freezes Angels with Area Attacks!	Joining the fight from Fate/stay night [HF]!<br>Excellent  mobility, expert in barrier magecraft.<br>Freezes Angels with Area Attacks!	
368	Joining the fight from Fate/stay night [HF]! Inscrutible<br>young man with an air of invincibility. Long-range<br>Area atttacks gets stronger after taking damage!	Joining the fight from Fate/stay night [HF]! 8th<br>incarnation of a Spirit that shouldn't exist. Long-<br>range atttacks gets stronger after taking damage!	
369	Golden-haired swordscat who appeared one<br>fated night. Building strength by training with<br>a bamboo blade. Strong vs. Floating.	Swordscat who dreams of being called by<br>a worthy Master. Maintains a calm<br>demeanor always. Strong vs. Floating.	Despairing of never being summoned, this<br>Heroic Spirit has wreathed herself in darkness.<br>Strong vs. Floating, immune to negative effects.
370	Healthy and capable Cat filled with dreams.<br>Fine Western-style cuisine is her talent.<br>Has a small chance of Critical Strike.	Refining her household skills day by day.<br>Every morning must start with a proper greeting.<br>Has a small chance of Critical Strike.	She expresses her boundless hope in her cooking.<br>Her overflowing optimism is unmistakable!<br>Chance of Critical Strike and Metal knockback.
371	An Cat possessing elegance unrivaled at her<br>school. Beauty extends to behavior befitting<br>an honor student. Might knockback Aliens.	Endlessly seeks to improve on herself.<br>Lashes out when she feels her weakness<br>might be exposed. Might knockback Aliens.	
372	An uncanny Cat with silver hair and red eyes.<br>Once tried to care for a small bird.<br>Might Slow Red enemies.	Inheritor of the blood of a venerable House.<br>Recently purchased new winter clothes.<br>Might Slow Red enemies.	
373	Joining the fight from Fate/stay night [HF]!<br>Dreams of defending justice like his adopted<br>father. Tough vs. Black enemies.	Joining the fight from Fate/stay night [HF]!<br>Joined the Holy Grail War after summoning<br>his Servant, Saber. Tough vs. Black enemies.	
374	Joining the fight from Fate/stay night [HF]!<br>Admires Shirou, takes care of the Emiya<br>household. Area Attacks might Critical.	Joining the fight from Fate/stay night [HF]! "If I<br>became a bad person, would you forgive me?"<br>Area Attacks might Critical.	
375	An invaluable collectors item!<br>Only 9 billion were produced!<br>	A memorial item imbued with Cat<br>gratitude. Every third Coin Cat earns<br>you... another Coin Cat.	
376	The first Cat probe produced by NYASA.<br>Built to resist extraterrestrial attacks, with<br>Warp Blocking and tough defense vs Aliens.	Cutting edge NYASA Cat probe. Transmission<br>power is so advanced that it even gets the dirty<br>channels. Tough vs Aliens, with Warp Blocking.	Experimental NYASA satellite made for remote<br>observation of areas as far as the corner store.<br>Tough vs Aliens, with Warp Blocking.
377	Invincible swordscat unbeaten in 400 matches.<br>Has to use his left hand to actually feel<br>challenged. 100% chance of breaking Barriers.	Decided to try a new form of swordplay, but<br>can't quite make the switch from his original<br>specialty. 100% chance of breaking Barriers.	Retired from competition to enter the tourism<br>industry. Everyone uses him as a meeting spot.<br>100% chance of breaking Barriers.
378	Mitama has been betrayed by this cruel world<br>and has embraced darkness. (Long Range Atk)<br>Tough vs traitless enemies, 100% Slow chance.	Like a widow mourning her lost love, she is<br>trapped within her memories. (Long Range Atk)<br>Tough vs traitless, 100% Slow/Weaken chance.	
379	Feared as the Queen of the Community Center.<br>Her spikes routinely knock her rivals unconscious.<br>Long Range attacks might unleash a Critical!	Primadonna called the Rose of the Repertory.<br>Soars through the sky and lands like a javelin.<br>Long Range attacks might unleash a Critical!	Masterful chef called the Prince of Spices.<br>Metal enemies can't stand the powerful flavor.<br>Long Range attacks might unleash a Critical!
380	A spunky young soldier with a lot to prove.<br>But even he doesn't know his own strength.<br>Extra damage to any traited enemy. (Long Range)	With his razor-sharp blade and unbreakable<br>spirit, he'll risk it all to protect his comrades.<br>Extra damage to any traited enemy. (Long Range)	
381	A humble cat who grows tasty things to make others<br>happy. Selected for the Cat Army from many others.<br>Collects extra money when defeating enemies.	Heard that the turnip market was booming. Time to<br>profit off her crops! A respected Cat Army veteran.<br>Collects extra money when defeating enemies.	
382	Made of fragile stuff, but his heart is sturdy!<br>You only get one chance at life, so go for it!<br>Only attacks once, slows traitless enemies.	Made using slightly more durable glass, but<br>it still doesn't have much effect on the battlefield.<br>Only attacks once, slows traitless enemies.	His body has been perfectly polished to shine<br>eternally. Lets live forever in radiant glory!<br>Knockback/Slow vs Traitless (Single Attack)
383	Joined the Cat Army, saying "The law of my clan<br>is to serve the strongest of warriors!" Cool story,<br>bro. Powerful long-range area attacks!	Remade his holy mask in the image of his new<br>Cat Army comrades. It really embarrasses his<br>12-year old daughter. Long-range area attacks.	
384	Dropping in from PowerPro Baseball!<br>This manager plays it cool, but actually has a heart of gold.<br>Chance to knockback Red enemies.	Dropping in from PowerPro Baseball!<br>An aikido blackbelt with catlike reflexes.<br>Chance to knockback Red enemies.	
385	Dropping in from PowerPro Baseball!<br>No one can outrun this speedy outfielder!<br>	Dropping in from PowerPro Baseball!<br>Ends every sentence with "Donchaknow?"<br>	Dropping in from PowerPro Baseball!<br>Might love robot anime even more than baseball.<br>Area attacks release waves of destruction.
386	Dropping in from PowerPro Baseball!<br>Blesses all players with her maternal care.<br>Chance to weaken Angel enemies.	Dropping in from PowerPro Baseball!<br>Always puts others' needs before her own.<br>Chance to weaken Angel enemies.	
387	Dropping in from PowerPro Baseball!<br>A bright and energetic manager.<br>Tough defense vs. Alien enemies.	Dropping in from PowerPro Baseball!<br>No one can motivate a player like her!<br>Tough defense vs. Alien enemies.	
388	Dropping in from PowerPro Baseball!<br>Eager manager who's always two steps behind the hero.<br>Chance to knockback Zombies.	Dropping in from PowerPro Baseball!<br>Her devotion is just a bit too much sometimes.<br>Chance to knockback Zombies.	
389	Dropping in from PowerPro Baseball!<br>Openminded and cheerful team manager.<br>Chance to freeze Floating enemies.	Dropping in from PowerPro Baseball!<br>Better than anyone at resolving personality conflicts.<br>Chance to freeze Floating enemies.	
390	Dropping in from PowerPro Baseball!<br>So bad at cooking she could burn water.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Her flaw is too much earnest naivete.<br>Massive anti-Alien area damage.	Dropping in from PowerPro Baseball!<br>Secretly Aoi Hayakawa.<br>Massive anti-Alien long-range area damage.
391	Dropping in from PowerPro Baseball!<br>A tomboy pitcher determined to win!<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Has a real sweet tooth, and loves pudding.<br>Massive anti-Angel area damage.	Dropping in from PowerPro Baseball!<br>Proudly sports the Tachibana Group logo.<br>Massive anti-Angel area damage.
392	Dropping in from PowerPro Baseball!<br>A rookie catcher with unparalleled game sense.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>From a temple family, loves Buddhist cooking.<br>Strong vs. Zombies.	Dropping in from PowerPro Baseball!<br>Proudly wears a temple name on her chest.<br>Strong vs. Zombies, with Area Attacks.
393	Dropping in from PowerPro Baseball!<br>Popular player with many female fans.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Has a small complex about being unfeminine.<br>Area attacks slow Floating/Black.	Dropping in from PowerPro Baseball!<br>Eventually was won over by the rhythm!<br>Area attacks slow Floating/Black.
394	Dropping in from PowerPro Baseball!<br>Attractive, popular, and skilled.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>Dreams of making it all the way to the series final.<br>Strong vs. Red/Angels (Long-range/Area Atk)	Dropping in from PowerPro Baseball!<br>New pitch has the cosmic power of a black hole!<br>Strong vs. Red/Angels (Long-range/Area Atk)
395	Dropping in from PowerPro Baseball!<br>Reliable and respected shortstop.<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>No worries about seeming boyish if it helps to win!<br>Area attack power increases after taking damage.	Dropping in from PowerPro Baseball!<br>Just between us, it's Miyabi... Immune to Waves.<br>Attack power increases after taking damage.
396	First emperor and founder of the Dragon dynasty.<br>Who knows what overwhelming power he holds?<br>Long-range attacks, strong vs Aliens and Zombies.	Has cultivated his strength for millennia, only<br>growing ever more powerful in his old age.<br>Long-range attacks, strong vs Aliens and Zombies.	An unholy relic has undone the seals that kept his<br>true might in check. Resist and meet your doom.<br>Long-range attacks, strong vs Aliens and Zombies.
397	A totally average schoolgirl who likes bubble<br>tea and vanquishing demons. Tough vs. Metal,<br>Critical attacks slow & weaken Metal enemies.	It's tough to balance club activities and defending<br>the sacred legacy of your clan. Tough vs. Metal,<br>Critical attacks slow & weaken Metal enemies.	
398			
399	Dropping in from MENTORI! Trust me,<br>talking to it is more trouble than it's worth..<br>Tough vs Floating Enemies	Dropping in from MENTORI! This weird<br>bird specializes in obnoxious interjections.<br>Tough vs Floating Enemies	
400	Dropping in from MENTORI! Mentori's sharp-<br>tongued kid sis is never not macho!<br>Chance of Critical attacks.	Dropping in from MENTORI! Just at that<br>age when it's all sarcasm all the time.<br>Chance of Critical attacks.	
401	Cosmic thunder, brought to life!<br>Summons lightning for a chance<br>to freeze Aliens with Area attacks.	With lightning that rends the sky,<br>it annihilates enemy Barriers. Tough vs<br>Aliens, freezes with Area attacks.	A mighty spirit who channels power from the<br>storm that will eventually consume the cosmos.<br>Tough vs Aliens, 100% chance to Freeze.
402	Recruited from Evangelion!<br>A boy suddenly forced to pilot Evangelion.<br>Resents his distant father. (Area Attack)	Recruited from Evangelion!<br>Hoping to be respected by his comrades<br>for his piloting skills. (Area Attack)	Recruited from Evangelion! Agreed to pilot<br>Eva once again for a chance at redemption.<br>Tough vs. Aliens/Zombies (Area Attack)
403	Leader and deputy commander of NERV.<br>Out to complete their goal by any means.<br>(Area Attack)	On the moon for the final stage of their<br>plan. They trust each other fully.<br>(Area Attack)	
404	A prototype Giraffe Cat-type weapon.<br>Escaped with only the helmet equipped.<br>Might survive a lethal strike.	Received a new production-model<br>helmet for mightier headbutts. Still on<br>the run. Might survive a lethal strike.	
405	Recruited from Evangelion!<br>A strange boy with a mysterious smirk.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Thought by others to be an Eva pilot.<br>Massive damage to Black enemies.	Recruited from Evangelion!<br>Seems to have known Shinji for a long<br>while. Massive area damage to Black.
406	Cat who pilots Eva Unit-00. Gendo's<br>glasses are her cherished treasure.<br>Tough vs /  Massive Damage to Angels.	She lost all memory of the black plugsuit.<br>There is nothing for her but her duty.<br>Tough vs /  Massive Damage to Angels.	
407	Cat who pilots Eva Unit-02. Flies into<br>a rage easily when she feels slighted.<br>Tough vs /  Massive Damage to Red.	She is slowly warming up to her comrades.<br>Has a habit of burning her tongue easily.<br>Tough vs /  Massive Damage to Red.	
408	A strange Cat with stylish glasses.<br>Loves to end each sentence with a meow.<br>Tough vs /  Massive Damage to Floating.	A skilled paratrooper who infiltrated Tokyo-3.<br>Learning her way around Central Dogma.<br>Tough vs /  Massive Damage to Floating.	
409	Recruited from Evangelion!<br>An aloof girl who guards her emotions.<br>Area attacks might weaken Angels.	Recruited from Evangelion!<br>Feels a strong bond with her fellow pilots.<br>Area attacks might weaken Angels.	
410	Recruited from Evangelion!<br>A prideful and hot-tempered prodigy.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion!<br>Warming up to the idea of teamwork.<br>Strong vs. Red Enemies (Area Attack)	Recruited from Evangelion! Eva 02's pilot,<br>member of anti-NERV organization WILLE.<br>Strong vs Red enemies, Area Atks might Knockback.
411	Recruited from Evangelion!<br>An enigmatic girl who arrived via parachute.<br>Strong vs. Floating (Area Attack)	Recruited from Evangelion!<br>Her love for piloting Eva is plain to see.<br>Strong vs. Floating (Area Attack)	
412	Recruited from Evangelion!<br>A humanoid superweapon prototype.<br>Tough vs Angel/Floating, negates Waves.	Recruited from Evangelion!<br>Notorious for violent incidents in testing.<br>Tough vs Angel/Floating, negates Waves.	
413	Recruited from Evangelion!<br>A humanoid superweapon test-type.<br>Strong vs. Aliens/Zombies (Area Attack)	Recruited from Evangelion!<br>Goes berserk when pilot is in danger.<br>Strong vs. Aliens/Zombies (Area Attack)	
414	Recruited from Evangelion!<br>The Evangelion production model.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion!<br>The true Evangelion, or so says the pilot.<br>Massive Long-Range/Area damage vs Red	Recruited from Evangelion! Eva 02's beast form,<br>activated with a backdoor code. Massive Long-range<br>Area damage vs Red, grows stronger after damage.
415	A Cat who becomes paralyzed by fear.<br>When bullied, Eva comes to his defense!<br>Knocks back Metal/Black, with Wave Attack!	Cats who can't resist their curious nature.<br>When bullied, Eva comes to their defense!<br>Knocks back Metal/Black, with Wave Attack!	
416	Operators for the secret agency NERV,<br>providing support for the Eva pilots.<br>Area attacks slow Red/Zombies.	Elite command of the NERV agency.<br>An effective team since their school days.<br>Area attacks slow Red/Zombies.	
417	World-famous mobile hot springs.<br>Travel in comfort and style. Omni-strikes<br>slow and cause massive damage to Zombies.	A secret organization defending the Cat army<br>from Doge sneak attacks from below. Omni-<br>strikes freeze + massive damage to Zombies.	At the frontlines of the Cat campaign to seek and<br>destroy underground Doge bases. Omni-strikes<br>freeze and deliver massive damage to Zombies.
418	Everyone's favorite girl-next door popstar finally<br>snapped under the stress of stardom. Even an<br>evil idol has nothing but love for her fans.	Global superstar who uses her charisma to<br>whip her adoring audiences into a crazed fury.<br>Her thankful bow delivers big critical damage!	
419	Joining the fight from LINE Pokopang!<br>Rabbity defender of justice who'll<br>do anything to help his friends!	Joining the fight from LINE Pokopang!<br>His mission in life is to bring joy<br>to his fellow woodland creatures.	
420	Joining the fight from LINE Pokopang!<br>A stoic sheep who loves to collect<br>unusual objects! Tough vs Red!	Joining the fight from LINE Pokopang!<br>Hides his scavenged treasures in his fluffy<br>wool for safekeeping. Tough vs Red!	
421	Joining the fight from LINE Pokopang!<br>A burly bear who lives for peace, flowers<br>and tasty fish! Might weaken Black!	Joining the fight from LINE Pokopang!<br>Despite tough looks, loves a nice cup of<br>herbal tea most. Might weaken Black!	
422			
423			
424			
425			
426	An ancient superweapon rented out from a<br>mysterious lab. Cat only has a learner's permit,<br>so its true power is not yet realized (Area Attack)	Made some improvements without permission...<br>Replacing the vintage armor with titanium<br>definitely violates the rental agreement. (Area Atk)	Even after the fine, Cat couldn't resist more custom<br>work. Now features experimental tech based on<br>ancient prototype schematics (Area Attack)
427	A brave band of Cats out to defeat the King of Evil.<br>Long-range Area strikes have chance of Critical.<br>100% chance to weaken Red, Black, and Floating.	The Chosen One and 11 courageous adventurers.<br>Long-range Area strikes have chance of Critical.<br>100% chance to weaken Red, Black, and Floating.	Our adventurers take their quest to the skies!<br>Long-range Area strikes have chance of Critical.<br>100% Weaken vs Red, Black, Floating, Relics.
428	A boy lost to the destruction, reborn as a<br>Cat who makes ominous statements.<br>100% chance of Wave Attack.	Over time, the boy-turned-Cat evolved the<br>powerful legs from his time as a human.<br>100% chance of Wave Attack.	
429	Cat bearing the spirit of a legendary programmer<br>dedicated to teaching the world through his blog.<br>Long-distance attacks 100% Weaken non-Metal.	An expert techie who knows any machine inside<br>and out. Yesterday, his own blog was hacked...<br>Long-distance attacks 100% Weaken non-Metal.	
430			
431	Prodigy in the netherworld's Office of Infernal<br>Investigations, with just over 665 cases solved.<br>Wave attacks might freeze Aliens/Floating.	This hardened veteran got too close to the truth<br>and uncovered a conspiracy scarier than hell itself.<br>Wave attacks might freeze Aliens/Zombies.	Realized his true power after bringing the corrupt<br>archdemons to justice. Time for the final judgment!<br>Wave attacks 100% Freeze Zombies.
432	Joining the fight from Betakkuma!<br>Weirdly cute white bear with some slick moves.<br>Might knockback Aliens.	Joining the fight from Betakkuma!<br>Changed colors after training by an assassin's guild.<br>Might knockback Aliens.	
433	Inspired by a weirdly cute white<br>bear, has mastered those slick moves.<br>Might knockback Black enemies.	Embracing its savage instincts, it<br>rains rapid-fire blows on its enemy.<br>Might knockback Black enemies.	
434			
435	Valkyrie's younger sister. Top agent of Valhalla,<br>entrusted with high-risk missions to defend the<br>mortal realms. Area atk might break Barriers.	Valkyrie's youngest sister. Nature itself has<br>blessed her with command over all forces of<br>the Earth. Area attacks might break Barriers.	
436	Not sure if this is a Cat...<br>There's just something about<br>that cool 'stache...	I can't stand it anymore...<br>Seems like this one is immune to<br>Wave attacks. (Long Range Area Attack)	Monster? Magician? ...Or just a Cat?<br>No one can explain how its powers work.<br>Immune to Wave attacks (Long-Range Area)
437	At long last, Cat God has joined the fight!<br>His holy sneeze knocks back all but Metal<br>enemies, and his Omni-strikes are pretty cool too.	Shining with glorious purpose and divine charisma.<br>His holy sneeze knocks back all but Metal<br>enemies, and his Omni-strikes are pretty cool too.	
438	A fiery lass who runs a tiki bar by the sea.<br>Boys at the beach don't seem to mind her abuse<br>too much? Strong vs. Zombies/Floating (Area Atk)	A rowdy beach babe who keeps the seaside bullies<br>in check by patrolling on her custom speedboard.<br>Strong vs. Zombies/Floating (Area Atk)	
439	An almighty titaness who rescued the universe from<br>chaos, keeping order with her Timepiece of Destiny.<br>Freezes any traited enemy with long-range area atks.	Molded our reality from primordial matter using her<br>mastery of the Divine Timepiece. Don't mess with her.<br>Freezes any traited enemy with long-range area atks.	
440	From Madoka Magica The Movie -Rebellion-!<br>Mami's adorable, cheese-loving partner.<br>Area attacks Weaken Aliens and Zombies.	From Madoka Magica The Movie -Rebellion-!<br>New Magical Girl who appears before Madoka.<br>Area attacks Weaken Aliens and Zombies.	
441	Wandering warrior pursuing true justice, resembles<br>a certain Meowsketeer. Gains attack power<br>when damaged, effective vs all traitless enemies!	He values nothing more than justice and will happily<br>sacrifice it all for his cause! Gains attack power<br>when damaged, effective vs all traitless enemies!	
442	Master assassin who wanders the park with his<br>cheeky child seeking vengeance against litterers.<br>Tough + knockback + freeze vs Traitless.	Lone Cat is sick in bed, so naughty Kitten is<br>helping mama while she sells drinks on the<br>train. Tough + knockback + freeze vs Traitless.	Papa and kitten are on a well-deserved tropical<br>getaway. Saved on airfare by packing away baby.<br>Tough + knockback + freeze vs Traitless.
443	The heart of the Grandon mining team,<br>his dream is to drill right to the Earth's core.<br>Long-range attacks Weaken Traitless enemies.	Digging specialist of the brave Grandon Cats.<br>His antenna is detecting a long-buried treasure!<br>Long-range attacks Weaken Traitless enemies.	Unofficial leader of the brave Grandon Cats.<br>His antenna is detecting a long-buried treasure!<br>Long-range attacks Weaken Traitless enemies.
444	Drives stakes deep in the earth! She doesn't need<br>your permission, she'll hammer where she likes!<br>Tough & Knockback vs Zombies! (Omni-Strike)	The rest of Grandon is a little scared of her.<br>Don't like it? She'll put a stake right up your nose!<br>Tough & Knockback vs Zombies! (Omni-Strike)	
445	Does double duty cutting and cooking for<br>the Grandon Cats. Huge Area damage vs Red,<br>Survives, gets stronger after taking damage.	Gained a cutting-edge stove-top for more efficient<br>meal prep. Huge Area damage vs Red,<br>Survives, gets stronger after taking damage.	
446	No one digs like this guy. Don't even try, you'll lose.<br>Only attacks Metal, with Critical chance!<br>Gains extra money when defeating enemies!	The way he picks up dirt is just... glorious.<br>Only attacks Metal, with Critical chance!<br>Gains extra money when defeating enemies!	
447	The sawmaster-in-residence of Grandon.<br>Hates it when things aren't cut in half.<br>Massive Damage and Tough vs. Aliens!	It's so boring when there's nothing to cut...<br>The box has groceries for mommy in it.<br>Massive Damage and Tough vs. Aliens!	
448	A wandering swordsman who has travelled to<br>the realm of carnage to master the Nichirin Blade.<br>Tough vs. / Insane Damage vs. Black.	The blood on his hands transformed the Nichirin<br>into a cursed Getsurin sword. You have no chance.<br>Tough vs. / Insane Damage vs. Black.	
449	Chairwoman of the Cyber Academy, respected by<br>all. Summons ethereal spears to punish bad students.<br>Insane damage to Red/Floating. (Long-Range/Area)	Her educational philosophy has become more...<br>unforgiving lately. But who's going to complain?<br>Insane damage to Red/Floating. (Long-Range/Area)	
450	The original dragon who became one with the<br>heavenly castle that controls the mortal realms.<br>Insanely tough vs Red/Floating (Area Attack)	His draconic nature has been slowly corrupting<br>the heavenly castle over many millennia...<br>Insanely tough vs Red/Floating (Area Attack)	
451	A celestial hero who has vowed to avenge his father.<br>His magic flute can track the evil H.E.I.K.E. corps.<br>Tough vs Angels with Insane Area Damage.	Ushi unearthed an invincible mecha ally during his<br>travels. Now victory over H.E.I.K.E. is all but certain.<br>Tough vs Angels with Insane Area Damage.	
452	A primitive felinoid from an ancient time, with<br>a charming finned tail and useful gills.<br>Tough versus Metal and Relic enemies.	This strange Cat(?) was found napping on the<br>windowsill. What unusual proportions she has!<br>Tough versus Metal and Relic enemies.	
453			
454			
455	Cosmic policegirl hunting interdimensional<br>criminals with lovely plasma beams of justice.<br>Freezes Red/Black/Angels with Wave Attacks.	The galaxy's most stylish detective, cleaning up<br>cosmic crime with her cutting edge Cutie Beam.<br>Area Wave attacks freeze Red/Black/Angels.	
456	Joining the fight from Fate/stay night [HF]!<br>Takes charge of daily care for the Emiya house.<br>Tough vs Black/Aliens/Zombies (Area Attack)	Joining the fight from Fate/stay night [HF]! Fears<br>that Shirou will fall victim to the Holy Grail War.<br>Tough vs Black/Aliens/Zombies (Area Attack)	
457	A Cat who strives to be a defender of justice.<br>Spent months in his room trying to summon<br>a Heroic Spirit. Strong vs. Black enemies.	Still hasn't succeeded at Heroic Spirit<br>summoning. Now leaves his room sometimes<br>to do night patrols. Strong vs. Black enemies.	
458	A Heroic Cat Spirit proficient with both bow<br>and blade. Who knows why he dislikes<br>Shirou the Cat so? Immune to Wave Attacks.	Mastered the bow in order to claim the title<br>of Archer. His hate for Shirou the Cat keeps<br>him up at night. Long-range, Immune to Waves.	
459	A Cat who wields dagger and chain with<br>grace. At a slight visual disadvantage thanks<br>to her mask. Chance to Freeze Angels.	Gained command of a legendary lifeform.<br>Can't see much due to the mask and<br>Pegasus' head. Chance to Freeze Angels.	
460	A Cat-priest with a taste for extra-spicy mapo tofu,<br>and a Cat Spirit with flawless tactical sense.<br>Might weaken Black, stronger after damage.	One Cat has begun to tire of the game of battle,<br>but the other still can't get enough mapo tofu.<br>Might weaken Zombies, stronger after damage.	
461	Not sure if this is a Cat…<br>There's just something about that<br>pandimensional crystal...	Gaze upon its might and tremble!<br>There's no doubt that this one is<br>immune to Wave damage (Omni-Strike)	
462	An ancient lifeform once annihilated by the<br>power of Doge, but now restored with super glue.<br>Omnistrike with 100% Freeze vs. Traitless.	Mystery Cat once thought lost to the universe.<br>Updated his paint job with a more slimming color.<br>Omnistrike with 100% Freeze vs. Traitless.	
463	A pulsing gem focuses mystic forces into an<br>unstable but insanely powerful blast. Omnistrike,<br>Wave shield, and High Def./Atk. vs. Zombies!	All the Cats' tech genius can't guarantee that those<br>extradimensional energies won't destroy the world.<br>Omnistrike, Wave Shield , High Def./Atk. vs. Zombies	
464	The Doge army put this artifact for sale on cBay to<br>fund their next campaign, but only made $0.22 from it.<br>High defense against Traitless (Area Attack)	Analysis reveals that this was created by ancient Cats<br>then sold to Doges for use as flowerbed decorations.<br>High defense against Traitless (Area Attack)	
465			
466	The younger twin of Super Zeus,<br>second child of the goddess Nadia.<br>Insane Long-range Area damage to Traitless.	Soars in the sky while wielding magic power from<br>the 6 sacred eggs. Is he a devil, or an angel?<br>Insane Long-range Area damage to Traitless.	
467	The highest power of the heavenly realms created<br>by Nadia, with a weakness for women and money.<br>Tough vs Traited, Area attacks 100% Weaken.	Bearing unlimited strength, he holds back the<br>forces of darkness from invading the mortal realms.<br>Tough vs Traited, Area attacks 100% Weaken.	All-powerful god, beloved of the sun, whose<br>growing power now befits the title of holy emperor.<br>Tough vs Traited, Area attacks 100% Weaken.
468	The embodiment of perfect love and courage,<br>becoming yet greater with every new rebirth.<br>Chance to Freeze Floating/Black/Aliens	Denizen of a realm beyond time and space, who<br>achieves his highest form after reaching lightspeed.<br>Chance to Freeze Floating/Black/Aliens (Area Atk)	Pioneering a realm of being beyond mortal vision,<br>the fires of heaven feed his growing powers.<br>Strong vs/Freeze Floating/Black/Aliens
469	Reigning over the realms of darkness, all demons<br>are bound to obey his infernal commandments!<br>Long-range Area attacks Slow Angels.	Deceiver who captures naive angels and<br>recruits them to the cause of the netherworld!<br>Long-range Area attacks Slow Angels.	The embrace of an uncanny moonlight has granted<br>him the ultimate dark power to rule over all reality.<br>Long-range Area attacks Slow Angels.
470	Having stolen the six sacred orbs of power<br>She has achieved unspeakable strength!<br>Immune to Waves, Massive damage to Red	Veteran of countless battles, she commands the<br>orbs to open to the gates to a higher dimension.<br>Immune to Waves, Massive damage to Red	
471	Holy android created by 12 archangels. Rumors<br>say that its powers unbalanced could undo reality.<br>Strong vs. Floating enemies.	The ultimate sacred weapon created by the highest<br>authority in Heaven to suppress the forces of evil.<br>Strong vs. Alien enemies.	
472	A chaos too great for even the netherworld bursts<br>forth... will this flame consume even the heavens?<br>Massive Omnistrike damage to Zombies	The infernal kings' power brought this<br>nemesis of the angels to his full potential.<br>Massive Omnistrike damage to Zombies	
473	Angel born from the heart of heavenly power,<br>wielding a sword that strikes down devils.<br>Massive Area damage to Aliens/Zombies	Revealed the next world via harmonic power.<br>With dawn blade in hand, the prophecy is fulfilled!<br>Massive Area damage to Aliens/Zombies	Hidden strength emerges from within thanks<br>to the blessings of Rococo's sacred light.<br>Massive Area damage to Aliens/Zombies
474	Generates radiant light by the power of Amen<br>and Wink Eye that subdues even the fiercest<br>devil. Might Weaken Red enemies.	Shoots down invading demons with her Golden<br>Cross cannon. Her devotion to the cause of the<br>holy egg is unshakeable. Might Weaken Red/Black.	Watches over the holy labyrinth with the teachings<br>of the sages behind her. Smashes evil with her<br>righteous cross. Might Weaken Red/Black/Zombies.
475	Angel born in the Holy Cat realm. Sworn to slay<br>the wicked devil-doges by the power of Light.<br>Strong vs Black (Area Attack)	Gathers the divine harmonic forces of the Cats to<br>open the gates to a new realm of holy potential.<br>Strong vs Black (Area Attack)	
476	Behold the next stage of devilish evolution!<br>Gimme a Catfruit and I might let you live!<br>Strong vs Angels (Area Attack)	The lord of devils. His ambition threatens<br>to consume all light, love, and Cat Food.<br>Strong vs Angels (Area Attack)	
477	My mighty body will fend off devilish attacks!<br>(If it's too much, I'll just get an angel to step in.)<br>Strong vs Aliens (Area Attack)	Defender of a profitable holy meatball business.<br>Still, sometimes the angels have to lend a hand.<br>Strong vs Aliens (Area Attack)	
478	The ultimate elemental manifestation, projected<br>from a dying star at the end of the universe.<br>Insanely tough, might Weaken, Barrier Breaker.	Omniscient cosmic visionary from the future,<br>mastery of all elements allows it to ignore Barriers.<br>Insanely tough, 100% Weaken, Barrier Breaker.	
479			
480			
481	A fearsome scientist obsessed with using extra-<br>dimensional power to instantly sublimate matter.<br>Tough vs Black & Aliens with Area Attacks.	Renowned temporal researcher who has harnessed<br>arcane crystal power that obliterates mundane matter.<br>Area Attacks deal massive damage to Black & Aliens.	
