000	El gato básico.<br><br>	Punto a favor: sus músculos están bien definidos.<br>El gato básico.<br>	Punto a favor: sus músculos están bien definidos.<br>Otro punto a favor: ¡tiene pelazo!<br>
536	Virtual singer loved by the entire Cat Empire!<br>Cute & stylish diva dressed for spring! Long-range<br>Area attacks Freeze Aliens, might break Barriers.	Virtual singer loved by the entire Cat Empire!<br>Diva who dances among the cherry blossoms.<br>Area attacks Freeze Aliens, might break Barriers.	
537	Virtual singers loved by the entire Cat Empire!<br>Powerful and charming twin vocals. Long-range<br>Area attacks might Knockback/Slow Black & Metal	Virtual singers loved by the entire Cat Empire!<br>Voices filled with the dreams of youth. Long-range<br>Area attacks might Knockback/Slow Black & Metal	
538	Die-hard fan of a cute & stylish pop diva.<br>Broke a mirror trying to cover Miku's songs.<br>Might Dodge Floating enemy attacks	Taking first steps toward global pop stardom.<br>Has front row seats for Miku's next show.<br>Might Dodge Floating enemy attacks	
539	Un joven miembro del equipo Imperio Gatuno C. F. que<br>ha sido clave en las victorias contra los Chuchos. Eficaz<br>contra enemigos negros. Inmune a oleadas. (Ataque de área).	Cruzó el océano para dedicarse a un deporte nuevo.<br>Disfruta del relleno extra de la equipación. Eficaz contra<br>enemigos negros. Inmune a oleadas. (Ataque a distancia).	Una nube de polvo se levanta a su alrededor al cargar.<br>¡Grita «¡a la carga!» cuando está listo para un touchdown!<br>Eficaz con enem. negros/aku, inmune a oleadas y rep. (área).
540			
541			
542			
543	Las pesadillas que lleva dentro le susurran sin parar<br>y ella vaga por la tierra en busca de paz interior.<br>Réplicas de área a distancia que siempre maldicen.	Su alma absorbe el poder maldito de sus enemigos,<br>convirtiéndola en la personificación del desastre.<br>Réplicas de área a distancia que siempre maldicen.	
544	Una doncella curiosa que explora el imperio felino mientras<br>mata demonios con su espada Honoka. Superdura contra<br>metálicos. Sus ataques de área pueden causar daño crítico.	Sus experiencias en nuestro mundo la han hecho más sabia.<br>Honoka la ha protegido en muchas batallas. Superdura contra<br>metálicos. Sus ataques de área pueden causar daño crítico.	
545	Una forma informe parecida a un gato.<br>Le cuesta centrarse cuando hace viento.<br>Superfuerte contra ángeles. (Ataque de área a distancia).	Un ser ambiguo con forma de gato hecho de vapor oscuro.<br>Suelta gases tóxicos cuando tiene dolor de pancita.<br>Superfuerte contra ángeles. (Ataque de área a distancia).	
546	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Será la sonrisa desdentada?	¡Por mis barbas! Parece que este misterioso<br>vejete tiene unos ataques de área que siempre<br>maldicen a enemigos no metálicos.	¿Es un jubilado del montón o una fuerza misteriosa<br>de destrucción? Mejor no pensarlo...<br>Siempre maldice a enemigos no metálicos. Inmune a réplicas.
547	Being of purity who heralds the world's end.<br>Where lies the exit from this shining night?<br>Tough vs Traited enemies, with 100% Slow.	Unshakable faith in a hopeful dawn to come<br>gives her the strength to keep fighting on.<br>Tough vs Traited enemies, with 100% Slow.	
548	Terrifying being appearing with unknown intent.<br>Striking out with piercing light from its palms.<br>Massive Area damage & Knockback vs Black enemies.	A Cat Army-produced replica of the 4th Angel.<br>Modified by fusing a Cat to the Angel's core.<br>Massive Area damage & Knockback vs Black enemies.	
549	Terrifying being appearing with unknown intent. An<br>ever-shifting form of incomprehensible power. Massive<br>Long-Range Area damage & Slow vs Floating enemies.	A Cat Army-produced replica of the 6th Angel. Already<br>forgot what their original form looks like. Massive<br>Long-Range Area damage & Slow vs Floating enemies.	
550	Terrifying being appearing with unknown intent.<br>Lashes out by extending its mighty A.T. Field. Massive<br>Omnistrike Damage & Freeze vs Angelic enemies.	A Cat Army-produced replica of the 10th Angel.<br>Unknown genomes spliced into Gross Cat DNA. Massive<br>Omnistrike Damage & Freeze vs Angelic enemies.	
551	Terrifying being appearing with unknown intent.<br>Possessing the physical form of Eva Unit-03. Massive<br>Long-range Area Damage & Weaken vs Alien enemies.	A Cat Army-produced replica of the 9th Angel.<br>Controlled by Tank Cat like a dummy plug. Massive<br>Long-range Area Damage & Weaken vs Alien enemies.	
552	Cat resembling a mysterious boy who enjoys<br>playing piano and making ominous statements.<br>Tough vs Black enemies, with Massive Damage.	Recently seen on the moon performing his original<br>composition, "The Promised Time of Shinji Cat"<br>Tough vs Black enemies, with Massive Damage.	
553	Este gato huyó de casa para ser repostero en la gran ciudad.<br>Sus cruasanes son sabrosos y letales. Sus ataques<br>a distancia siempre maldicen a ángeles, álienes y zombis.	Desilusionado por la vida urbanita, volvió a casa y retomó<br>su oficio como cazador con una sofisticada arma. Sus ataques<br>a distancia siempre maldicen a ángeles, álienes y zombis.	
554	La voluntad de aquel que vuela envuelto en hábitos es ley.<br>Por eso entró a la fuerza en el ejército felino.<br>Siempre ralentiza a reliquias. Réplicas de área.	Un luchador de artes marciales que desterró al rey demonio.<br>O eso dice el loro... La máscara es un regalo de su nieto.<br>Siempre ralentiza a reliquias. Réplicas de área.	
555	Heavenly hero serving the will of Nadia.<br>Also the parent of Super Zeus. Long-range<br>attacks might Knockback traited enemies.	The ultimate manifestation of compassion<br>raising his sword to defend innocents from evil!!<br>Long-range attacks Knockback traited enemies.	
556	An angel born in the realm of dreams, who soars<br>through the heavens sealing away stray devils.<br>Massive long-range damage to Black/Angels!	Sealing demons with his righteous blade,<br>the true scion of the heavenly realms!<br>Massive long-range damage to Black/Angels!	Heaven's hero, corrupted by infernal magics?!<br>Can this fallen knight's rampage be stopped??<br>Massive long-range damage to Black/Angels!
557	An angel who frolics through the elysian fields.<br>Make the devils dance before crushing them!<br>Extra money earned by defeating enemies!	Divine King who uses godlike speed to fulfill<br>the prophecies of the heavenly realms.<br>Extra money earned by defeating enemies!	
558	Se ha escapado de la máquina de bolas para celebrar<br>otro año de diversión. ¡A girar se ha dicho!<br>Puede repeler a enemigos.	¡Te lo has creído! Todavía puedo dar más suerte, ¿sabes?<br>¿Pasará algo si doy demasiadas vueltas? No creo.<br>Puede repeler a enemigos.	
559	Una cazadora de almas malvadas que tratan de huir<br>de su castigo eterno. ¡No hay espíritu que se le escape!<br>Sus omniataques pueden desgastar. Inmune a oleada.	Jueza, jurado y verdugo de los muertos traidores<br>que ignoraron su honor con tal de vencer en la batalla.<br>Sus omniataques pueden desgastar. Inmune a oleada.	
560	Virtual singer loved by the entire Cat Empire!<br>Bilingual vocalist with just a bit of mystery to her.<br>Massive Long-Range Area Damage to Floating/Black	Virtual singer loved by the entire Cat Empire!<br>Laid-back bilingual vocalist with a silky smooth voice.<br>Massive Long-Range Area Damage to Floating/Black	
561	Virtual singer loved by the entire Cat Empire!<br>Talented vocalist who transcends genre.<br>Massive Long-Range Area Damage to Red	Virtual singer loved by the entire Cat Empire!<br>Heartfelt singer with a world-class voice.<br>Massive Long-Range Area Damage to Red	
562	Die-hard fan of a cool & mysterious singer.<br>Avoids dancing to preserve her mysterious allure.<br>Chance to Dodge Alien attacks	To better be like that cool & mysterious singer,<br>dances with a tuna and talks like a salty sea dog.<br>Chance to Dodge Alien attacks	
563	Es más difícil apuntar con armas de agua, pero al menos<br>los disparos accidentales no matan a los compis. Ataca solo a<br>enemigos negros y voladores. (Ataque de área a distancia).	Vigilante nocturna de las playas, protege a las tortugas<br>marinas de los fuegos artificiales ilegales. Ataca solo a<br>enemigos ángeles y voladores. (Ataque de área a distancia).	Se pavonea por las playas y las protege del peligro.<br>Purifica el corazón de los bandidos con su pistola de agua.<br>Eficaz solo contra enemigos voladores y ángeles.
564	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Será el traje de baño?	¡Rayas y centollos! Parece que<br>esta veraneante tan sexi<br>siempre lanza réplicas de área.	¿Es una gata o es una celebridad?<br>Una chica curiosa cuya verdadera identidad es un misterio.<br>Siempre lanza réplicas de área.
565	Ha logrado un bronceado perfecto gracias al sol del verano.<br>Ya se preocupará por las arrugas más tarde.<br>Puede esquivar ataques de enemigos sin rasgos.	Ha logrado un bronceado perfecto haciendo flexiones. Se le ha<br>quedado un poco de marca en los brazos, pero no le importa.<br>Puede esquivar ataques de enemigos sin rasgos.	Ha logrado un bronceado perfecto y brilla como el sol.<br>Corre por las playas enamorándose de las chicas.<br>Puede esquivar ataques de enemigos sin rasgos.
566	Con su visión perfecta, estos amigos garantizan<br>que la playa sea segura y divertida. Pueden ralentizar<br>a enemigos sin rasgos. (Ataque de área a distancia).	Tres hermanos que, apilados, tienen aspecto de helado.<br>Alucina: ¡el de arriba no es el mayor! Puede ralentizar<br>a enemigos sin rasgos. (Ataque de área a distancia).	Tres hermanos leales que siempre van en sincronía. Se llaman<br>Fresa, Vainilla y Wasabi. Matamastodontes. (Ataque de área<br>a distancia). Ralentizan a los enemigos sin rasgos.
567	¡Se une a la batalla desde Dragones y Castillos!<br>Un huevo misterioso con forma felina. ¿En qué evolucionará?<br>	¡Se une a la batalla desde Dragones y Castillos!<br>Un gato muy orgulloso de su ciudad natal.<br>Eficaz contra enemigos sin rasgos. (Ataque de área).	
568	Un ser misterioso que parece analizar<br>a los gatos. Nadie sabe por qué se ha unido<br>al ejército. Gran daño de área contra reliquias.	Aparece de la nada para analizar<br>gatos poderosos. Su misión sigue siendo un misterio.<br>Gran daño de área contra reliquias.	
569	Un espíritu de piedra que atravesó el universo<br>y fue acumulando poder cósmico conforme surcaba el espacio.<br>Siempre ataca con oleadas.	Espíritu de piedra que domina la energía latente<br>de los meteoritos y asteroides que amenazan a los gatos.<br>Eficaz contra álienes y siempre ataca con oleadas.	Un espíritu pétreo hecho carne gracias al dios de los<br>meteoritos. Rompe barreras con la energía del cosmos.<br>Duro contra álienes y siempre ataca con oleadas.
570	Un señor dragón muerto hace mucho, que hizo un pacto con<br>una bestia esquelética para ganar poder (y muchas chuches).<br>Ralentiza y repele a álienes y zombis. (Ataque de área).	Espectro de un señor dragón que se aparece gritando<br>por el cielo en las noches sin luna de Halloween.<br>Ralentiza y repele a álienes y zombis. (Ataque de área).	Un caballero negro al servicio del rey de Halloween.<br>Indudablemente roba caramelos de los transeúntes.<br>Siempre repele y ralentiza a zombis y álienes.
571	Joining the fight from Street Fighter V!<br>The world will know the majestic art of Sumo!<br>Tough vs Angels, with 100% Knockback! (Area Atk)	Joining the fight from Street Fighter V!<br>Flying onto the world stage with a Super Head Ram!<br>Tough vs Angels, with 100% Knockback! (Area Atk)	
572	Joining the fight from Street Fighter V!<br>Former pro boxer, steadfast in his convictions.<br>Area Attacks only hit Red/Black/Zombies!	Joining the fight from Street Fighter V!<br>His Turn Punch guarantees a quick knockout!<br>Area Attacks only hit Red/Black/Zombies!	
573	Joining the fight from Street Fighter V!<br>A pure narcissist who strives to fight beautifully.<br>Freezes Metal, Long-Range Strikes might Critical!	Joining the fight from Street Fighter V!<br>Dance with death using a "Flying Barcelona Attack"<br>Freezes Metal, Long-Range Strikes might Critical!	
574	Joining the fight from Street Fighter V!<br>Ultimate strength and masterful technique. Massive<br>damage vs Floating, stronger after taking damage!	Joining the fight from Street Fighter V!<br>Crush fools with a Tiger Uppercut! Massive<br>damage vs Floating, stronger after taking damage!	Joining the fight from Street Fighter V!<br>Tiger Uppercut crushes foolishness! Massive<br>damage vs Floating, stronger after taking damage!
575	Joining the fight from Street Fighter V!<br>Mastermind of the evil organization Shadaloo.<br>Strong vs Floating/Aliens/Zombies!	Joining the fight from Street Fighter V!<br>Bring the world to heel with a Psycho Crusher!<br>Strong vs Floating/Aliens/Zombies!	
576	A Cat driven to spread the love of Sumo.<br>Winner of the Li'l Sumo Tournament for 20<br>years running. Tough vs Angels (Area Attack)	Cultivated his body to become a testament to<br>the healing powers of Japan's hot spring culture.<br>Tough vs Angels (Area Attack)	Cultivated his body to become a testament to<br>the healing powers of Japan's hot spring culture.<br>Tough vs Aliens (Area Attack)
577	Aiming to take the grand prize and get rich!<br>...but he's been disqualified for repeated fouls.<br>Strong vs Black enemies	An underworld legend with a flawless hook.<br>Can't sleep after fights due to muscle pain.<br>Strong vs Black enemies	Legendary underworld Cat with a flawless hook.<br>Can't sleep after fights due to muscle pain.<br>Strong vs Black enemies
578	Narcissist Cat drunk on his own beauty.<br>Wears a mask to protect his flawless looks.<br>Strong vs. Angels	Cat who mastered the beautiful art of<br>Spanish Ninjutsu. Mask is more beautiful<br>than his own face. Strong vs. Angels	
579	A prideful Cat known as The Emperor.<br>His personal Muay Thai style is undefeated.<br>Strong vs Floating, Immune to Waves!	Foolish defiance of the weak will not be tolerated.<br>Seeks a higher reason to achieve true strength.<br>Strong vs Floating, Immune to Waves!	
580	Wielding psycho-power, this deadly Cat aims to<br>tear down this world to build a new paradise.<br>Strong vs Aliens, with Long-Range Area Atk	The villainous leader of an evil secret society,<br>controlling the global Cat Food smuggling cartel.<br>Strong vs Aliens, with Long-Range Area Atk	
581	Una forma de vida mineral extraída por Gamatoto de las<br>profundidades de la Tierra. Tras años de investigación, por<br>fin se le ha encontrado alguna utilidad. Ataca solo una vez.	Un gato primitivo con forma de piedra. Es sorprendentemente<br>delicado, tanto emocional como físicamente. Trátalo con<br>cariño y no rompas su frágil corazoncito. Ataca solo una vez.	
582	Virtual singer loved by the entire Cat Empire!<br>Performed at Magical Mirai 2020 in OSAKA/TOKYO!!<br>Massive damage vs Red/Angels, might Savage Blow.	Virtual singer loved by the entire Cat Empire!<br>Dressed for summer festivals in her best yukata!<br>Massive damage vs Red/Angels, might Savage Blow.	
583	Virtual singer loved by the entire Cat Empire!<br>Next performance: Magical Mirai 2020 in TOKYO<br>Tough vs Red/Angels, blocks Wave attacks.	Virtual singer loved by the entire Cat Empire!<br>Dressed for snowy cheer in stylish winter wear!<br>Tough vs Red/Angels, blocks Wave attacks.	
584	¡Lucha por la Navidad! Lleva regalos a los guerreros buenos<br>y un saco lleno de miseria y dolor para los niños traviesos.<br>Duro contra enemigos rojos y se fortalece tras sufrir daño.	¿Conoces a aquel guerrero al que le gustaba tanto la Navidad<br>que le brotó un abeto decorado de la cabeza? ¡Pues es él!<br>Duro contra enemigos rojos y se fortalece tras sufrir daño.	Un fiero señor de la guerra con mucho interés en la batalla.<br>Tiene un estilo de armadura bastante excéntrico. Duro contra<br>enemigos rojos y akus y se fortalece tras sufrir daño.
585	Protege a los indefensos con su poder. Puede que ahora<br>sea pequeñito, pero en su interior alberga un gran potencial.<br>Omniataque. Duro contra enemigos con rasgos. Inmune a oleada.	Si alguien a quien quieres reza por ti, Garu usará su gran<br>poder para defenderte. Duro contra enemigos con rasgos.<br>Inmune a oleada. Sus omniataques generan minioleadas.	
586	Al enfrentarse al bosque, obtuvo un poder mágico sin igual<br>que le permitió domar a toda la raza felina. Sus ataques de<br>área infligen penalizaciones a los enemigos con rasgos.	Sus extraordinarios poderes conllevan un precio, y con cada<br>batalla se consume una parte de su alma. Sus ataques de<br>área infligen penalizaciones a los enemigos con rasgos.	
587	Una orgullosa diosa del amor que solo se cambia el atuendo<br>un día especial del año. Con su arco inflige muchísimo<br>daño de área a distancia a enemigos rojos y negros.	La reina del amor, vestida para San Valentín y con ganas<br>de cosas románticas. Con su arco inflige muchísimo<br>daño de área a distancia a enemigos rojos y negros.	
588	Este año, la princesa burguesa ha contratado a un maestro<br>pastelero para que le enseñe a hacer chocolate casero. Puede<br>esquivar los ataques de enemigos rojos y voladores. (Oleada).	Ya ha perfeccionado la receta del chocolate y puede confesar<br>sus sentimientos a la persona que sea digna de su amor. Puede<br>esquivar los ataques de enemigos rojos y voladores. (Oleada).	
589	Ha hecho bombones caseros porque ya está lista para superar<br>su miedo y hablar con el amor de su vida. ¡Este año sí!<br>Siempre lanza minioleadas que pueden infligir daño crítico.	No ha tenido valor para hablarle al amor de su vida, así que<br>ha metido los chocolates y una carta en una caja de zapatos.<br>Siempre lanza minioleadas que pueden infligir daño crítico.	Lleva los dulces más deliciosos del mundo y se prepara<br>para entregárselos a esa persona especial... Minioleadas<br>que pueden infligir daño crítico y atravesar escudos de akus.
590	Virtual singer loved by the entire Cat Empire!<br>A majestic snow sculpture brought to life!<br>Strong vs.Traitless, with chance to Slow.	Virtual singer loved by the entire Cat Empire!<br>Beautifully bedecked in snow illuminations.<br>Strong vs.Traitless, with chance to Slow.	
591	Virtual singer loved by the entire Cat Empire!<br>A talented singer with a wide vocal range.<br>Tough vs. Zombies, with Area Attack.	Virtual singer loved by the entire Cat Empire.<br>Blessed with expressive, manly voice.<br>Tough vs. Zombies, with Area Attack.	
592	Die-hard fan of a fresh-faced popstar.<br>Known for gifting fresh oranges to the crowd.<br>Might Dodge attacks from Black enemies.	Die-hard fan of a charming popstar.<br>Dreams of her voice being heard around the world.<br>Might Dodge attacks from Black enemies.	
593	Die-hard fan of a powerful popstar.<br>Adolescence has recently developed his voice.<br>Might Dodge attacks from Metal enemies.	Die-hard fan of a dignified popstar.<br>Touring the world in a handmade banana boat.<br>Might Dodge attacks from Metal enemies.	
594	Comerciantes de tesoros que viajan en zepelín acarreando<br>un extraño artefacto que emite energía cósmica.<br>Los Omniataques son megafuertes contra zombis.	Se va a realizar la entrega del misterioso artefacto a una<br>unidad militar secreta custodiada por un equipo de élite.<br>Los Omniataques son megafuertes contra zombis.	Este artefacto se entrega en condiciones de ultraseguridad.<br>Es megafuerte contra zombis y puede esquivar.<br>Sobrevive a un golpe mortal. (Omniataque).
595	Un dragón mítico que anuncia la llegada de la primavera<br>y aparece tras conseguir 7 huevos de Pascua. Puede<br>ralentizar y repeler a enemigos metálicos. (Ataque de área).	Dragón mítico que se invoca con 7 huevos de Pascua.<br>Insufla vida a cualquier cosa con su aliento mágico. Puede<br>ralentizar y repeler a enemigos metálicos. (Ataque de área).	Este dragón legendario concede deseos a quienes sueñan<br>con la primavera y hace florecer nuevas formas de vida.<br>Puede repeler y ralentizar a enemigos metálicos y akus.
596	Joining from "Ranma 1/2"! Heir to the<br>Saotome style of Anything Goes Martial Arts.<br>Massive Omnistrike damage to Red/Floating.	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a girl!<br>Massive Omnistrike damage to Red/Floating.	
597	Joining from "Ranma 1/2"! Strong and clumsy,<br>but pure-hearted girl engaged to Ranma.<br>Long-range Savage Blows w/ Barrier Break!	Joining from "Ranma 1/2"! Never misses a<br>day of training. All suitors will be crushed!<br>Long-range Savage Blows w/ Barrier Break!	
598	Joining from "Ranma 1/2"! Cute piglet pampered<br>by Akane. But when doused in hot water...<br>Tough vs Metal/Black enemies, might Knockback	Joining from "Ranma 1/2"! Thinks of himself as<br>Ranma's rival, but can't find the dojo to fight him.<br>Tough vs Metal/Black enemies, 100% Knockback	
599	Joining from "Ranma 1/2"! When doused in<br>water, Cursed Springs magic turns her into a cat.<br>Attacks have chance of Mini-Wave.	Joining from "Ranma 1/2"! Mighty Amazon who'll<br>fight anyone standing between her and Ranma.<br>100% chance of Mini-Wave.	
600	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a duck.<br>Long-range strikes might Curse Aliens/Zombies.	Joining from "Ranma 1/2"! Dirty tricks master in<br>love with Shampoo... who has no feelings for him.<br>Long-range strikes 100% Curse Aliens/Zombies.	
601	Joining from "Ranma 1/2"! Founder of Anything<br>Goes style, who even Ranma cannot challenge.<br>Area atks might Knockback Red/Floating/Zombies.	Joining from "Ranma 1/2"! A troublesome<br>letch with a habit of stealing underwear...<br>Area atks might Knockback Red/Floating/Zombies.	
602	Joining from "Ranma 1/2"! Ranma's OTHER<br>fiancee, a commanding fighter (with a girlish heart).<br>Chance to Weaken Metal, might Critical.	Joining from "Ranma 1/2"! Polished her fighting<br>skills cooking okonomiyaki at her shop.<br>Chance to Weaken Metal, might Critical.	
603	Joining from "Ranma 1/2"! Rising star of the<br>kendo world, and hopelessly in love with Akane.<br>Chance to Slow/Knockback and Dodge Angels!	Joining from "Ranma 1/2"! In love with girl Ranma<br>at first sight, still shamelessly pursuing Akane.<br>Chance to Slow/Knockback and Dodge Angels!	
604	Die hard fan of Anything Goes Martial Arts.<br>Cat Fist technique is deadly at close range.<br>Massive damage to Floating, with chance to Slow!	Turned into a lady Cat for some reason. Can't<br>figure out why, looking for a way to turn back.<br>Chance to Slow and Dodge Floating attacks.	
605	A pure-hearted Cat loved by all the guys.<br>Awaiting the fiance of her dreams.<br>Chance to strike a Savage Blow!	A Cat who just can't stand boys! Trains while<br>imagining she's beating up that one rude guy!<br>Chance to strike a Savage Blow!	
606	A Cat who admires the Saotome school master,<br>and always trains wearing a cute panda outfit.<br>Collects Extra Money after defeating enemies!	A Cat who admires the Saotome school master.<br>Sold his panda outfit for a cool martial arts gi.<br>Collects Extra Money after defeating enemies!	
607	Una espadachina de un mundo de fantasía. Encontró un portal<br>que llevaba al imperio. Lanza réplicas de largo alcance<br>superfuertes contra enemigos negros. (Ataque de área).	Una nómada curiosa que vuelve a casa entre aventuras para<br>compartir cuentos y tesoros. Lanza réplicas de largo alcance<br>superfuertes contra enemigos negros. (Ataque de área).	Sus hazañas la han convertido en leyenda, pero no abandona<br>sus aventuras. Matamastodontes con réplicas a distancia<br>superfuertes contra enemigos negros. (Ataque de área).
608			
609	Una versión de la fiel bestia guardiana, pero nacida<br>en el inclemente mundo real. Duro contra enemigos sin rasgos.<br>Omniataques con minioleadas. Inmune a oleada.	La desesperación de alguien incapaz de proteger a sus seres<br>queridos. Duro contra enemigos sin rasgos. Omniataques con<br>minioleadas. Se fortalece tras sufrir daño. Inmune a oleada.	
610	Un gato robusto de oro puro que valía el doble antes<br>de que el Gato Defensor metiera las narices donde no debía.<br>Duro contra enemigos voladores. (Ataque de área).	Un grupo de Gatos Bloque de Oro se unieron para formar<br>una sola unidad brillante y luchadora. ¡Larga vida al rey!<br>Duro contra enemigos voladores. (Ataque de área).	Un faraón dorado al que no se veía desde el antiguo Imperio.<br>Ahora vienen turistas de todas partes del mundo a admirarlo.<br>Duro contra voladores e inmune a toxicidad. (Ataque de área).
611	A Cat who loves to play Godzilla, rampaging<br>through the city streets meowing furiously.<br>Strong vs Black Enemies	Wants to become the king of monsters like Godzilla.<br>Drinks milk daily, hoping to grow to 118.5 meters tall.<br>Strong vs Black Enemies	
612	En un reino felino oculto, un genio de 9 años ha memorizado<br>todos los libros de las bibliotecas reales. Desgasta a<br>enemigos rojos, ángeles y zombis. Ataca con minioleada.	Con su gran intelecto (y sus libros de hechizos prohibidos),<br>ha guiado a su reino gatuno a una era dorada. Desgasta a<br>enemigos rojos, ángeles y zombis. Ataca con minioleada.	
613	Un héroe antiguo que se ha aliado con los gatos molones.<br>Ha rediseñado su aspecto sin que sus padres se enteren.<br>Una única réplica que siempre paraliza a reliquias.	Harto de las aburridas tradiciones familiares,<br>expresa su verdadera identidad con una nueva máscara.<br>Una única réplica que siempre paraliza a reliquias.	Su lema es «¡El arte es violento!». Consumido por<br>sus ambiciones artísticas. Matacolosos, matamastodontes.<br>Una única réplica que siempre paraliza o repele a reliquias.
614	Abandonó su palacio de la Luna y bajó a la Tierra a disfrutar<br>de una sandía fresquita este verano. Puede ralentizar<br>a enemigos negros y álienes. (Ataque de área).	Debido a la necesidad de defender un paraíso tropical, se<br>creó esta superarma que lanza cocos a los invasores. Siempre<br>ralentiza a enemigos negros y álienes. (Ataque de área).	Una superarma ancestral que vigila todas las playas.<br>Se promociona como un gran destino turístico móvil.<br>Siempre ralentiza a enemigos negros, álienes y akus.
615	Un gato con armadura que adora la savia de roble.<br>No se puede atrapar con una red normal.<br>Eficaz contra enemigos rojos y negros.	El poderoso rey del verano con su poderoso cuerno.<br>Nadie le gana en el torneo de sumo de insectos.<br>Eficaz contra enemigos rojos y negros.	
616	Un gato con armadura que adora las cáscaras de melón.<br>Solo se puede atrapar con una red especial.<br>Eficaz contra enemigos voladores y álienes.	Campeón del verano con ese cuerpazo robusto y brillante.<br>Sigue luchando incluso después del combate.<br>Eficaz contra enemigos voladores y álienes.	
617	Para salvar el mundo, este joven hizo un pacto con los akus.<br>Por ahora, dirige a sus secuaces oscuros por una buena causa.<br>Siempre ralentiza a akus. (Ataque de área a distancia).	El deseo puro de salvar el mundo es lo que mantiene a Satoru<br>a salvo de la corrupción de su pacto mágico con los akus.<br>Siempre ralentiza a akus. (Ataque de área a distancia).	Vino a este mundo para derrocar al rey de los aku.<br>¡Ha comenzado su lucha por proteger a los gatos! Ataques<br>de área de largo alcance, siempre repele y ralentiza a aku.
618	Un mecanismo de relojería fusionado con el alma<br>de un joven fiel que lucha por una causa mayor.<br>Superfuerte contra enemigos negros y akus (ataque de área).	Su incesante cruzada ha afectado a su propio espíritu<br>y lo ha convertido en un asesino vengativo y despiadado.<br>Superfuerte contra enemigos negros y akus (ataque de área).	La personificación del rencor y la ira del campo de batalla.<br>Guarda fuego del infierno vengativo que traerá la ruina.<br>Superfuerte contra enemigos negros y akus (ataque de área).
619	Esta investigadora chiflada experimentó con sus propios<br>compañeros de clase para sintetizar el elixir Mateki.<br>Eficaz contra ángeles y akus. Sus ataques atraviesan escudos.	Hizo un pacto con un aku para hallar la fórmula final del<br>elixir Mateki y esclavizar a toda la escuela. Eficaz contra<br>ángeles y akus. Sus ataques siempre atraviesan escudos.	Una loca que fabrica elixires que esclavizan demonios.<br>Observa la calamidad y el caos con una sonrisa cautivadora.<br>Eficaz contra ángeles y akus. Siempre atraviesa los escudos.
620	Un dragón nacido de los miasmas y destinado a llevar el caos<br>y la destrucción a sus enemigos mortales. Duro contra<br>enemigos rojos y akus. Puede repeler y atravesar escudos.	Su poder sobrecogedor puede aniquilar el reino celestial<br>gracias a sus pactos con los akus. Duro contra enemigos<br>rojos y akus. Puede repeler y atravesar escudos.	Un dragón oscuro que ha absorbido la energía oscura. El fuego<br>de su aliento destruye mundos. Duro contra aku/rojo,<br>siempre repele y atraviesa escudos.
621	Un valiente erudito que quiso explorar el vórtice<br>para comprender la verdadera naturaleza de los akus<br>e invirtió toda su fortuna en esta obsesión.	A medida que obtenía conocimiento prohibido,<br>más se convertía él mismo en un aku. Puede<br>infligir daño crítico. Sus ataques atraviesan escudos.	Un erudito que ha dedicado su vida al estudio de los akus.<br>Tiene mucha curiosidad por los gatos que amenazan a los akus.<br>Puede infligir daño crítico. Sus ataques atraviesan escudos.
622	Bebé nacido de un huevo del Señor de la Ruina.<br>Cree que los gatos que lo han criado son sus padres.<br>Eficaz contra enemigos sin rasgos. Siempre provoca réplicas.	Los gatos están criando bastante bien al hijo de la ruina.<br>Ahora, con dos añitos, no hay nada que detenga su ira.<br>Eficaz contra enemigos sin rasgos. Repele con sus réplicas.	
623	Un gato flautista que viaja de aldea en aldea.<br>Hay algo en sus melodías que te obliga a seguirlo...<br>Siempre desgasta a akus y puede atravesar escudos.	El anonimato le permite mejorar su destreza con la flauta.<br>Vende sombreros a medida para sacarse unas monedas.<br>Siempre desgasta a akus y puede atravesar escudos.	
624	Joining the fight from the River City series!<br>Bad-boy who defends the weak and defies the strong!<br>	Joining the fight from the River City series!<br>Plays dodgeball to train his body for taking on<br>the world! Long-range Area strikes!	
625	No está muy claro si es un gato...<br>Hay algo que no cuadra...<br>¿Serán esos mechones de pelo ardientes?	¡¿Acaso no hay ya suficientes?!<br>Parece que este lanza ataques de área<br>que siempre atraviesan escudos y rompen barreras.	
626			
627			
628			
629	Gato básico y rentable que está programado<br>mediante control mental para poder esquivar<br>los ataques de enemigos negros y akus.	Punto a favor: sus músculos están bien definidos.<br>Además, gracias al control mental, puede esquivar<br>los ataques de enemigos negros y akus.	
630	Un artista cuyo estilo se basa en un montón de tachones<br>con un pincel gigante (porque no sabe escribir).<br>Eficaz contra reliquias.	Prepara teteras de tamaño industrial con una batidora<br>personalizada y manda tazas gratis por todo el imperio.<br>Eficaz contra reliquias e inmune a oleadas y réplicas.	
