000	可以低成本生產的基本角色<br><br>	飽經鍛鍊的肌肉是魅力所在的<br>基本角色<br>	飽經鍛鍊的肌肉跟很MAN的髮型<br>是魅力所在的基本角色<br>
283	拿著據說可以招福的傳家之寶「紅擊喵槌」<br>今天也努力招客的中華飯店招牌姑娘<br>對上紅色敵人很耐打，並能給予超大傷害(範圍攻擊）	拿著完全解放的傳家之寶「紅擊喵槌・熊貓」<br>今天也帶著笑容歡樂招客的中華飯店招牌姑娘<br>對上紅色敵人很耐打，並能給予超大傷害(範圍攻擊）	
284	最高時速222km　1節車廂　全座位一等車廂<br>今天搭客率120％<br>打倒敵人的時候可以得到很多金錢	最高時速2222km　搭載有最新科技與<br>222隻貓的貓型搬運裝置<br>打倒敵人的時候可以得到很多金錢	最高時速2億km可以飛出地球的超級電車<br>有練過的乘客2222人可以搭乘<br>打倒敵人的時候可以得到很多金錢
285	貓咪大戰爭繁體中文版1週年紀念角色<br>窩在蒸籠中偷懶而變成小籠包的貓咪<br>狂亂化時用體力和攻擊力換來了神速	貓咪大戰爭繁體中文版1週年紀念角色<br>爲了實現「希望能大口咬」願望的職人自信作<br>狂亂化時用體力換來了更高的攻擊力（範圍攻擊）	
286	使用被禁止的技術製造出的帶有感情<br>的防空兵器NE-KO，通稱 雷。<br>對上飄浮敵人很耐打，並能給予超大傷害(範圍攻擊)	集國家機密技術於一身的貓咪型防空兵器<br>比誰都更高貴的心化為一道閃電撕裂戰場<br>對上飄浮敵人很耐打，並能給予超大傷害(範圍攻擊)	
287	從小接受棒球英才教育的貓咪<br>靠著打斷百棒傳接千球的訓練挺進縣大會第5名<br>的名教練。對上異星戰士很耐打(遠距範圍攻擊)	完美的模仿大聯盟名人堂傳奇打者<br>的揮棒動作的小胖子貓<br>對上異星戰士很耐打，有時候能破壞護盾(遠距範圍攻擊)	以棒球經驗為底子培育出來的獨家打法<br>一次接一次必定一桿進洞的河岸邊長打王！<br>對上異星戰士很耐打，有時候能破壞護盾(遠距範圍攻擊)
288	從魔法少女小圓來參戰！<br>性格溫柔且為朋友著想的魔法少女<br>善於攻擊飄浮敵人必定能使其動作變慢(遠距範圍攻擊)	從魔法少女小圓來參戰！<br>為朋友著想且素質出眾的魔法少女<br>善於攻擊飄浮敵人必定能使其動作變慢(遠距範圍攻擊)	
289	從魔法少女小圓來參戰！<br>言行充滿謎又冷酷的魔法少女<br>有時候會讓黑色敵人動作停止(範圍攻擊)	從魔法少女小圓來參戰！<br>操縱時間的魔法少女<br>有時候會讓黑色敵人動作停止(範圍攻擊)	
290	從魔法少女小圓來參戰！<br>任何事情都直截了當行動的魔法少女<br>體力減少攻擊力就會上升,死前能存活一次(範圍攻擊)	從魔法少女小圓來參戰！<br>實現了祈求治癒願望的魔法少女<br>體力減少攻擊力就會上升,死前能存活一次(範圍攻擊)	
291	從魔法少女小圓來參戰！<br>擅長照顧後輩的學姊魔法少女<br>可以給予天使敵人超大傷害(遠距範圍攻擊)	從魔法少女小圓來參戰！<br>忍過了孤獨但內心很怕寂寞的魔法少女<br>可以給予天使敵人超大傷害(遠距範圍攻擊)	
292	從魔法少女小圓來參戰！<br>不顧周圍被害利己主義的魔法少女<br>有時候會打飛紅色敵人使其攻擊力下降(範圍攻擊)	從魔法少女小圓來參戰！<br>絕不容許有人糟蹋食物的魔法少女<br>有時候會打飛紅色敵人使其攻擊力下降(範圍攻擊)	
293	從魔法少女小圓來參戰！<br>簽訂契約就可以實現你一個願望唷！<br>對上異星戰士很耐打，死前有機會存活	從魔法少女小圓來參戰！<br>尋找著有願望等待實現的少女<br>對上異星戰士很耐打，死前有機會存活	
294	一隻對魔法少女有憧憬的平凡貓咪<br>想變成可為朋友著想且溫柔的個性<br>有時候會讓飄浮敵人瞬間動作變慢	跟一隻詭異白色生物簽訂契約的魔法少女貓咪<br>隨時想著可以幫助別人<br>有時候會讓飄浮敵人瞬間動作變慢	
295	一隻對謎幻冷酷魔法少女有憧憬的貓咪<br>但無論如何都呈現不出謎幻的感覺<br>有時候會讓黑色敵人瞬間動作停止	跟一隻詭異白色生物簽訂契約的魔法少女貓咪<br>因非法改造橡皮槍在路上被警盤問<br>有時候會讓黑色敵人瞬間動作停止	
296	一隻對個性直截了當魔法少女有憧憬的貓咪<br>去探望青梅竹馬好友是每天必做的事<br>體力下降時攻擊力上升	跟一隻詭異白色生物簽訂契約的魔法少女貓咪<br>入手了一把很不錯的刀後就情不自禁想砍人了！<br>體力下降時攻擊力上升	
297	一隻對擅長照顧後輩的學姊魔法少女有憧憬的貓咪<br>壓抑著看到緞帶就想飛出攻擊的衝動<br>可以給予天使敵人超大傷害	跟一隻詭異白色生物簽訂契約的魔法少女貓咪<br>以必殺技「Tiro Finale」痛擊對手<br>可以給予天使敵人超大傷害	
298	一隻對貪吃的魔法少女有憧憬的貓咪<br>絕對不會糟蹋食物<br>有時候能降低紅色敵人的攻擊力	跟一隻詭異白色生物簽訂契約的魔法少女貓咪<br>可彎曲的長槍是在五金行買材料的DIY作品<br>有時候能降低紅色敵人的攻擊力	
299	從魔法少女小圓來參戰！<br>小小身體卻秘藏有非常強大可能性的少女<br>	從魔法少女小圓來參戰！<br>身體雖小但是否有當魔法少女的素質仍是未知數<br>可以給予飄浮敵人超大傷害(遠距攻擊)	從魔法少女小圓來參戰！<br>身體雖小但有幾乎能改寫宇宙法則能力的魔法少女<br>可以給予飄浮敵人超大傷害(遠距範圍攻擊)
300	從魔法少女小圓來參戰！<br>小小身體卻有超強大意志的少女<br>	從魔法少女小圓來參戰！<br>打倒魔女之夜！<br>戰到那一天來臨(範圍攻擊)	從魔法少女小圓來參戰！<br>侵蝕了神明般的神聖之物的少女<br>有時能使黑色敵人攻擊力下降(範圍攻擊)
301	一隻披著可愛動物毛皮的冷酷貓咪<br>尋找著有願望等待實現的少女<br>有時候會死前存活	一隻披著可愛動物毛皮的冷酷貓咪<br>進化後更加精練了！<br>有時候會死前存活(範圍攻擊)	
302	來自冰雪世界的萬聖節限定少女<br>讓人背脊發涼的美貌使人人如痴如醉<br>有時候讓天使敵人暫時動作停止(範圍攻擊)	挑起大家惡作劇的念頭後揚長而去<br>冰雪世界的小惡魔少女<br>有時候讓天使敵人暫時動作停止(範圍攻擊)	
303	想靠著叫賣爆漿烏賊腳的明石燒風味章魚燒<br>來大賺一筆的轉行上班族<br>給予天使敵人超大傷害	謹慎的配送來自神的貨到付款包裹<br>萬一把包裹的秘密說出去可能就會遭到報應<br>給予天使敵人超大傷害	
304	支配著全大陸的大帝國所擁有的秘密武器<br>固若金湯的城池也能輕易粉碎(遠距範圍攻擊)<br>對上不死生物很耐打，有時候使其攻擊力下降	精銳部隊SCAT所搭乘的帝國軍超重量級戰車<br>最機密技術研發的大砲威力無比(遠距範圍攻擊)<br>對上不死生物很耐打，有時候使其攻擊力下降	集結了帝國科學力的決戰型超重量級戰車<br>可分離式彈砲開啟了新決戰時代(遠距範圍攻擊)<br>對上不死生物很耐打，有時候使其攻擊力下降
305	遠古時代大閙北海的海賊們的後裔<br>爲了找尋祖先留下的祕寶而航行四海<br>給予紅色敵人和不死生物超大傷害(範圍攻擊)	集結了所有的海軍精英UMINEKO的巨型戰艦<br>最機密技術所製造的巨錐無堅不摧<br>給予紅色敵人和不死生物超大傷害(範圍攻擊)	搭載了海軍精英UMINEKO的究極戰艦<br>強化後的巨錐朝真正的和平刺進！<br>給予紅色敵人和不死生物超大傷害(範圍攻擊)
306	史上首個征服天空的先進武器<br>從高空展開無情的轟炸使地上陷入混亂<br>必定能打飛不死生物(範圍攻擊)	稱霸天空的鋼鐵雄鷹加上心高志遠的戰士們<br>極秘武器NE-K02能夠確實地將敵人陷於困境<br>必定能打飛不死生物(範圍攻擊)	比支配天空的鋼鐵雄鷹更心高志遠<br>用極秘武器NE-K02改來創造理想世界<br>百分之百打飛不死生物(範圍攻擊)
307	致力於磨練撐杆跳技術的貓咪<br>隨時隨地都在發揮他的挑戰精神<br>有時候讓不死生物動作變慢(遠距範圍攻擊)	差點就被金氏記錄認定為世界上跳得最高的<br>貓咪的超級女性運動員。預定明年結婚<br>有時候讓不死生物動作變慢(遠距範圍攻擊)	過去曾是知名頂級運動員的現職主婦。<br>華麗的使用曬衣竿方式做家事兼帶小孩飛奔<br>有時候讓不死生物動作變慢(遠距範圍攻擊)
308	在購物頻道買了樹剪的貓咪<br>但發現貓咪基地附近沒有樹而考慮退貨<br>偶爾會讓不死生物瞬間動作停止	爲了對抗可怕敵人的來襲而帶上電鋸的貓咪<br>有了它，上了鎖的門也可以輕鬆打開<br>偶爾會讓不死生物瞬間動作停止	網拍上買了一台看似很強的機器,<br>明明不知道用途，使用起來卻有模有樣。<br>偶爾會讓不死生物的動作停止
309			
310	聖誕節限定造型的勇敢護士(範圍攻擊)<br>用手中點了聖火的蠟燭為所有貓咪祈福<br>有時候能打飛天使及異星戰士並使其移動變慢	聖誕節限定造型的聖潔護士(範圍攻擊)<br>誠心誠意將希望之光點燃到美麗的燭臺上<br>有時候能打飛天使及異星戰士並使其移動變慢	
311	目標是可以成為<br>戰鬥型的高級角色<br>善於攻擊「紅色敵人」	目標是可以成為<br>進化成肉食鯨魚的高級戰鬥角色<br>善於攻擊「紅色敵人」	成長為貓咪們最棒的<br>暑假回憶聖地的小貓<br>善於攻擊紅色敵人，偶爾能使出會心一擊
312	目標是可以成為<br>可以攻擊遠處敵人的<br>遠距離攻擊型角色	目標是可以成為<br>從幻想世界降臨的遠距離攻擊型、<br>單發的話攻擊力超凡的角色	成長為龍界精英的<br>遠距離型小貓<br>可愛的垂角和單發攻擊力超凡
313	目標是可以成為<br>具有超強破壞力和強韌體力的<br>最頂級角色（範圍攻擊）	目標是可以成為<br>具有超強破壞力和強韌體力、<br>掌控破壞的貓神。（範圍攻擊）	成長為偶爾會打飛敵人<br>掌控破壞之力的巨大小貓（範圍攻擊）<br>永遠保持著一顆赤子之心。
314	年終限定造型的鄰家小貓（範圍攻擊）<br>今年也是充滿感謝的心情來做最後大掃除…<br>崇拜的對象是萌貓（有時候會心一擊）	喜氣洋洋向大家拜年的萌萌貓（範圍攻擊）<br>為了能提起在大家面前唱歌的勇氣<br>打算向神明祈求這個新年新希望（有時候會心一擊）	
315	以筆與鳳梨與蘋果讓全球陷入狂熱的傳奇男子<br>剛與芳齡七十八的妻子新婚。<br>有時候可讓紅色敵人的動作停止(範圍攻擊)	太想紅而搭上這股流行舞蹈熱潮的貓咪。<br>想靠維妙維肖的模仿影片來衝高點閱率。<br>有時候可讓紅色敵人的動作停止(範圍攻擊)	
316	掌管全海洋的奧林帕斯十二神之一。揮動可掀起<br>滔天巨浪的神器「三叉戟」就可將萬物打得粉碎。<br>必定能讓不死生物與鋼鐵敵人動作停止(範圍攻擊)	支配海洋與大地的萬權之神。揮動可使<br>天地崩裂的神器「三叉神矛」就可震撼世界。<br>必定能讓不死生物與鋼鐵敵人動作停止(範圍攻擊)	
317	Cat-Pineapple-Apple-Cat，簡稱CPAC<br>YouTube活動中可以獲得的兄弟貓咪。<br>善於攻擊紅色敵人	Pen-Pineapple-Apple-Pen，簡稱PPAP<br>搭上某當紅影片熱潮的貓咪網紅二人組。<br>善於攻擊紅色敵人	
318	受貓咪神寵愛的小巫女<br>殊不知自己體內有著強大力量<br>對上有屬性的敵人很耐打（遠方範圍攻擊）	傳說在日夜交界時現身的純白新娘<br>沒有人知道她要嫁往何方（遠方範圍攻擊）<br>對上有屬性的敵人很耐打、必定能使其動作變慢	
319	解放野性本能的貓咪<br>想要他聽話就得花錢<br>	無法停止本性覺醒的貓咪<br>想要他聽話就得花錢<br>	
320	今年25歲，很高但不帥的偶像中文版限定角色。<br>夢想是成為超級偶像後，在台北小巨蛋開演唱會。<br>有時候會讓飄浮敵人的動作停止（範圍攻擊）	今年25歲，很高但不帥的偶像中文版限定角色。<br>配合過年所以換上喜氣洋洋的服裝來跟大家拜年。<br>有時候會讓飄浮敵人的動作停止（範圍攻擊）	為了實現成為超級偶像的夢想而努力的網紅<br>還不得已帶著一隻自稱拍檔不肯離開的貓咪<br>有時候會讓飄浮敵人的動作停止（範圍攻擊）
321			
322	舞臺劇界的天才童星。演出電影「森」<br>獲得最佳配角並被稱為「驚人怪童」<br>善於攻擊天使敵人和不死生物（範圍攻擊）	從地獄甦醒過來的傳奇搖滾樂團<br>最新專輯「因果報應」復仇演唱會巡迴中<br>善於攻擊天使敵人和不死生物（範圍攻擊）	因風格不同而解散的樂團再度復出！<br>個性互相碰撞的最新專輯「94狂」熱賣中<br>善於攻擊天使敵人和不死生物（範圍攻擊）
323	因演出舞台劇「貓的報怨」<br>被敗逃武士貓咪之靈附身的貧窮演員<br>波動傷害無效（範圍攻擊）	因爲處女作電影的每個鏡頭都發生靈異現象<br>結果整部作品無法上映的不幸貧窮演員<br>波動傷害無效（範圍攻擊）	在與惡靈攜手解決事件的電視劇「佛滅警察」<br>中竄起的演員。賺來的錢９成都投入給貓。<br>波動傷害無效、有時候讓古代種動作停止。
324	瞄準目標後直線出擊，意志堅定的貓咪<br>撞擊敵人就會一動也不動，如石堅硬的貓咪<br>波動傷害無效	可使波動傷害無效化的最新清潔機器人貓咪<br>說明書上有記載…<br>使用時發生任何故障本公司一概不提供保固	朝目標直線前進搭載最新AI的汽車<br>為了實現自動駕駛正在測試中。預定要更改車身<br>波動傷害無效
325	只因為髮型很像拳擊手<br>就被挖掘到拳擊界的貓咪<br>偶爾會打飛不死生物	與世界冠軍的殊死之戰後<br>因爲頭髮給燒到變形而轉型當爆炸頭藝人的貓咪<br>偶爾會打飛不死生物	不屈服的鬥志決定東山再起拳擊界<br>減重過頭讓他有了覺醒能力…的"幻想"！<br>偶爾會打飛不死生物
326	來自Crash Fever！<br>看來優雅穩重且又堅強的女學者<br>給予紅色敵人超大傷害，且必定打飛他們（範圍攻擊）	來自Crash Fever！<br>嚮往著成爲一名成熟女性而不停磨練自己<br>給予紅色敵人超大傷害，且必定打飛他們（範圍攻擊）	
327	來自Crash Fever！<br>追緝ALICE所有重刑犯的AI<br>體力減少攻擊力就會上升（範圍攻擊）	來自Crash Fever！<br>就算獨斷也要懲罰罪犯的熱血男子<br>體力減少攻擊力就會上升（範圍攻擊）	
328	來自Crash Fever！<br>總是看起來很幸福的電腦病毒（範圍攻擊）<br>	來自Crash Fever！<br>嘴邊總是掛著「哈皮！」<br>不斷向身邊散播幸福（範圍攻擊）	
329	用全身來共襄盛舉復活節的貓咪<br>老實說還看不出他葫蘆裡賣什麼藥<br>可以讓天使敵人的動作瞬間變慢	破殼而出的貓咪<br>感覺找到了全新的自己<br>可以讓天使敵人的動作瞬間變慢	
330	陶醉在春暖花開之中的戰國武將<br>模仿當地的做法享受著異國傳來的祭典<br>善於攻擊天使敵人，必定能打飛他們(範圍攻擊)	隨著春暖花開而變得開放的戰國武將<br>俏皮的服裝深深吸引了眾男士們的目光<br>善於攻擊天使敵人，必定能打飛他們(範圍攻擊)	
331	深愛著純潔無瑕孩童靈魂的傀儡人偶<br>發現彩蛋的孩童會被招待去夢幻之國(範圍攻擊)<br>只能攻擊紅色與黑色敵人，但破壞力超強	將孩童們找到的彩蛋偷偷掉包<br>換成皮蛋的極惡人偶(範圍攻擊)<br>只能攻擊紅色敵人與不死生物，但破壞力超強	
332	復活節限定造型的鄰家小貓<br>想要藏彩蛋但是沒地方...<br>崇拜的對象是萌貓（有時候會心一擊）	被迫代替姊姊參加嘉年華的萌萌貓<br>喜歡可愛的服裝但是穿在自己身上<br>卻覺得有點難為情（有時候會心一擊）	
333	在冷漠的世界誕生的另一匹牙王<br>徘徊找尋著強大的力量<br>給予沒有屬性的敵人超大傷害(範圍攻擊)	只會在對自己的無力感到絕望者面前出現的謎幻貓咪<br>給予沒有屬性的敵人超大傷害<br>且必定能使其瞬間動作停止（範圍攻擊）	
334	從異世界來的絕命系狐狸妹<br>生性害羞從不露臉的她獨自的徘徊在這世界<br>有時候能使飄浮和天使敵人動作變慢(範圍攻擊)	終於揭開狐狸面具現身的她從被稱讚<br>尾巴很可愛的那天開始就以這個姿態亮相<br>有時候能使飄浮和天使敵人動作變慢(範圍攻擊)	妖狐姿態轉生並神格化的狐姬<br>卸下面具真實的過自我生活是一個小確幸<br>有時候能使飄浮與天使敵人的動作變慢！(範圍攻擊)
335	從異世界來的絕命系人魚妹<br>過著跟液晶裡的男友約會的每一天<br>對上紅色敵人很耐打，必定能使其攻擊力下降	愛的偉大力量讓她獲得了美貌與雙腿<br>液晶裡面的男友給了她生存的力量<br>對上紅色敵人很耐打，必定能使其攻擊力下降	為了跟美男一起生活而建造了龍宮城<br>每天邊打遊戲邊做著哪天美男會到來的夢<br>對上紅色敵人很耐打，必定能使其攻擊力下降
336	從異世界來的絕命系木乃妹<br>使用過多含防腐劑化妝品變成木乃伊的美魔女<br>能給予異星戰士和不死生物超大傷害(範圍攻擊)	使用最新化妝品後找回了肌膚的白皙光采 ！<br>美麗的準則是「時尚從腳開始」<br>能給予異星戰士和不死生物超大傷害(範圍攻擊)	在死者選美比賽中優勝豔光四射的美魔女<br>椅子美容書銷售一空，用版稅再投資自己變美<br>對異星戰士與不死生物造成超大傷害(範圍攻擊)
337			
338	吸收了傳說武器「貓咪扇」的詛咒後<br>遭神力變化為妖狐之姿的智將(遠距範圍攻擊)<br>善於攻擊黑色敵人，必定能使其攻擊力下降	解放傳說武器「貓咪扇」奧義的戰國武將<br>將以絢爛豪華的黃金箭來復仇(遠距範圍攻擊)<br>善於攻擊黑色敵人，必定能使其攻擊力下降	將傳說武器「貓咪扇」用火焰妝點的戰國武將<br>以地獄的鬼火燒盡怨敵(遠距範圍攻擊)<br>善於攻擊黑色敵人，必定能使其攻擊力下降
339			
340	受在"失去世界遇到的少女"影響<br>透過模仿學到了不可思議的力量和飛行能力<br>有時候會讓異星戰士瞬間動作停止	為了要更像"失去世界遇到的少女"一點<br>身穿全身訂做的服裝完美再進化<br>有時候會讓異星戰士瞬間動作停止	
341	平行宇宙中的失去世界的小雪<br>不喜歡隨便被叫出名字<br>能對天使敵人與異星戰士造成超大傷害(範圍攻擊)	在貓咪的協助下變得能夠召喚<br>新種紅色魂體的"失去世界"的小雪<br>能對天使敵人與異星戰士造成超大傷害(範圍攻擊)	獲得了過度的貓咪協助，結果<br>長出貓耳與貓尾的"失去世界"的小雪<br>能對天使敵人與異星戰士造成超大傷害(範圍攻擊)
342	對大眾的愛戴充滿感謝的貓<br>據說可以替主人招來一些福氣<br>打倒敵人的時候可以得到很多金錢	在大眾的關愛下成長的貓<br>為回饋大眾將帶給大家滿滿食糧<br>打倒敵人的時候可以得到很多金錢	
343	雨停的那天相遇後志趣相投的鼻涕蟲與貓<br>最擅長貼身緊追，但弱點是怕鹽巴<br>可以讓敵人的動作瞬間變慢（範圍攻擊）	為了更上一層樓而換成鼻涕蟲來騎貓<br>最擅長單騎領放，但弱點還是怕鹽巴<br>可以讓敵人的動作瞬間變慢（範圍攻擊）	為了更高遠的目標而交換位置鼻涕蟲來騎貓<br>最擅長單騎領放，但弱點還是怕鹽巴<br>可以讓敵人的動作瞬間變慢（範圍攻擊）
344	來自梅露可物語的戰士！<br>空之國一名沒有翅膀的少年。每天都從高塔窗口眺望街景<br>有時候可以打飛飄浮敵人(範圍攻擊)	來自梅露可物語的戰士！<br>因聖女的奇跡而獲得翅膀的少年。笨手笨腳但很率直<br>有時候可以打飛飄浮敵人(範圍攻擊)	來自梅露可物語的戰士！<br>單手持著素描簿環繞遊走各地的空之國少年<br>有時候可以打飛飄浮敵人(範圍攻擊)
345	來自梅露可物語的戰士！<br>有著巨大的翅膀而被稱為聖翼的少女(範圍攻擊)<br>善於攻擊飄浮敵人，有時候能使其動作停止	來自梅露可物語的戰士！<br>因失去了翅膀而成為真正聖女的少女(範圍攻擊)<br>善於攻擊飄浮敵人，有時候能使其動作停止	來自梅露可物語的戰士！<br>選擇了不依靠神的奇蹟生活方式的聖女(範圍攻擊)<br>善於攻擊飄浮敵人，必定能使其動作停止
346	來自梅露可物語的戰士！<br>留在現世一直尋找其兄長的和之國少女<br>有時候會讓異星戰士和不死生物的動作變慢(範圍攻擊)	來自梅露可物語的戰士！<br>非常珍惜著最愛的兄長送給她的和服<br>有時候會讓異星戰士和不死生物的動作變慢(範圍攻擊)	
347	人氣蛋黃哥懶得參戰…<br>「貓咪」不是用來戴的嗎～？<br>善於攻擊紅色敵人	人氣蛋黃哥懶得參戰…<br>進化之後一樣能躺就不站～<br>善於攻擊紅色敵人	人氣蛋黃哥懶得參戰…<br>還沒吃過就落伍了～<br>善於攻擊紅色敵人，波動傷害無效
348	人氣蛋黃哥懶得參戰…<br>哥被貓咪扛著也一樣打不起勁～<br>對上飄浮敵人很耐打	人氣蛋黃哥懶得參戰…<br>晃的再厲害哥也一樣不想起床<br>對上飄浮敵人很耐打	
349	人氣蛋黃哥懶得參戰…<br>哥真的走不動了～<br>能對黑色敵人造成超大傷害(範圍攻擊)	人氣蛋黃哥懶得參戰…<br>不要緊急剎車啦～<br>能對黑色敵人造成超大傷害(範圍攻擊)	
350	人氣蛋黃哥懶得參戰…<br>蛋黃人還真充滿幹勁～！<br>有時候打飛紅色敵人和異星戰士（範圍攻擊）	人氣蛋黃哥懶得參戰…<br>貓咪裝很潮嗎？<br>有時候打飛紅色敵人和異星戰士（範圍攻擊）	
351	修練一身雙掌技，天真無邪的雙胞胎<br>以絕佳默契操控肉球使出快速連續攻擊<br>能給予黑色敵人與異星戰士超大傷害（範圍攻擊）	精通格鬥技，總是感情超好的雙胞胎<br>用合作無間的拳頭打飛校門口的老師，目標全勤獎<br>能給予黑色敵人與異星戰士超大傷害（範圍攻擊）	被選為傳承雙掌技精髓的雙胞胎<br>洗鍊的合作無間攻擊可以粉碎校舍<br>能給予黑色敵人與異星戰士超大傷害（範圍攻擊）
352	以1個紅豆麻糬的代價加入貓咪軍團的傳說仙人<br>最近特別健忘，但是武術精髓絕不會忘。<br>可以快速連擊來發射波動（範圍攻擊）	以1個什麼的代價加入某某軍團的傳說老仙<br>最近特別健忘，但是那個的精髓絕不會忘。<br>可以快速什麼來發射那個（範圍攻擊）	
353	一個愛吃巧克力的遊戲實況主，自從養了<br>愛貓橘子冰後...就完全變成牠的貓奴啦<br>有時候會打飛黑色敵人(範圍攻擊)	一個愛吃巧克力的遊戲實況主，自從遇到<br>一隻奇特的貓咪後...就給牠纏住不放啦<br>有時候會打飛黑色敵人(範圍攻擊)	一個愛吃巧克力的遊戲實況主，<br>似乎一直都沒發現自己已經貓化了...<br>有時候會打飛黑色敵人(範圍攻擊)
354	穿上很久沒穿的泳裝而興奮不已的天然女孩<br>騎在小海豚泳圈上的模樣吸引了眾男士的目光<br>對上黑色敵人和不死生物很耐打(範圍攻擊)	給盛夏艷陽曬昏頭，幾句甜言蜜語就會上鉤的八戒貓<br>想著哪天有機會要來一場美好的夏日戀情<br>對上黑色敵人和不死生物很耐打(範圍攻擊)	
355	活用古代學術的天體力學製成的移動式兵器<br>只能攻擊有屬性的敵人<br>但破壞力超強(範圍攻擊)	為了一統銀河而開發，由萬中選一的<br>操作士們所操縱的滅星級兵器。只能攻擊<br>有屬性的敵人但破壞力超強(範圍攻擊)	為了全宇宙，由萬中選一的操作士們<br>所操縱的銀河破壞兵器。只能攻擊<br>有屬性的敵人但破壞力超強(全方位攻擊)
356			
357	從異世界來的絕命系野狼妹<br>在社群網站虛報狼來了謠言，謊話連篇讓人困擾<br>有時候會打飛天使和異星戰士（範圍攻擊）	因謊話連篇在網路上被噓爆的狼女<br>最新貼文是「噓得這麼紅那我只好脫了唷☆」<br>有時候會打飛天使和異星戰士（範圍攻擊）	靠爆料製造話題用點閱率賺進了豪宅的狼女<br>口頭禪「追蹤我就回饋你1億唷☆」<br>有時候會打飛天使和異星戰士（範圍攻擊）
358	從異世界來的絕命系不死妹<br>等待著填滿她空蕩蕩的心和肚子的人<br>有時候會發出會心一擊（範圍攻擊）	找到了真愛，心滿意足的不死新娘<br>心裡非常幸福不過肚子還沒填飽<br>有時候會發出會心一擊（範圍攻擊）	用深愛老公們的遺產過著奢侈至極生活的不死新娘<br>婚姻的次數造就心情飽滿財富也飽滿，幸福也飽滿。<br>有時候會使出會心一擊(範圍攻擊)
359	來自宇宙盡頭的火精靈<br>據説每個星球的第一把火都是其帶來的<br>能給予異星戰士超大傷害	執掌著能夠燒盡一切的火焰<br>強大的爆發力使其能破壞護盾<br>對上異星戰士很耐打，並能給予其超大傷害	持有可將銀河燒成灰燼之火焰的猛火精靈<br>其超越大霹靂的強大能力能破壞護盾<br>對上異星戰士很耐打，並能給予其超大傷害
360	來自宇宙盡頭的水精靈<br>據説每個星球的第一滴水都是其帶來的<br>有時候能打飛異星戰士並使其動作變慢	執掌著能夠沖破一切的流水<br>其猛烈的水柱能破壞護盾<br>對上異星戰士很耐打，能打飛他們並使其動作變慢	獲得了強大力量可將星座都沖走的流水精靈王<br>其以銀河為水源的水柱能破壞護盾<br>對上異星戰士很耐打，能打飛他們並使其動作變慢
361	來自宇宙盡頭的風精靈<br>據説每個星球的第一陣風都是其帶來的<br>(遠距範圍攻擊)	執掌著能夠吹走一切的暴風<br>其急速的陣風能破壞護盾<br>對上異星戰士很耐打(遠距範圍攻擊)	握有可以消滅星雲之強大力量的暴風精靈王<br>能摧毀宇宙的暴風可以破壞護盾<br>對上異星戰士很耐打(遠距範圍攻擊)
362	從Fate/stay night [HF]來參戰！<br>與衛宮士郎訂定契約，劍士的英靈<br>可以給予飄浮敵人超大傷害(遠距範圍攻擊)	從Fate/stay night [HF]來參戰！<br>最高class，持有強力寶具<br>可以給予飄浮敵人超大傷害(遠距範圍攻擊)	從Fate/stay night [HF]來參戰！<br>身著漆黑鎧甲的神秘劍士。倒是像Saber...<br>可以給予飄浮敵人超大傷害(遠距範圍攻擊)
363	從Fate/stay night [HF]來參戰！<br>召喚Archer並參加聖杯戰爭<br>有時候會打飛異星戰士與不死生物(範圍攻擊)	從Fate/stay night [HF]來參戰！<br>衛宮士郎的同級生，冬木的管理者與遠坂的繼承者<br>有時候會打飛異星戰士與不死生物(範圍攻擊)	從Fate/stay night [HF]來參戰！<br>衛宮士郎的同級生，冬木的管理者與遠坂的繼承者<br>偶爾會打飛異星戰士與不死生物(範圍攻擊)
364	從Fate/stay night [HF]來參戰！<br>與Berserker訂定契約，參加戰爭的少女<br>有時候會讓紅色與鋼鐵敵人的動作變慢(範圍攻擊)	從Fate/stay night [HF]來參戰！<br>聖杯戰爭的御三家之一，又名愛因茲貝倫<br>有時候會讓紅色與鋼鐵敵人的動作變慢(範圍攻擊)	
365	從Fate/stay night [HF]來參戰！<br>與遠坂凜訂定契約，弓兵的英靈<br>波動傷害無效(遠距範圍攻擊)	從Fate/stay night [HF]來參戰！<br>對衛宮士郎懷有敵意但真意不明<br>波動傷害無效(遠距範圍攻擊)	
366	從Fate/stay night [HF]來參戰！<br>Master不明，槍兵的英靈<br>必定能破壞護盾(範圍攻擊)	從Fate/stay night [HF]來參戰！<br>敏捷性優秀，與Saber不相上下<br>必定能破壞護盾(範圍攻擊)	
367	從Fate/stay night [HF]來參戰！<br>與間桐慎二訂定契約，騎兵的英靈<br>必定能讓天使敵人暫時動作停止(範圍攻擊)	從Fate/stay night [HF]來參戰！<br>機動性超高，擅於製造結界等魔術<br>必定能讓天使敵人暫時動作停止(範圍攻擊)	
368	從Fate/stay night [HF]來參戰！<br>面帶微笑現身的神秘少年<br>體力下降時攻擊力上升(遠距範圍攻擊)	從Fate/stay night [HF]來參戰！<br>應該是不存在的第八名英靈<br>體力下降時攻擊力上升(遠距範圍攻擊)	
