000	Il gatto base<br><br>	Punto a favore: definizione muscolare.<br>Gatto base.<br>	Punto a favore: definizione muscolare.<br>Altro punto a favore: capelli bellissimi.<br>
556	An angel born in the realm of dreams, who soars<br>through the heavens sealing away stray devils.<br>Massive long-range damage to Black/Angels!	Sealing demons with his righteous blade,<br>the true scion of the heavenly realms!<br>Massive long-range damage to Black/Angels!	Heaven's hero, corrupted by infernal magics?!<br>Can this fallen knight's rampage be stopped??<br>Massive long-range damage to Black/Angels!
557	An angel who frolics through the elysian fields.<br>Make the devils dance before crushing them!<br>Extra money earned by defeating enemies!	Divine King who uses godlike speed to fulfill<br>the prophecies of the heavenly realms.<br>Extra money earned by defeating enemies!	
558	È fuggito dal distributore di capsule per festeggiare<br>un altro anno di divertimento! Gira, gira e gira<br>ancora! Potrebbe respingere i nemici.	Sciocchi! Questa non è nemmeno la mia forma più fortunata!<br>Girare non è mai TROPPO!<br>Potrebbe respingere i nemici.	
559	Va a caccia di anime malvagie che provano a fuggire dalla<br>propria punizione eterna. Torna all'inferno con te!<br>Attacchi bilaterali possono indebolire. Immune da ondate.	Giudice, giuria e boia per gli infidi morti che hanno<br>messo da parte l'onore per vincere in battaglia.<br>Attacchi bilaterali possono indebolire. Immune da ondate.	
560	Virtual singer loved by the entire Cat Empire!<br>Bilingual vocalist with just a bit of mystery to her.<br>Massive Long-Range Area Damage to Floating/Black	Virtual singer loved by the entire Cat Empire!<br>Laid-back bilingual vocalist with a silky smooth voice.<br>Massive Long-Range Area Damage to Floating/Black	
561	Virtual singer loved by the entire Cat Empire!<br>Talented vocalist who transcends genre.<br>Massive Long-Range Area Damage to Red	Virtual singer loved by the entire Cat Empire!<br>Heartfelt singer with a world-class voice.<br>Massive Long-Range Area Damage to Red	
562	Die-hard fan of a cool & mysterious singer.<br>Avoids dancing to preserve her mysterious allure.<br>Chance to Dodge Alien attacks	To better be like that cool & mysterious singer,<br>dances with a tuna and talks like a salty sea dog.<br>Chance to Dodge Alien attacks	
563	È difficile mirare con le pistole ad acqua... ma almeno<br>i colpi accidentali bagnano gli amici del campeggio e basta.<br>Attacchi ad area a distanza colpiscono solo nemici fluttuanti/neri.	Veglia sulle spiagge illuminate dalle stelle, proteggendo<br>le tartarughe marine dai vandali con petardi illegali.<br>Att. area a distanza colpiscono solo fluttuanti/angelici.	Si aggira per le spiagge, proteggendole dai pericoli.<br>Purifica i bracconieri con la sua pistola ad acqua.<br>Attacco mirato efficace solo vs fluttuanti/angelici.
564	Non si capisce se sia un Gatto... o una ragazza?<br>C'è qualcosa di strano<br>nella scelta di quel costume da bagno...	Per mille balene! Sembra che<br>questa audace bellezza marina abbia<br>probabilità del 100% di attacchi a valanga ad area.	È un gatto o una celebrità?<br>Tipa curiosa la cui identità rimane un mistero.<br>Probabilità del 100% di attacchi a valanga ad area
565	Abbronzato alla perfezione nel sole di mezza estate.<br>Alle rughe ci pensiamo dopo.<br>Può schivare attacchi dei senza tratti.	Si è abbronzato alla perfezione facendo le trazioni<br>nella palestra in spiaggia. Spunta il sole, fuori le pistole!<br>Può schivare attacchi dei senza tratti.	Abbronzato alla perfezione, brilla come il sole d'estate.<br>Gira per le spiagge facendosi rubare il cuore dalle ragazze.<br>Può schivare attacchi dei senza tratti.
566	Questi amiconi mantengono le spiagge sicure e divertenti e<br>controllano tutto il tempo le onde con una visione di 20/20.<br>Att. area a distanza possono rallentare i senza tratti.	Tre fratelli leali che ricordano un dolcetto<br>zuccheroso. Quello in cima stranamente non è il più grande.<br>Att. area a distanza possono rallentare i senza tratti.	Tre fratelli leali sempre in sincrono. Si chiamano<br>Lampone, Vaniglia e Wasabi. Ammazza Behemoth,<br>attacco ad area a distanza. Rallenta i senza tratti.
567	In arrivo da ShiroDora!<br>Un misterioso uovo a forma di gatto. E se evolve...?<br>	In arrivo da ShiroDora!<br>Un Gatto molto orgoglioso delle sue origini.<br>Efficace contro i senza tratti (Attacco ad area)	
568	Misteriosa forma di vita che sembra analizzare<br>i Gatti. Nessuno sa perché si sia unita alla<br>loro armata. Danni ad area enormi ad Antichi.	Appare dal nulla per effettuare scansioni dei<br>Gatti più potenti. La sua missione è ignota.<br>Danni ad area enormi ad Antichi.	
569	Uno spirito di pietra che ha attraversato l'universo,<br>accumulando potere cosmico in viaggio nello spazio.<br>Probabilità del 100% di attacco a ondata.	Spirito di pietra che comanda le energie latenti di<br>meteoriti e asteroidi per distruggere le minacce dei Gatti.<br>Forte contro alieni, prob. 100% di attacco a ondata.	Spirito dei massi portato in vita dal dio dei meteoriti.<br>Sfonda barriere con la sacra energia del cosmo!<br>Forte contro alieni, prob. 100% di attacco a ondata.
570	Un defunto signore dei draghi che ha stretto un patto con<br>una bestia scheletrica per avere potere (e tante caramelle)<br>Attacchi ad area rallentano e respingono alieni/zombi.	Spettro di un signore dei draghi che appare urlando<br>nei cieli delle notti di Halloween senza luna.<br>Attacchi ad area rallentano e respingono alieni/zombi.	Un cavaliere nero al servizio del re di Halloween.<br>Ruba senza esitazione caramelle poco salutari ai passanti.<br>Respinge/rallenta al 100% zombi e alieni.
571	Joining the fight from Street Fighter V!<br>The world will know the majestic art of Sumo!<br>Tough vs Angels, with 100% Knockback! (Area Atk)	Joining the fight from Street Fighter V!<br>Flying onto the world stage with a Super Head Ram!<br>Tough vs Angels, with 100% Knockback! (Area Atk)	
572	Joining the fight from Street Fighter V!<br>Former pro boxer, steadfast in his convictions.<br>Area Attacks only hit Red/Black/Zombies!	Joining the fight from Street Fighter V!<br>His Turn Punch guarantees a quick knockout!<br>Area Attacks only hit Red/Black/Zombies!	
573	Joining the fight from Street Fighter V!<br>A pure narcissist who strives to fight beautifully.<br>Freezes Metal, Long-Range Strikes might Critical!	Joining the fight from Street Fighter V!<br>Dance with death using a "Flying Barcelona Attack"<br>Freezes Metal, Long-Range Strikes might Critical!	
574	Joining the fight from Street Fighter V!<br>Ultimate strength and masterful technique. Massive<br>damage vs Floating, stronger after taking damage!	Joining the fight from Street Fighter V!<br>Crush fools with a Tiger Uppercut! Massive<br>damage vs Floating, stronger after taking damage!	Joining the fight from Street Fighter V!<br>Tiger Uppercut crushes foolishness! Massive<br>damage vs Floating, stronger after taking damage!
575	Joining the fight from Street Fighter V!<br>Mastermind of the evil organization Shadaloo.<br>Strong vs Floating/Aliens/Zombies!	Joining the fight from Street Fighter V!<br>Bring the world to heel with a Psycho Crusher!<br>Strong vs Floating/Aliens/Zombies!	
576	A Cat driven to spread the love of Sumo.<br>Winner of the Li'l Sumo Tournament for 20<br>years running. Tough vs Angels (Area Attack)	Cultivated his body to become a testament to<br>the healing powers of Japan's hot spring culture.<br>Tough vs Angels (Area Attack)	Cultivated his body to become a testament to<br>the healing powers of Japan's hot spring culture.<br>Tough vs Aliens (Area Attack)
577	Aiming to take the grand prize and get rich!<br>...but he's been disqualified for repeated fouls.<br>Strong vs Black enemies	An underworld legend with a flawless hook.<br>Can't sleep after fights due to muscle pain.<br>Strong vs Black enemies	Legendary underworld Cat with a flawless hook.<br>Can't sleep after fights due to muscle pain.<br>Strong vs Black enemies
578	Narcissist Cat drunk on his own beauty.<br>Wears a mask to protect his flawless looks.<br>Strong vs. Angels	Cat who mastered the beautiful art of<br>Spanish Ninjutsu. Mask is more beautiful<br>than his own face. Strong vs. Angels	
579	A prideful Cat known as The Emperor.<br>His personal Muay Thai style is undefeated.<br>Strong vs Floating, Immune to Waves!	Foolish defiance of the weak will not be tolerated.<br>Seeks a higher reason to achieve true strength.<br>Strong vs Floating, Immune to Waves!	
580	Wielding psycho-power, this deadly Cat aims to<br>tear down this world to build a new paradise.<br>Strong vs Aliens, with Long-Range Area Atk	The villainous leader of an evil secret society,<br>controlling the global Cat Food smuggling cartel.<br>Strong vs Aliens, with Long-Range Area Atk	
581	Una forma di vita minerale scoperta da GAMATOTO<br>nelle profondità della Terra. Finalmente resa utile<br>dopo otto anni di ricerche. Attacca una volta sola.	Gatto primordiale di pietra sorprendentemente fragile,<br>sia fisicamente che emotivamente. Attenzione a<br>non ferire il suo piccolo cuore. Attacca una volta sola.	
582	Virtual singer loved by the entire Cat Empire!<br>Performed at Magical Mirai 2020 in OSAKA/TOKYO!!<br>Massive damage vs Red/Angels, might Savage Blow.	Virtual singer loved by the entire Cat Empire!<br>Dressed for summer festivals in her best yukata!<br>Massive damage vs Red/Angels, might Savage Blow.	
583	Virtual singer loved by the entire Cat Empire!<br>Next performance: Magical Mirai 2020 in TOKYO<br>Tough vs Red/Angels, blocks Wave attacks.	Virtual singer loved by the entire Cat Empire!<br>Dressed for snowy cheer in stylish winter wear!<br>Tough vs Red/Angels, blocks Wave attacks.	
584	Guida la carica nella guerra del Natale! Regali per i<br>guerrieri buoni e tanta sofferenza per quelli cattivi!<br>Forte vs rossi, diventa più forte dopo aver subito danni!	Hai sentito di quel guerriero che amava così tanto il Natale<br>che in testa gli è spuntato un albero addobbato per le feste?<br>Forte vs rossi, diventa più forte dopo aver subito danni!	Feroce dio della guerra con un fervore festivo in battaglia!<br>Considerato un eccentrico per la sua bizzarra armatura.<br>Forte vs rossi/Aku, diventa più forte dopo aver subito danni!
585	Difende gli indifesi con tutto il suo potere. Potrà anche<br>essere piccolo, ma in sé ha un grande potenziale...<br>Bilaterali, forte vs tutti i tratti, immune da ondate.	Se un tuo caro prega per la tua salvezza, Garu<br>gli donerà la sua potenza per difenderti. Forte vs nemici<br>con tratti, immunità da ondate con mini-ondate bilaterali.	
586	Sfidando l'antica foresta, ha ottenuto un incommensurabile<br>potere magico che gli ha permesso di domare tutti i Gatti.<br>Attacchi ad area con effetti negativi sui nemici con tratti.	La misteriosa magia presenta un costo imprevisto, e<br>un pezzo della sua anima viene consumato a ogni battaglia.<br>Attacchi ad area con effetti negativi sui nemici con tratti.	
587	Orgogliosa dea dell'amore che cambia aspetto per un solo<br>giorno speciale all'anno. Le sue frecce infliggono<br>danni ad area a lungo raggio enormi vs nemici rossi e neri.	La regina dell'amore, vestita per San Valentino e in vena<br>di romanticherie. Le sue frecce infliggono<br>danni ad area a lungo raggio enormi vs nemici rossi e neri.	
588	Quest'anno, la nostra principessa ha assunto un pasticcere<br>a 3 stelle per insegnarle come fare il cioccolato in casa.<br>Può schivare att. di rossi/fluttuanti, con attacco a ondata.	Ora che ha perfezionato il suo cioccolato, è pronta a<br>dichiarare i propri sentimenti a qualcuno degno del suo<br>amore. Può schivare rossi/fluttuanti, con attacco a ondata.	
589	Cioccolatini stretti in mano ed è pronta per vincere<br>la paura e a parlare con la sua cotta. È l'anno giusto!<br>100% attacco a mini-ondata che può infliggere danni critici.	Parlare la terrorizzava, così si è limitata a lasciare<br>cioccolatini e una lettera d'amore nella buca delle lettere.<br>100% attacco a mini-ondata che può infliggere danni critici.	Porta i dolcetti migliori che abbia mai fatto, per<br>donarli a un qualcuno di molto speciale...<br>Mini-ondate possono perforare scudi Aku con danni critici.
590	Virtual singer loved by the entire Cat Empire!<br>A majestic snow sculpture brought to life!<br>Strong vs.Traitless, with chance to Slow.	Virtual singer loved by the entire Cat Empire!<br>Beautifully bedecked in snow illuminations.<br>Strong vs.Traitless, with chance to Slow.	
591	Virtual singer loved by the entire Cat Empire!<br>A talented singer with a wide vocal range.<br>Tough vs. Zombies, with Area Attack.	Virtual singer loved by the entire Cat Empire.<br>Blessed with expressive, manly voice.<br>Tough vs. Zombies, with Area Attack.	
592	Die-hard fan of a fresh-faced popstar.<br>Known for gifting fresh oranges to the crowd.<br>Might Dodge attacks from Black enemies.	Die-hard fan of a charming popstar.<br>Dreams of her voice being heard around the world.<br>Might Dodge attacks from Black enemies.	
593	Die-hard fan of a powerful popstar.<br>Adolescence has recently developed his voice.<br>Might Dodge attacks from Metal enemies.	Die-hard fan of a dignified popstar.<br>Touring the world in a handmade banana boat.<br>Might Dodge attacks from Metal enemies.	
594	Trafficanti di tesori che viaggiano per il mondo in zeppelin<br>trasportando uno strano manufatto che emette energia cosmica.<br>Bilaterale infligge danni incredibili agli zombi.	Il misterioso manufatto viene consegnato a un'unità militare<br>segreta sotto la supervisione di sicurezza d'élite.<br>Bilaterale infligge danni incredibili agli zombi.	Il manufatto viene consegnato da sicurezza di ultra élite.<br>Danni incredibili a zombi; possibilità di schivare.<br>Sopravvive a un colpo letale. (Bilaterale)
595	Mitico drago che annuncia l'arrivo della primavera e<br>che appare dopo aver trovato 7 uova di Pasqua.<br>Danni ad area possono rallentare e respingere metallici.	Mitico drago evocato con 7 uova di Pasqua.<br>Tutto ciò che tocca il suo alito magico, prende vita.<br>Danni ad area possono rallentare e respingere metallici.	Drago leggendario che esaudisce i desideri di chi<br>sogna la primavera, facendo germogliare nuova<br>vita. Può respingere/rallentare metallici e Aku.
596	Joining from "Ranma 1/2"! Heir to the<br>Saotome style of Anything Goes Martial Arts.<br>Massive Omnistrike damage to Red/Floating.	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a girl!<br>Massive Omnistrike damage to Red/Floating.	
597	Joining from "Ranma 1/2"! Strong and clumsy,<br>but pure-hearted girl engaged to Ranma.<br>Long-range Savage Blows w/ Barrier Break!	Joining from "Ranma 1/2"! Never misses a<br>day of training. All suitors will be crushed!<br>Long-range Savage Blows w/ Barrier Break!	
598	Joining from "Ranma 1/2"! Cute piglet pampered<br>by Akane. But when doused in hot water...<br>Tough vs Metal/Black enemies, might Knockback	Joining from "Ranma 1/2"! Thinks of himself as<br>Ranma's rival, but can't find the dojo to fight him.<br>Tough vs Metal/Black enemies, 100% Knockback	
599	Joining from "Ranma 1/2"! When doused in<br>water, Cursed Springs magic turns her into a cat.<br>Attacks have chance of Mini-Wave.	Joining from "Ranma 1/2"! Mighty Amazon who'll<br>fight anyone standing between her and Ranma.<br>100% chance of Mini-Wave.	
600	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a duck.<br>Long-range strikes might Curse Aliens/Zombies.	Joining from "Ranma 1/2"! Dirty tricks master in<br>love with Shampoo... who has no feelings for him.<br>Long-range strikes 100% Curse Aliens/Zombies.	
601	Joining from "Ranma 1/2"! Founder of Anything<br>Goes style, who even Ranma cannot challenge.<br>Area atks might Knockback Red/Floating/Zombies.	Joining from "Ranma 1/2"! A troublesome<br>letch with a habit of stealing underwear...<br>Area atks might Knockback Red/Floating/Zombies.	
602	Joining from "Ranma 1/2"! Ranma's OTHER<br>fiancee, a commanding fighter (with a girlish heart).<br>Chance to Weaken Metal, might Critical.	Joining from "Ranma 1/2"! Polished her fighting<br>skills cooking okonomiyaki at her shop.<br>Chance to Weaken Metal, might Critical.	
603	Joining from "Ranma 1/2"! Rising star of the<br>kendo world, and hopelessly in love with Akane.<br>Chance to Slow/Knockback and Dodge Angels!	Joining from "Ranma 1/2"! In love with girl Ranma<br>at first sight, still shamelessly pursuing Akane.<br>Chance to Slow/Knockback and Dodge Angels!	
604	Die hard fan of Anything Goes Martial Arts.<br>Cat Fist technique is deadly at close range.<br>Massive damage to Floating, with chance to Slow!	Turned into a lady Cat for some reason. Can't<br>figure out why, looking for a way to turn back.<br>Chance to Slow and Dodge Floating attacks.	
605	A pure-hearted Cat loved by all the guys.<br>Awaiting the fiance of her dreams.<br>Chance to strike a Savage Blow!	A Cat who just can't stand boys! Trains while<br>imagining she's beating up that one rude guy!<br>Chance to strike a Savage Blow!	
606	A Cat who admires the Saotome school master,<br>and always trains wearing a cute panda outfit.<br>Collects Extra Money after defeating enemies!	A Cat who admires the Saotome school master.<br>Sold his panda outfit for a cool martial arts gi.<br>Collects Extra Money after defeating enemies!	
607	Spadaccina senza paura di un mondo fantastico!<br>Entra in un portale per l'Impero dei Gatti. Danni<br>enormi da valanga ad area a distanza verso nemici neri!	Curiosa vagabonda che torna a casa solo per condividere<br>racconti e tesori tra un'avventura e un'altra. Danni<br>enormi da valanga ad area a distanza verso nemici neri!	È riuscita a diventare una leggenda, ma non rinuncia<br>alle avventure. Ammazza Behemoth e infligge danni enormi<br>a valanga ad area a distanza contro nemici neri!
608			
609	Versione riflessa della prode bestia guardiana,<br>nata in una dura e fredda realtà. Forte vs senza tratti,<br>mini-ondate bilaterali, con immunità da ondate.	Una visione di disperazione di chi non ha saputo proteggere<br>i suoi cari. Forte vs senza tratti, mini-ondate bilaterali<br>più forti dopo aver subito danni, con immunità da ondate.	
610	Un bel pezzo di oro puro che valeva il doppio<br>prima che Gatto Panzer ci finisse dentro.<br>Forte contro fluttuanti (Att. ad area)	Una squadra di Gatti lingotti si è unita per formare<br>una singola, lucente unità. Lunga vita al re!<br>Forte contro fluttuanti (Att. ad area)	Gatto faraone dorato che non si vedeva dall'antico Impero.<br>I turisti vengono da tutto il mondo per ammirarne la gloria.<br>Forte vs fluttuanti, immune da veleno (Att. ad area)
611	A Cat who loves to play Godzilla, rampaging<br>through the city streets meowing furiously.<br>Strong vs Black Enemies	Wants to become the king of monsters like Godzilla.<br>Drinks milk daily, hoping to grow to 118.5 meters tall.<br>Strong vs Black Enemies	
612	In un lontano regno dei Gatti, un genio di 9 anni<br>ha memorizzato l'intera biblioteca reale.<br>Indebolisce nemici rossi, angelici, zombi, con mini-ondate.	Grazie al grande intelletto (e a incantesimi proibiti),<br>ha guidato il regno dei Gatti verso un'età fiorente.<br>Indebolisce nemici rossi, angelici, zombi, con mini-ondate.	
613	Eroe antico ora alleato con i Gatti trendy.<br>Si è rifatto il look senza dirlo ai genitori.<br>100% di immobilità vs Antichi, attacco a valanga singolo.	Stanco di essere legato dalle tradizioni familiari,<br>esprime il suo vero io con una nuova maschera da Gatto.<br>100% di immobilità vs Antichi, attacco a valanga singolo.	Il suo motto è "L'arte è violenta!". Consumato dalle<br>sue ambizioni artistiche. Ammazzagiganti/Ammazza Behemoth.<br>Immobilizza/respinge antichi al 100%, att. a valanga singolo.
614	Ha lasciato il suo palazzo sulla luna per una<br>vacanza sulla Terra trascorsa mangiando anguria.<br>Attacchi ad area possono rallentare nemici neri/alieni.	Una super arma antica costruita per difendere<br>un paradiso tropicale lanciando noci di cocco agli invasori.<br>Attacchi ad area rallentano al 100% nemici neri/alieni.	Antica super arma che domina tutte le spiagge.<br>Pubblicizzata come una grandiosa meta turistica.<br>Rallenta al 100% neri/alieni/Aku.
615	Un gatto in armatura che ama la resina di quercia.<br>Non si può catturare con una rete normale.<br>Efficace vs nemici neri e rossi.	Il potente Re dell'Estate con un corno.<br>Imbattibile nel torneo di sumo per insetti.<br>Efficace vs nemici neri e rossi.	
616	Un gatto in armatura che ama le bucce di melone.<br>Può essere catturato solo con una rete speciale.<br>Efficace vs nemici fluttuanti e alieni.	Campione dell'estate con un corpo robusto e lucente.<br>Continua a combattere anche dopo che l'incontro<br>è finito. Efficace vs nemici fluttuanti e alieni	
617	Per salvare il mondo ha fatto un patto con gli Aku.<br>Comanda oscuri paladini per una buona causa... per ora.<br>Att. ad area a distanza rallentano al 100% nemici Aku.	Solo il desiderio di salvare il mondo impedisce a Satoru<br>di venire corrotto dalla magia del patto con gli Aku.<br>Att. ad area a distanza rallentano al 100% nemici Aku.	Emerso per sottomettere il re Aku. La sua lotta<br>per proteggere i Gatti ha inizio! Attacchi ad area<br>a distanza respingono/rallentano al 100% Aku.
618	Creatura meccanica con l'anima di un giovane fanatico.<br>La sua giusta causa lo spinge a battaglie cruente.<br>Enormi danni ad area contro Aku e neri.	La sua eterna crociata ha segnato il suo spirito,<br>trasformandolo in uno spirito vendicativo e senza pietà.<br>Enormi danni ad area contro Aku e neri.	L'incarnazione di rancore e rabbia sul campo di battaglia.<br>Ha un fuoco infernale vendicativo che rovinerà il mondo.<br>Enormi danni ad area contro Aku e neri.
619	Questa folle ricercatrice ha fatto esperimenti sui suoi<br>compagni di classe per sintetizzare il vile elisir Mateki.<br>Efficace contro angelici e Aku, con attacchi perforanti.	Ha fatto un patto con i perfidi Aku per ottenere la formula<br>Mateki definitiva per asservire l'intera Accademia.<br>Efficace vs angelici e Aku, con attacchi perforanti al 100%.	Una pazza che crea elisir per schiavizzare i demoni.<br>Osserva le calamità e il caos con un sorriso ammaliante.<br>Efficace vs angelici e Aku, con attacchi perforanti al 100%.
620	Drago ripugnante, nato dal miasma e destinato a portare<br>disastro e distruzione agli stolti nemici mortali.<br>Forte vs nemici rossi e Aku, possibilità di respinta/perforamento.	Ha ricevuto un immenso potere per distruggere il<br>regno celeste grazie a patti oscuri con gli Aku.<br>Forte vs nemici rossi e Aku, possibilità di respinta/perforamento.	Un dragone oscuro che ha assorbito l'oscurità. Il suo<br>fuoco ha devastato molti mondi. Forte vs Aku/rossi,<br>con respinta al 100% e probabilità di Perfora scudo
621	Uno studente coraggioso avventuratosi nel Vortice<br>per comprendere la vera natura Aku<br>che ha investito tutta la sua fortuna in questa mania.	Più informazioni proibite acquisisce,<br>più diventa lui stesso un Aku.<br>Possibilità di danni critici, con attacchi perforanti.	Accademico che ha dedicato la vita allo studio degli Aku.<br>Ha un'infinita curiosità per i Gatti pericolosi per gli Aku.<br>Possibilità di danni critici, con attacchi perforanti.
622	Piccolo nato dall'uovo del Signore della Rovina. Pensa che i<br>Gatti che l'hanno trovato e cresciuto siano i suoi genitori.<br>Efficace vs senza tratti, 100% attacco a valanga.	I Gatti stanno crescendo bene il figlio della Rovina.<br>Ora ha due terribili anni: la sua ira non risparmia niente.<br>Efficace vs senza tratti, att. a valanga con respinta.	
623	Gatto bardo pifferaio che viaggia di città in città.<br>C'è qualcosa, nella melodia, che ti spinge a seguirlo...<br>100% indebolimento vs Aku con poss. di perforamento.	Si dà all'anonimato per padroneggiare meglio il flauto. Vende<br>cappelli da viaggio personalizzati per mantenersi.<br>100% indebolimento vs Aku con poss. di perforamento.	
624	Joining the fight from the River City series!<br>Bad-boy who defends the weak and defies the strong!<br>	Joining the fight from the River City series!<br>Plays dodgeball to train his body for taking on<br>the world! Long-range Area strikes!	
625	Non si capisce se sia un Gatto...<br>C'è qualcosa di strano<br>in quelle ciocche di capelli ardenti...	Il mondo riuscirà a sopportarne altri?<br>A quanto pare questo ha attacchi ad area<br>che perforano e sfondano al 100%.	
626			
627			
628			
629	Gatto base conveniente, programmato<br>con il controllo della mente per ottenere una<br>possibilità di schivare attacchi di neri/Aku	Punto a favore: definizione muscolare (e la<br>possibilità di schivare attacchi di neri/Aku<br>ottenuta attraverso il controllo mentale).	
630	Un artista il cui stile prevede un gigantesco<br>pennello e un sacco di errori cancellati (non conosce<br>l'ortografia). Efficace vs antichi	Fa porzioni industriali di tè usando una frusta<br>personalizzata, dona tazze a tutto l'Impero dei Gatti.<br>Efficace vs antichi, immune da ondate/valanga	
631	Un fantasma oscuro, nato nelle profondità dello spazio<br>e arrivato sulla Terra nel cuore di una stella cadente.<br>Possibilità di indebolire alieni e Aku	Crea un buco nero che può trascinare i pianeti<br>fuori orbita e sfondare barriere con facilità!<br>Forte vs alieni e Aku, con 100% indebolimento	Oscuro signore degli spiriti che divora la luce delle stelle.<br>Perfora barriere e blocca attacchi a ondata.<br>Forte vs alieni e Aku, con 100% indebolimento
632	Gatti predoni con un motore d'assalto alimentato da<br>energie Aku, pronti a conquistare le lande desolate.<br>Danni ad area enormi a zombi/angelici/Aku	Arma di alto livello costruita con tecnologia Aku rubata.<br>Il suo cannone distrugge qualsiasi cosa fino all'orizzonte.<br>Danni ad area enormi a zombi/angelici/Aku	Un'arma di distruzione di massa con tecnologia Aku.<br>Nessuna arma sul pianeta può fermarne l'avanzata.<br>Infligge danni enormi a zombi, angelici e Aku.
633	Cacciatore di tesori che ha "trovato" un forziere<br>stregato nel nido di un passero. Mini-ondata, con<br>possibilità di respinta/maledizione vs Aku/angelici	Cacciatori di fantasmi che lavorano con gli spiriti del<br>forziere per catturare yokai con un'ecto-rete tecnologica.<br>Possibili mini-ondate, 100% respinge/maledice Aku/angelici	Guadagnano molto dal lavoro di acchiappafantasmi.<br>Catturano gli spiriti con un equipaggiamento futuristico.<br>Mini-ondate, 100% respinta/maledizione vs Aku/angelici.
634	Uccide demoni e protegge gli innocenti, brandendo il<br>fulmine sacro per eliminare chi è nato dalle tenebre.<br>Può immobilizzare Aku/alieni, con Perfora scudo	Feroce crociato che ha sacrificato il proprio corpo agli<br>Aku in cambio del potere assoluto per<br>annullare il male. Efficace vs aku e alieni	
635			
636	Gatto con salute alta, abbastanza forte da spostare<br>un sassolino, programmato con il controllo della mente<br>per ottenere attacchi ad area, con forza extra	Gatto dalla difesa rigida, programmato con il controllo<br>della mente per ottenere la forza di muovere un piccolo<br>sasso, attacchi ad area e forza extra	
637			
638			
639			
640			
641	Ballerina che vuole far sorridere con la sua arte.<br>È che non capisce bene il suo potere.<br>Danni bilaterali enormi contro nemici con un tratto.	Brava ballerina che incanta con passi eleganti.<br>Con poteri magici infligge danni incredibili<br>ai nemici con tratti. Più forte dopo aver subito danni!	
642	Cacciato dopo aver provato ad acquisire poteri proibiti.<br>Elimina i nemici con la sua lama infernale.<br>Efficace vs. fluttuanti/Aku. 100% attacco a valanga.	Nemico del paradiso e comandante delle legioni demoniache.<br>Crea un mondo oscuro con la sua empia lama infernale.<br>Efficace vs. fluttuanti/Aku. 100% attacco a valanga.	Nemico del paradiso, comandante delle legioni demoniache.<br>Crea un mondo oscuro con la sua empia lama infernale.<br>Efficace vs. fluttuanti/Aku. 100% attacco a valanga.
643	Ha superato la mortalità per cambiare le sorti del destino.<br>Si avvicina rapido all'obiettivo e attacca con la lunga coda.<br>Infligge danni enormi ad antichi. (Bilaterale)	Gatto che si lancia in battaglia di sua volontà.<br>Cerca la libertà attraverso la pura potenza fisica.<br>Infligge danni enormi ad antichi. (Bilaterale)	La personificazione genetica dell'"Umanità Gattificata".<br>Si è risvegliato dopo anni di bio-ricombinazione.<br>Infligge danni enormi ad antichi. (Bilaterale)
644	Ha aggiunto del cioccolato nel combustibile del reattore per<br>cercare di decifrare la struttura dell'amore degli umani.<br>Attacchi ad area possono immobilizzare senza tratti.	La ricerca non produce risultati, lei si riempie di rancore e<br>anche il mech di Mekako ne risente, diventando più oscuro...<br>Attacchi ad area possono immobilizzare nemici neri.	Studia l'amore nella cioccolata fatta in casa. I dolci<br>preparati dai suoi robot forse contengono amore (forse no).<br>Attacchi ad area possono immobilizzare antichi.
645	Programmato con il controllo della mente per diventare<br>un pazzo per le battaglie, efficace vs senza tratti<br>con una possibilità di maledizioni verso gli obiettivi.	Aspirante eroe plagiato,<br>programmato per essere efficace vs senza tratti<br>con una possibilità di maledizioni verso gli obiettivi.	
646	Un Gatto tanto rosso quanto fortunato. Ha il compito di<br>scacciare il male e di portare fortuna con il suo frastuono.<br>Infligge danni enormi a nemici rossi, può schivare attacchi.	Il re dei Gatti petardo. Emette i suoni più assordanti<br>e le luci più accecanti di tutti gli altri Gatti petardo.<br>Infligge danni enormi a nemici rossi, può schivare attacchi.	
647	La sua vita cambiò quando venne invitata a una caccia.<br>Caccia la sua preda con il suo arco fulminante.<br>Ammazzagiganti, attacchi ad area rallentano rossi/alieni	Calma e scaltra in modo sovrannaturale, colpisce senza<br>sbagliare i punti deboli dei suoi bersagli giganteschi.<br>Ammazzagiganti, attacchi ad area rallentano rossi/alieni	
648	Un leader punk dall'aspetto tosto di nome Demone.<br>Colpisce chi gli piace con un mazzo di fiori, simbolo del<br>suo amore. Infligge effetti negativi su nemici con tratti.	Un leader punk dal cuore selvaggio di nome Demone.<br>Quando quel mazzo di fiori ti colpirà, capirai cos'è<br>l'amore. Infligge effetti negativi su nemici con tratti.	
