000			Stories of Legend
007-000-016	Floor 17
007-000-017	Floor 18
007-000-018	Floor 19
007-000-019	Floor 20
007-000-020	Floor 21
007-000-021	Floor 22
007-000-022	Floor 23
007-000-023	Floor 24
007-000-024	Floor 25
007-000-025	Floor 26
007-000-026	Floor 27
007-000-027	Floor 28
007-000-028	Floor 29
007-000-029	Floor 30
007-000-030	Floor 31
007-000-031	Floor 32
007-000-032	Floor 33
007-000-033	Floor 34
007-000-034	Floor 35
007-000-035	Floor 36
007-000-036	Floor 37
007-000-037	Floor 38
007-000-038	Floor 39
007-000-039	Floor 40
007-000-040	Floor 41
007-000-041	Floor 42
007-000-042	Floor 43
007-000-043	Floor 44
007-000-044	Floor 45
007-000-045	Floor 46
007-000-046	Floor 47
007-000-047	Floor 48
007-000-048	Floor 49
007-000-049	Floor 50
007-001		Red Citadel
007-001-000	Floor 1
007-001-001	Floor 2
007-001-002	Floor 3
007-001-003	Floor 4
007-001-004	Floor 5
007-001-005	Floor 6
007-001-006	Floor 7
007-001-007	Floor 8
007-001-008	Floor 9
007-001-009	Top Floor
007-002		Black Citadel
007-002-000	Floor 1
007-002-001	Floor 2
007-002-002	Floor 3
007-002-003	Floor 4
007-002-004	Floor 5
007-002-005	Floor 6
007-002-006	Floor 7
007-002-007	Floor 8
007-002-008	Floor 9
007-002-009	Top Floor
007-003		Angel Citadel
007-003-000	Floor 1
007-003-001	Floor 2
007-003-002	Floor 3
007-003-003	Floor 4
007-003-004	Floor 5
007-003-005	Floor 6
007-003-006	Floor 7
007-003-007	Floor 8
007-003-008	Floor 9
007-003-009	Top Floor
007-004		Alien Citadel
007-004-000	Floor 1
007-004-001	Floor 2
007-004-002	Floor 3
007-004-003	Floor 4
007-004-004	Floor 5
007-004-005	Floor 6
007-004-006	Floor 7
007-004-007	Floor 8
007-004-008	Floor 9
007-004-009	Top Floor
007-005		Zombie Citadel
007-005-000	Floor 1
007-005-001	Floor 2
007-005-002	Floor 3
007-005-003	Floor 4
007-005-004	Floor 5
007-005-005	Floor 6
007-005-006	Floor 7
007-005-007	Floor 8
007-005-008	Floor 9
007-005-009	Top Floor
007-006		Infernal Tower
007-006-000	Floor 1
007-006-001	Floor 2
007-006-002	Floor 3
007-006-003	Floor 4
007-006-004	Floor 5
007-006-005	Floor 6
007-006-006	Floor 7
007-006-007	Floor 8
007-006-008	Floor 9
007-006-009	Floor 10
007-006-010	Floor 11
007-006-011	Floor 12
007-006-012	Floor 13
007-006-013	Floor 14
007-006-014	Floor 15
007-006-015	Floor 16
007-006-016	Floor 17
007-006-017	Floor 18
007-006-018	Floor 19
007-006-019	Floor 20
007-006-020	Floor 21
007-006-021	Floor 22
007-006-022	Floor 23
007-006-023	Floor 24
007-006-024	Floor 25
007-006-025	Floor 26
007-006-026	Floor 27
007-006-027	Floor 28
007-006-028	Floor 29
007-006-029	Floor 30
007-006-030	Floor 31
007-006-031	Floor 32
007-006-032	Floor 33
007-006-033	Floor 34
007-006-034	Floor 35
007-006-035	Floor 36
007-006-036	Floor 37
007-006-037	Floor 38
007-006-038	Floor 39
007-006-039	Floor 40
007-007		Traitless Citadel
007-007-000	Floor 1
007-007-001	Floor 2
007-007-002	Floor 3
007-007-003	Floor 4
007-007-004	Floor 5
007-007-005	Floor 6
007-007-006	Floor 7
007-007-007	Floor 8
007-007-008	Floor 9
007-007-009	Top Floor

011			Ranking Dojo Stages
011-000		Arena of Honor
011-000-000	Crimson Trial
011-001		Arena of Honor
011-001-000	Shadow Trial
011-002		Arena of Honor
011-002-000	Phoenix Trial
011-003		Arena of Honor
011-003-000	Five Year Plan
011-004		Arena of Honor
011-004-000	Weak of Sprit
011-005		Arena of Honor
011-005-000	Six Years Strong
011-006		Arena of Honor
011-006-000	Into the Fray: Servants Strike!
011-007		Arena of Honor
011-007-000	Aqua Paradiso
011-010		Arena of Honor
011-010-000	Attack of the Shakurels
011-011		Arena of Honor
011-011-000	Council of the Vampires
011-012		Arena of Honor
011-012-000	Dance in the Sky
011-013		Arena of Honor
011-013-000	The Dead from Space
011-014		Arena of Honor
011-014-000	I Seek the Strongest
011-015		Arena of Honor
011-015-000	Lucky Number 7
011-016		Arena of Honor
011-016-000	MikuMiku Music Fest
011-017		Arena of Honor
011-017-000	Tearful Tournament
011-018		Arena of Honor
011-018-000	I Seek the Strongest
011-020		Tales of Honor
011-020-000	Crimson Trial
011-021		Tales of Honor
011-021-000	Shadow Trial
011-022		Tales of Honor
011-022-000	Phoenix Trial

012			Challenge Mode
012-000		Challenge
012-000-000	Higher Score

013			Uncanny Legends
013-000		A New Legend
013-000-000	An Ancient Curse
013-001		Here Be Dragons
013-001-000	Pilaf Field
013-001-001	Nyandaria
013-001-002	Annin Pass
013-001-003	Ajillo Highlands
013-001-004	Pasta Desert
013-001-005	Mince Hill
013-002		The Endless Wood
013-002-000	Kosamin Ruins
013-002-001	Shallow Sea Green
013-002-002	Playing Bandits
013-002-003	Buggy Hollows
013-002-004	Thriller Grin
013-002-005	John Gool
013-003		Primeval Currents
013-003-000	Marine Town
013-003-001	Wandering Conch
013-003-002	Palcaccio Waters
013-003-003	Utsubobo Seamount
013-003-004	Frontier Dawn
013-003-005	Rutsborg Vortex
013-004		Barking Bay
013-004-000	Crowded Surf
013-004-001	Mutinous Waves
013-004-002	Buoys & Gills
013-004-003	On the Rocks
013-004-004	Seahorse Siren
013-004-005	Young Cuttlefish
013-005		Abyss Gazers
013-005-000	Deadly Weapons
013-005-001	Inspirational Mural
013-005-002	Sunlit Caves
013-005-003	Glittering Peaks
013-005-004	Murmuring Evil
013-005-005	Languid Lakeside
013-006		Neo-Necropolis
013-006-000	Midnight Lycopene
013-006-001	Metroasis
013-006-002	Paper Skyscraper
013-006-003	Rogue's Twilight
013-006-004	Concrete Ocean
013-006-005	Unmanned Station
013-007		Law of the Wildlands
013-007-000	Panic Tower
013-007-001	Lady in the Clink
013-007-002	No Hope Ranch
013-007-003	Hunter's Hills
013-007-004	Morbid Mesa
013-007-005	Revolver Ridge
013-008		Pararila Peninsula
013-008-000	Escolar Coast
013-008-001	Project Walrus
013-008-002	Loach Breach
013-008-003	Seagull Reserve
013-008-004	Roe Row
013-008-005	Heron's Call
013-009		Coup de Chat
013-009-000	Cricket Ideology
013-009-001	Gutter Lord
013-009-002	Veggie Friends
013-009-003	Snitches Get Stitches
013-009-004	Shocking Exile
013-009-005	The Red Cat Gambit
013-010		Cherry Isles
013-010-000	Magma Bath
013-010-001	Pyroclastic Flow
013-010-002	Ashen Rain
013-010-003	Sage of the Peak
013-010-004	Raging Caldera
013-010-005	Supervolcano
013-011		Depths of My Heart
013-011-000	A Joyful Song
013-011-001	Cave Maidens
013-011-002	Good Spirits
013-011-003	Woods of Resentment
013-011-004	Hermit Chatterbox
013-011-005	Primitive Souls
013-012		Ghost Sea
013-012-000	Iwa Rock Reef
013-012-001	Nautilus Tomb
013-012-002	Lost Sailors
013-012-003	Caged Carp
013-012-004	Quay of Camels
013-012-005	Endless Dead Zone
013-013		Exile's Resort
013-013-000	Holiday Atonement
013-013-001	A Private Rainforest
013-013-002	Rude on the Beach
013-013-003	13th Ward Resident
013-013-004	Spa of Ascension
013-013-005	Wonders of Nature
013-014		Roads of Torment
013-014-000	Pulling Hair
013-014-001	Mermaid Sauce
013-014-002	Lord's Lecture
013-014-003	Cracked Column
013-014-004	Guardian of Innocence
013-014-005	Total Myopia
013-015		Heaven's Back Alley
013-015-000	Eager Entryway
013-015-001	Fainting Porch
013-015-002	Hangover Couch
013-015-003	Tidy Kitchen
013-015-004	Bathtub of Whimsy
013-015-005	Lamb's Boudoir
013-016		Battle in the Bath
013-016-000	Steamworks Ltd.
013-016-001	Sticky Shower
013-016-002	Standing Sauna
013-016-003	Chilly Pool
013-016-004	Umibozu's House
013-016-005	Hot Spring Reception
013-017		Ancient Mountains
013-017-000	Famine Village
013-017-001	The Night of Claws
013-017-002	Rocky Surface
013-017-003	Exaggeration Falls
013-017-004	Abandoned Desire
013-017-005	Slave to Instinct
013-018		Marine Ministry
013-018-000	Beachhead Invasion
013-018-001	Forever Fishing
013-018-002	Triton's Cave
013-018-003	Nighttime Lure
013-018-004	The Bloody Wharf
013-018-005	Multitetrapod
013-019		The Devils' Academy
013-019-000	A Classroom in Ruins
013-019-001	Lonely Goldfish
013-019-002	Demon COO
013-019-003	Principal's Rebellion
013-019-004	Bell Collector
013-019-005	Campus Law
013-020		The Gelatin Mines
013-020-000	Furry Cavern
013-020-001	Mandatory Fun
013-020-002	Gas-Powered Birds
013-020-003	Stars in the Sewers
013-020-004	Postapocalypse Panic
013-020-005	Lifesaving Shovel
013-021		Drunken Foundry
013-021-000	Proletarian Box
013-021-001	Collapse Checker
013-021-002	Unmoving Conveyer
013-021-003	VIP Warehouse
013-021-004	Rebel Scraps
013-021-005	Smokestack to Heaven
013-022		Unearthed Artifacts
013-022-000	Loser's Complaint
013-022-001	Brave Dog's Bone
013-022-002	Poison Bog Cure
013-022-003	Patience Prevails
013-022-004	A Boat Too Far
013-022-005	Cursing the Curser
013-023		Realm of Whyworry
013-023-000	Authority and Gravity
013-023-001	Slave to Energy
013-023-002	Raise Your Torches
013-023-003	Despotism at Home
013-023-004	Unauthorized Breathing
013-023-005	Bare Fangs at the Throne
013-024		Pumping Titanium
013-024-000	Treadmill Powered
013-024-001	Vengeful Sandbag
013-024-002	Protein Cartel
013-024-003	Anaerobic Cycling
013-024-004	Sauna Handstands
013-024-005	Lakeside Bootcamp
013-025		Morningstar Isle
013-025-000	Curry Comet
013-025-001	Icarus' Instinct
013-025-002	Rainbow Bridge Toll
013-025-003	Planetarium Love
013-025-004	Meteor Disco
013-025-005	Cats in the Stars
013-026		In the Sleeping Forest
013-026-000	The Prince's Woods
013-026-001	Aria of the Princess
013-026-002	Wicked Beauty
013-026-003	Glass Slippers
013-026-004	Guild of Masks
013-026-005	Happily Ever After
013-027		Laboratory Island
013-027-000	Flask Hill
013-027-001	Anatomy Forest
013-027-002	Formalin Marina
013-027-003	Swamp of Ignorance
013-027-004	Microscope Bridge
013-027-005	Burning Blue
013-028		Forgotten Graves
013-028-000	Slumbering Cavern
013-028-001	Cozy Corpses
013-028-002	Second Unlife
013-028-003	Defaced Tombstone
013-028-004	Botanical Burial
013-028-005	Sodden Bones
013-029		Dawn of the Beginning
013-029-000	A Dutiful Prayer
013-029-001	Dilemma of Birth
013-029-002	The Ivory Oracle
013-029-003	Persona's Blooming
013-029-004	Passionate Release
013-029-005	Buried Hypocrisy
013-030		The Happy Lucky Temple
013-030-000	Pilgrim Agitators
013-030-001	The Belated Priest
013-030-002	Choir Battle
013-030-003	Adventurer's Journal
013-030-004	Chapel Transfer
013-030-005	Dark Lord's Decree
013-031		Theatre of Fear
013-031-000	Spiralling Ring
013-031-001	Payday the 13th
013-031-002	Normal Activity
013-031-003	Darkened House
013-031-004	Internal Scream
013-031-005	A Pile of Guts
013-032		Diver's City
013-032-000	Diversity, Alkilinity
013-032-001	Ironsand Beach
013-032-002	Oil Spill Rainbow
013-032-003	Love Refinery
013-032-004	Overnight Overtime
013-032-005	Cathode Influencer
013-033		Nasi-Go-Round
013-033-000	Angkor S.W.A.T.
013-033-001	Tropical Garden
013-033-002	Kuala Lum-Pool
013-033-003	Poison on Rice
013-033-004	Khao Man Guys
013-033-005	Fish-Legged Beauty
013-034		DNA Plantation
013-034-000	Banana Genomes
013-034-001	Artificial Strawberries
013-034-002	Organic Chromosomes
013-034-003	Nano-Grapes
013-034-004	Cloned Farmers
013-034-005	Gene Salesmen
013-035		Ancient Forest Labyrinth
013-035-000	The Ivy-Sealed Door
013-035-001	Reincarnation Ring
013-035-002	Re-Leaf Towers
013-035-003	Canopy Altar
013-035-004	Sappy Underpass
013-035-005	The Face of God
013-036		Castle of the Sentinels
013-036-000	Confront the Tyrant
013-036-001	Disaster Cycle
013-036-002	Three Evil Brothers
013-036-003	Pulled Punch Bout
013-036-004	Border Between Worlds
013-036-005	Hall of the Four Kings
013-037		Spacetime Distortion
013-037-000	The Great Sufferer
013-037-001	Patient Red Fox
013-037-002	Learned to Hate
013-037-003	Multiplanar Studios
013-037-004	Infernal Forces
013-037-005	Hell's All-Stars
013-038		Imminent Disaster
013-038-000	Aku Altar's Seal
013-039		Bikura, Harbor of Evil
013-039-000	Toy Boat Graveyard
013-039-001	Breathtaking Waves
013-039-002	Dried Fish Market
013-039-003	Breakwater Blood Feud
013-039-004	Fishermen On Strike
013-039-005	Seahorses Caught
013-040		Dead Heat Land
013-040-000	Magma Pillar
013-040-001	Burning Crimson
013-040-002	Boiling Blood
013-040-003	Hell's Crater
013-040-004	Fire Kingdom Dynamite
013-040-005	Burning Sunset
013-041		Rose-Colored Road
013-041-000	Speechless Tongues
013-041-001	Lamps Aloft
013-041-002	Ashes Just Ahead
013-041-003	Cloak of Hiding
013-041-004	Hall of Feasting
013-041-005	Roast Meat, Not Cities
013-042		Behemoth's Peak
013-042-000	Fountain of Memories
013-042-001	Chaotic Pulse
013-042-002	Beyond the Haze
013-042-003	Border Soil
013-042-004	Silver Current
013-042-005	Immortal Zenith
013-043		Moodist Beach
013-043-000	Stars in the Tumbler
013-043-001	Night of the Hustler
013-043-002	Don't Rush Love
013-043-003	Tear-Soaked Puppy
013-043-004	Shinobi Showdown
013-043-005	Ancient Sea Blues
013-044		Cat-Chasing Village
013-044-000	Pithouse Academy
013-044-001	Local Harvest Forecast
013-044-002	Clay Pot Soul Food
013-044-003	Chiefs' Smoking Area
013-044-004	Rest Stop Sacrifice
013-044-005	Outta This Village
013-045		Bazaar of the Pirate King
013-045-000	Stylist Mononoke
013-045-001	Stand By Motel
013-045-002	Aven-Jazz Cafe
013-045-003	Retreat of the Living Dead
013-045-004	Titanic Steakhouse
013-045-005	Inn-Dependence Day

014			Drink Stages
014-000		Growing Yellow
014-000-000	Rays of Gold (Hard)
014-000-001	Rays of Gold (Expert)
014-000-002	Rays of Gold (Insane)
014-001		Growing Blue
014-001-000	Blue Illusion (Hard)
014-001-001	Blue Illusion (Expert)
014-001-002	Blue Illusion (Insane)
014-002		Growing Red
014-002-000	Red Passions (Hard)
014-002-001	Red Passions (Expert)
014-002-002	Red Passions (Insane)
014-003		Growing Purple
014-003-000	Violet Flash (Hard)
014-003-001	Violet Flash (Expert)
014-003-002	Violet Flash (Insane)
014-004		Growing Green
014-004-000	Green Envy (Hard)
014-004-001	Green Envy (Expert)
014-004-002	Green Envy (Insane)
014-005		Facing Danger
014-005-000	Steel Visage (Deadly)
014-006		Seige of Hippoe!
014-006-000	Super Metal Hippoe (Expert)
014-007		Cat Ticket Chance!
014-007-000	Love, Metal Hippoe (Hard)
014-008		Merciless XP!
014-008-000	Taste of Success (Merciless)
014-009		XP Colosseum
014-009-000	Tempered in Flame (Deadly)
014-010		XP Megablitz!
014-010-000	Refined Palate (Insane)
014-011		XP Stage
014-011-000	Sweet XP (Easy)
014-011-001	Sweet XP (Medium)
014-011-002	Sweet XP (Hard)
014-011-003	Sweet XP (Veteran)
014-011-004	Sweet XP (Expert)
014-011-005	Sweet XP (Insane)
014-012		Clionel Ascendant
014-012-000	No Plan A (Deadly)	
014-013		River Styx
014-013-000	Realm of Carnage (Deadly)
014-014		Queen's Coronation
014-014-000	Honey Trap (Deadly)
014-015		Dead on Debut
014-015-000	Parade of the Dead (Deadly)
014-016		King Wahwah's Revenge
014-016-000	N-1 Grand Prix (Deadly)
014-017		Deeply Dreaming
014-017-000	Bombergirl (Deadly)
014-018		Crimson Catastrophe
014-018-000	Attack on R-Cyclone (Expert)
014-019		Heaven of Darkness
014-019-000	Attack on B-Cyclone (Expert)
014-020		Peerless
014-020-000	Attack on W-Cyclone (Expert)
014-021		Wrath of Heaven
014-021-000	Oncoming Maelstrom (Expert)
014-022		Sweet Irony
014-022-000	Attack on Titanium (Insane)
014-023		Dimension of Despair
014-023-000	Black Hole Rising (Insane)
014-024		The Crazed Cat
014-024-000	Dark Souls (Insane)
014-025		The Crazed Tank
014-025-000	Absolute Defence (Insane)
014-026		The Crazed Axe
014-026-000	Berserk (Insane)
014-027		The Crazed Gross
014-027-000	Festival Gross (Insane)
014-028		The Crazed Cow
014-028-000	Head Shaker (Insane)
014-029		The Crazed Bird
014-029-000	Flappy Cat (Insane)
014-030		The Crazed Fish
014-030-000	Fish Hell (Insane)
014-031		The Crazed Lizard
014-031-000	Mammals? (Insane)
014-032		The Crazed Titan
014-032-000	Crazy Cats (Insane)
014-033		Blue Impact
014-033-000	Puffer Planet (Merciless)
014-034		Crazed Moneko Strikes
014-034-000	in JAPAN
014-034-001	in LONDON
014-034-002	in NEW YORK
014-035		Red Sky at Morning
014-035-000	Red Sky at Morning (Insane)
014-036		Rolling Dead
014-036-000	Unholy Tempest (Insane)
014-037		Typhoon Nemo
014-037-000	Charybdis' Mouth (Merciless)
014-038		The Great Diablo
014-038-000	Wrath of Hell (Deadly)
014-039		Bottom of the Swamp
014-039-000	Flow Like the Stream (Merciless)
014-040		Cat Maniac
014-040-000	Deathhawk (Deadly)
014-041		Tank Maniac
014-041-000	Vulcanizer (Deadly)
014-042		Axe Maniac
014-042-000	Unjust War (Deadly)
014-043		Gross Maniac
014-043-000	Muscle Party (Deadly)
014-044		Cow Maniac
014-044-000	Lots O' Lion (Deadly)
014-045		Bird Maniac
014-045-000	Forest Beasts (Deadly)
014-046		Fish Maniac
014-046-000	Ogre Island (Deadly)
014-047		Lizard Maniac
014-047-000	Draconian (Deadly)
014-048		Titan Maniac
014-048-000	Resident Feline (Deadly)
014-049		The 2nd Dimension
014-049-000	The Wormhole Opens (Deadly)

024			Gauntlet Stages
024-000		Baron Seal Strikes!
024-000-000	Red Alert 1
024-000-001	Red Alert 2
024-000-002	Red Alert 3
024-000-003	Red Alert 4
024-000-004	Red Alert 5
024-000-005	Red Alert 6
024-000-006	Red Alert 7
024-000-007	Red Alert 8
024-000-008	Red Alert 9
024-000-009	Red Alert 10
024-000-010	Red Alert 11
024-000-011	Red Alert 12
024-000-012	Red Alert 13
024-000-013	Red Alert 14
024-000-014	Red Alert 15
024-000-015	Red Alert 16
024-000-016	Red Alert 17
024-000-017	Red Alert 18
024-000-018	Red Alert 19
024-000-019	Red Alert 20
024-001		Baron Seal Strikes!!
024-001-000	Red Alert 21
024-001-001	Red Alert 22
024-001-002	Red Alert 23
024-001-003	Red Alert 24
024-001-004	Red Alert 25
024-001-005	Red Alert 26
024-001-006	Red Alert 27
024-001-007	Red Alert 28
024-001-008	Red Alert 29
024-001-009	Red Alert 30
024-001-010	Red Alert 31
024-001-011	Red Alert 32
024-001-012	Red Alert 33
024-001-013	Red Alert 34
024-001-014	Red Alert 35
024-001-015	Red Alert 36
024-001-016	Red Alert 37
024-001-017	Red Alert 38
024-001-018	Red Alert 39
024-001-019	Red Alert 40
024-002		Baron Seal Strikes!!!
024-002-000	Red Alert 41
024-002-001	Red Alert 42
024-002-002	Red Alert 43
024-002-003	Red Alert 44
024-002-004	Red Alert 45
024-002-005	Red Alert 46
024-002-006	Red Alert 47
024-002-007	Red Alert 48
024-002-008	Red Alert 49
024-002-009	Red Alert 50
024-002-010	Red Alert 51
024-002-011	Red Alert 52
024-002-012	Red Alert 53
024-002-013	Red Alert 54
024-002-014	Red Alert 55
024-002-015	Red Alert 56
024-002-016	Red Alert 57
024-002-017	Red Alert 58
024-002-018	Red Alert 59
024-002-019	Red Alert 60
024-003		Le'Grim Strikes!
024-003-000	Rampage Lv1
024-003-001	Rampage Lv2
024-003-002	Rampage Lv3
024-003-003	Rampage Lv4
024-003-004	Rampage Lv5
024-003-005	Rampage Lv6
024-003-006	Rampage Lv7
024-003-007	Rampage Lv8
024-003-008	Rampage Lv9
024-003-009	Rampage Lv10
024-003-010	Rampage Lv11
024-003-011	Rampage Lv12
024-003-012	Rampage Lv13
024-003-013	Rampage Lv14
024-003-014	Rampage Lv15
024-003-015	Rampage Lv16
024-003-016	Rampage Lv17
024-003-017	Rampage Lv18
024-003-018	Rampage Lv19
024-003-019	Rampage Lv20
024-004		Le'Grim Strikes!!
024-004-000	Rampage Lv21
024-004-001	Rampage Lv22
024-004-002	Rampage Lv23
024-004-003	Rampage Lv24
024-004-004	Rampage Lv25
024-004-005	Rampage Lv26
024-004-006	Rampage Lv27
024-004-007	Rampage Lv28
024-004-008	Rampage Lv29
024-004-009	Rampage Lv30
024-004-010	Rampage Lv31
024-004-011	Rampage Lv32
024-004-012	Rampage Lv33
024-004-013	Rampage Lv34
024-004-014	Rampage Lv35
024-004-015	Rampage Lv36
024-004-016	Rampage Lv37
024-004-017	Rampage Lv38
024-004-018	Rampage Lv39
024-004-019	Rampage Lv40
024-005		Le'Grim Strikes!!!
024-005-000	Rampage Lv41
024-005-001	Rampage Lv42
024-005-002	Rampage Lv43
024-005-003	Rampage Lv44
024-005-004	Rampage Lv45
024-005-005	Rampage Lv46
024-005-006	Rampage Lv47
024-005-007	Rampage Lv48
024-005-008	Rampage Lv49
024-005-009	Rampage Lv50
024-005-010	Rampage Lv51
024-005-011	Rampage Lv52
024-005-012	Rampage Lv53
024-005-013	Rampage Lv54
024-005-014	Rampage Lv55
024-005-015	Rampage Lv56
024-005-016	Rampage Lv57
024-005-017	Rampage Lv58
024-005-018	Rampage Lv59
024-005-019	Rampage Lv60
024-006		Mega Menace!
024-006-000	On Mighty Wings Lv1
024-006-001	On Mighty Wings Lv2
024-006-002	On Mighty Wings Lv3
024-006-003	On Mighty Wings Lv4
024-006-004	On Mighty Wings Lv5
024-006-005	On Mighty Wings Lv6
024-006-006	On Mighty Wings Lv7
024-006-007	On Mighty Wings Lv8
024-006-008	On Mighty Wings Lv9
024-006-009	On Mighty Wings Lv10
024-006-010	On Mighty Wings Lv11
024-006-011	On Mighty Wings Lv12
024-006-012	On Mighty Wings Lv13
024-006-013	On Mighty Wings Lv14
024-006-014	On Mighty Wings Lv15
024-006-015	On Mighty Wings Lv16
024-006-016	On Mighty Wings Lv17
024-006-017	On Mighty Wings Lv18
024-006-018	On Mighty Wings Lv19
024-006-019	On Mighty Wings Lv20
024-007		Mega Menace!!
024-007-000	On Mighty Wings Lv21
024-007-001	On Mighty Wings Lv22
024-007-002	On Mighty Wings Lv23
024-007-003	On Mighty Wings Lv24
024-007-004	On Mighty Wings Lv25
024-007-005	On Mighty Wings Lv26
024-007-006	On Mighty Wings Lv27
024-007-007	On Mighty Wings Lv28
024-007-008	On Mighty Wings Lv29
024-007-009	On Mighty Wings Lv30
024-007-010	On Mighty Wings Lv31
024-007-011	On Mighty Wings Lv32
024-007-012	On Mighty Wings Lv33
024-007-013	On Mighty Wings Lv34
024-007-014	On Mighty Wings Lv35
024-007-015	On Mighty Wings Lv36
024-007-016	On Mighty Wings Lv37
024-007-017	On Mighty Wings Lv38
024-007-018	On Mighty Wings Lv39
024-007-019	On Mighty Wings Lv40
024-008		Mega Menace!!!
024-008-000	On Mighty Wings Lv41
024-008-001	On Mighty Wings Lv42
024-008-002	On Mighty Wings Lv43
024-008-003	On Mighty Wings Lv44
024-008-004	On Mighty Wings Lv45
024-008-005	On Mighty Wings Lv46
024-008-006	On Mighty Wings Lv47
024-008-007	On Mighty Wings Lv48
024-008-008	On Mighty Wings Lv49
024-008-009	On Mighty Wings Lv50
024-008-010	On Mighty Wings Lv51
024-008-011	On Mighty Wings Lv52
024-008-012	On Mighty Wings Lv53
024-008-013	On Mighty Wings Lv54
024-008-014	On Mighty Wings Lv55
024-008-015	On Mighty Wings Lv56
024-008-016	On Mighty Wings Lv57
024-008-017	On Mighty Wings Lv58
024-008-018	On Mighty Wings Lv59
024-008-019	On Mighty Wings Lv60
024-009		Horrorpotamus!
024-009-000	Cosmic Juggernaut Lv.1
024-009-001	Cosmic Juggernaut Lv.2
024-009-002	Cosmic Juggernaut Lv.3
024-009-003	Cosmic Juggernaut Lv.4
024-009-004	Cosmic Juggernaut Lv.5
024-009-005	Cosmic Juggernaut Lv.6
024-009-006	Cosmic Juggernaut Lv.7
024-009-007	Cosmic Juggernaut Lv.8
024-009-008	Cosmic Juggernaut Lv.9
024-009-009	Cosmic Juggernaut Lv.10
024-009-010	Cosmic Juggernaut Lv.11
024-009-011	Cosmic Juggernaut Lv.12
024-009-012	Cosmic Juggernaut Lv.13
024-009-013	Cosmic Juggernaut Lv.14
024-009-014	Cosmic Juggernaut Lv.15
024-009-015	Cosmic Juggernaut Lv.16
024-009-016	Cosmic Juggernaut Lv.17
024-009-017	Cosmic Juggernaut Lv.18
024-009-018	Cosmic Juggernaut Lv.19
024-009-019	Cosmic Juggernaut Lv.20
024-010		Horrorpotamus!!
024-010-000	Cosmic Juggernaut Lv.21
024-010-001	Cosmic Juggernaut Lv.22
024-010-002	Cosmic Juggernaut Lv.23
024-010-003	Cosmic Juggernaut Lv.24
024-010-004	Cosmic Juggernaut Lv.25
024-010-005	Cosmic Juggernaut Lv.26
024-010-006	Cosmic Juggernaut Lv.27
024-010-007	Cosmic Juggernaut Lv.28
024-010-008	Cosmic Juggernaut Lv.29
024-010-009	Cosmic Juggernaut Lv.30
024-010-010	Cosmic Juggernaut Lv.31
024-010-011	Cosmic Juggernaut Lv.32
024-010-012	Cosmic Juggernaut Lv.33
024-010-013	Cosmic Juggernaut Lv.34
024-010-014	Cosmic Juggernaut Lv.35
024-010-015	Cosmic Juggernaut Lv.36
024-010-016	Cosmic Juggernaut Lv.37
024-010-017	Cosmic Juggernaut Lv.38
024-010-018	Cosmic Juggernaut Lv.39
024-010-019	Cosmic Juggernaut Lv.40
024-011		Horrorpotamus!!!
024-011-000	Cosmic Juggernaut Lv.41
024-011-001	Cosmic Juggernaut Lv.42
024-011-002	Cosmic Juggernaut Lv.43
024-011-003	Cosmic Juggernaut Lv.44
024-011-004	Cosmic Juggernaut Lv.45
024-011-005	Cosmic Juggernaut Lv.46
024-011-006	Cosmic Juggernaut Lv.47
024-011-007	Cosmic Juggernaut Lv.48
024-011-008	Cosmic Juggernaut Lv.49
024-011-009	Cosmic Juggernaut Lv.50
024-011-010	Cosmic Juggernaut Lv.51
024-011-011	Cosmic Juggernaut Lv.52
024-011-012	Cosmic Juggernaut Lv.53
024-011-013	Cosmic Juggernaut Lv.54
024-011-014	Cosmic Juggernaut Lv.55
024-011-015	Cosmic Juggernaut Lv.56
024-011-016	Cosmic Juggernaut Lv.57
024-011-017	Cosmic Juggernaut Lv.58
024-011-018	Cosmic Juggernaut Lv.59
024-011-019	Cosmic Juggernaut Lv.60
024-012		A Colossal New Year!
024-012-000	Year of the Ox  Lv.1
024-012-001	Year of the Ox Lv.2
024-012-002	Year of the Ox Lv.3
024-012-003	Year of the Ox Lv.4
024-012-004	Year of the Ox Lv.5
024-012-005	Year of the Ox Lv.6
024-012-006	Year of the Ox Lv.7
024-012-007	Year of the Ox Lv.8
024-012-008	Year of the Ox Lv.9
024-012-009	Year of the Ox Lv.10
024-013		A Colossal Valentine's
024-013-000	Choco Chaos Lv.1
024-013-001	Choco Chaos Lv.2
024-013-002	Choco Chaos Lv.3
024-013-003	Choco Chaos Lv.4
024-013-004	Choco Chaos Lv.5
024-013-005	Choco Chaos Lv.6
024-013-006	Choco Chaos Lv.7
024-013-007	Choco Chaos Lv.8
024-013-008	Choco Chaos Lv.9
024-013-009	Choco Chaos Lv.10
024-013-010	Choco Chaos Lv.11
024-013-011	Choco Chaos Lv.12
024-013-012	Choco Chaos Lv.13
024-013-013	Choco Chaos Lv.14
024-013-014	Choco Chaos Lv.15
024-013-015	Choco Chaos Lv.16
024-013-016	Choco Chaos Lv.17
024-013-017	Choco Chaos Lv.18
024-013-018	Choco Chaos Lv.19
024-013-019	Choco Chaos Lv.20
024-014		Suffering Spring!
024-014-000	Eggs of Chaos Lv. 1
024-014-001	Eggs of Chaos Lv. 2
