000	Die Standardkatze.<br><br>	Verkaufsargument: definierte Muskeln.<br>Standardkatze.<br>	Verkaufsargument: definierte Muskeln.<br>Zusatzargument: hübsche Frisur.<br>
565	Hat sich in der Mittsommersonne perfekt gebräunt.<br>Um die Falten macht sie sich irgendwann später Gedanken.<br>Chance, wertelosen Angriffen auszuweichen!	Hat sich bei Klimmzügen im Strandfitnessstudio perfekt<br>gebräunt. In der Sonne glänzen Muckis besonders schön!<br>Chance, wertelosen Angriffen auszuweichen!	Perfekt gebräunt und strahlt wie die Sommersonne.<br>Die Mädchen am Strand stehlen ihm das Herz.<br>Chance, wertelosen Angriffen auszuweichen.
566	Beste Freunde, die für Sicherheit und Spaß am Strand sorgen.<br>Sie behalten die tosenden Wellen rundum im Blick. Können<br>wertelose Feinde verlangsamen. Distanz-Flächenangriff.	Drei treue Brüder, die wie eine süße Köstlichkeit aussehen.<br>Der Oberste ist überraschenderweise nicht der Älteste.<br>Können wertelose Feinde verlangs. Distanz-Flächenangriff.	Drei komplett aufeinander abgestimmte, treue Brüder.<br>Ihre Namen lauten Erdbeere, Vanille und Wasabi.<br>Behemothtöter, Distanz-Flächenangr. lähmen wertelose Feinde.
567	Tritt dem Kampf aus ShiroDora bei!<br>Ein seltsames Ei in Katzenform. Wenn es sich entwickelt ...?<br>	Tritt dem Kampf aus ShiroDora bei!<br>Eine Katze, die extrem stolz auf ihre Heimatstadt ist.<br>Stark gegen wertelose Feinde (Flächenangriff).	
568	Eine mysteriöse Lebensform, die die Katzen zu analysieren<br>scheint. Niemand weiß, wieso sie ihrer Armee beigetreten ist.<br>Heftiger Flächenschaden gegen Relikte.	Erscheint aus dem Nichts, um mächtige Katzen zu scannen.<br>Seine Mission ist noch unbekannt.<br>Heftiger Flächenschaden gegen Relikte.	
569	Ein Steingeist, der das Universum durchquert hat und auf dem<br>Flug durchs All kosmische Mächte gesammelt hat.<br>100-%-Chance auf Wellenangriff.	Ein Steingeist, der mit den Energien von Meteoriten und<br>Asteroiden alle Bedrohungen gegen die Katzen zerschmettert.<br>Robust gegen Aliens, 100-%-Chance auf Wellenangriff.	Ein Felsgeist, der vom Gott der Meteore in die Existenz<br>Gerufen wurde. Zerschmettert Barrieren mit heiliger Kosmos-<br>Energie! Robust gegen Aliens. 100-%-Chance auf Wellenangriff.
570	Ein längst verstorbener Drachenlord, der durch den Pakt mit<br>einer Knochenbestie zu Macht (und vielen Süßigkeiten) kam.<br>Verlangsamt Aliens/Zombies und stößt sie zurück. Flächenangriff.	Geist eines Drachenlords, der in mondlosen Halloween-Nächten<br>wie ein Feuerstreif am Himmel erscheint.<br>Verlangsamt Aliens/Zombies und stößt sie zurück. Flächenangriff.	Ein schwarzer Ritter im Dienst des Halloweenkönigs.<br>Schnappt sich einfach so ungesunde Süßigkeiten von Passanten.<br>100% Rückstoß/Lähmen gegen Zombie-/Alien-Feind garantiert.
571	Joining the fight from Street Fighter V!<br>The world will know the majestic art of Sumo!<br>Tough vs Angels, with 100% Knockback! (Area Atk)	Joining the fight from Street Fighter V!<br>Flying onto the world stage with a Super Head Ram!<br>Tough vs Angels, with 100% Knockback! (Area Atk)	
572	Joining the fight from Street Fighter V!<br>Former pro boxer, steadfast in his convictions.<br>Area Attacks only hit Red/Black/Zombies!	Joining the fight from Street Fighter V!<br>His Turn Punch guarantees a quick knockout!<br>Area Attacks only hit Red/Black/Zombies!	
573	Joining the fight from Street Fighter V!<br>A pure narcissist who strives to fight beautifully.<br>Freezes Metal, Long-Range Strikes might Critical!	Joining the fight from Street Fighter V!<br>Dance with death using a "Flying Barcelona Attack"<br>Freezes Metal, Long-Range Strikes might Critical!	
574	Joining the fight from Street Fighter V!<br>Ultimate strength and masterful technique. Massive<br>damage vs Floating, stronger after taking damage!	Joining the fight from Street Fighter V!<br>Crush fools with a Tiger Uppercut! Massive<br>damage vs Floating, stronger after taking damage!	Joining the fight from Street Fighter V!<br>Tiger Uppercut crushes foolishness! Massive<br>damage vs Floating, stronger after taking damage!
575	Joining the fight from Street Fighter V!<br>Mastermind of the evil organization Shadaloo.<br>Strong vs Floating/Aliens/Zombies!	Joining the fight from Street Fighter V!<br>Bring the world to heel with a Psycho Crusher!<br>Strong vs Floating/Aliens/Zombies!	
576	A Cat driven to spread the love of Sumo.<br>Winner of the Li'l Sumo Tournament for 20<br>years running. Tough vs Angels (Area Attack)	Cultivated his body to become a testament to<br>the healing powers of Japan's hot spring culture.<br>Tough vs Angels (Area Attack)	Cultivated his body to become a testament to<br>the healing powers of Japan's hot spring culture.<br>Tough vs Aliens (Area Attack)
577	Aiming to take the grand prize and get rich!<br>...but he's been disqualified for repeated fouls.<br>Strong vs Black enemies	An underworld legend with a flawless hook.<br>Can't sleep after fights due to muscle pain.<br>Strong vs Black enemies	Legendary underworld Cat with a flawless hook.<br>Can't sleep after fights due to muscle pain.<br>Strong vs Black enemies
578	Narcissist Cat drunk on his own beauty.<br>Wears a mask to protect his flawless looks.<br>Strong vs. Angels	Cat who mastered the beautiful art of<br>Spanish Ninjutsu. Mask is more beautiful<br>than his own face. Strong vs. Angels	
579	A prideful Cat known as The Emperor.<br>His personal Muay Thai style is undefeated.<br>Strong vs Floating, Immune to Waves!	Foolish defiance of the weak will not be tolerated.<br>Seeks a higher reason to achieve true strength.<br>Strong vs Floating, Immune to Waves!	
580	Wielding psycho-power, this deadly Cat aims to<br>tear down this world to build a new paradise.<br>Strong vs Aliens, with Long-Range Area Atk	The villainous leader of an evil secret society,<br>controlling the global Cat Food smuggling cartel.<br>Strong vs Aliens, with Long-Range Area Atk	
581	Eine mineralienbasierte Lebensform, die Gamatoto tief unter<br>der Erde gefunden hat. Nach acht Jahren Forschung endlich<br>einsatzbereit. Greift genau einmal an.	Steinähnliche Urkatze, die überraschend zerbrechlich ist,<br>emotional wie körperlich. Bitte brich ihr zartes Herz<br>nicht. Greift genau einmal an.	
582	Virtual singer loved by the entire Cat Empire!<br>Performed at Magical Mirai 2020 in OSAKA/TOKYO!!<br>Massive damage vs Red/Angels, might Savage Blow.	Virtual singer loved by the entire Cat Empire!<br>Dressed for summer festivals in her best yukata!<br>Massive damage vs Red/Angels, might Savage Blow.	
583	Virtual singer loved by the entire Cat Empire!<br>Next performance: Magical Mirai 2020 in TOKYO<br>Tough vs Red/Angels, blocks Wave attacks.	Virtual singer loved by the entire Cat Empire!<br>Dressed for snowy cheer in stylish winter wear!<br>Tough vs Red/Angels, blocks Wave attacks.	
584	Steht im Krieg um Weihnachten an vorderster Front! Geschenke<br>für artige kleine Krieger und einen Sack Haumichblau für die<br>Bösen! Resistent gegen Rote Feinde. Willensstärke.	Hast du von dem Krieger gehört, der Weihnachten so liebte,<br>dass ihm ein kompletter Weihnachtsbaum aus dem Kopf wuchs?<br>Resistent gg. rote Feinde. Wird nach erlittenem Schaden stärker!	Wilder Kriegsgott mit festlichem Fanatismus für Kämpfe zu<br>den Feiertagen! Sein Rüstungsgeschmack gilt als exzentrisch.<br>Robust gegen Rot/Aku, wird nach erlittenem Schaden stärker!
585	Verteidigt die Hilflosen mit aller Macht. Jetzt mag er noch<br>klein sein, aber in ihm schlummert großes Potenzial ...<br>Rundumschläge, Robust gegen alle Werte, Immun gegen Wellen.	Wenn jemand, den du liebst, für deine Sicherheit betet,<br>verteidigt dich Garu mit aller Macht. Robust gegen Feinde<br>mit Werten, immun gegen Wellen, Miniwellen-Rundumschläge.	
586	Nachdem er den uralten Wald tapfer durchquert hatte, erhielt<br>er Magie, mit der er die ganze Katzheit zähmen konnte.<br>Flächenangr. belegen Feinde m. Werten m. negativen Effekten.	Die unheimliche Magie hatte einen versteckten Preis und mit<br>jeder Schlacht verliert er ein Stück seiner Seele.<br>Flächenangr. belegen Feinde m. Werten m. negativen Effekten.	
587	Stolze Liebesgöttin, die nur an einem besonderen Tag im Jahr<br>ihr Aussehen ändert. Ihre Bogentreffer verursachen heftigen<br>Distanz-Flächenschaden gegen rote und schwarze Feinde.	Königin der Liebe, zum Valentinstag herausgeputzt und in<br>romantischer Stimmung. Ihre Bogentreffer verursachen heftigen<br>Distanz-Flächenschaden gegen rote und schwarze Feinde.	
588	Dieses Jahr lässt sich die Prinzessin vom 3-Sterne-Konditor<br>beibringen, wie man Schokolade herstellt. Wellenangriff.<br>Kann Angriffen von roten & fliegenden Feinden ausweichen.	Ihre Schokolade ist jetzt perfekt, also ist sie bereit, ihre<br>Gefühle zu gestehen ... wenn sie den Richtigen findet.<br>Wellenangriff. Kann roten & fliegenden Feinden ausweichen.	
589	Mit selbstgemachter Schokolade in der Hand bereit, ihre Angst<br>zu unterdrücken und endlich ihren Schwarm anzusprechen.<br>Garantierter Mini-Wellenangriff mit Chance auf Haudrauf.	Sie hatte doch zu viel Angst, ihn anzusprechen, also hat sie<br>Pralinen und Liebesbrief in seinem Schuhkarton hinterlassen.<br>Ach, egal. Garant. Mini-Wellenangriff m. Chance auf Haudrauf.	Mit den besten selbstgemachten Süßigkeiten in der Hand<br>versucht sie, einen bestimmten Jemand zu erobern ...<br>Mini-Wellen mit Chance auf Aku-Schilddurchdr. und Haudrauf!
590	Virtual singer loved by the entire Cat Empire!<br>A majestic snow sculpture brought to life!<br>Strong vs.Traitless, with chance to Slow.	Virtual singer loved by the entire Cat Empire!<br>Beautifully bedecked in snow illuminations.<br>Strong vs.Traitless, with chance to Slow.	
591	Virtual singer loved by the entire Cat Empire!<br>A talented singer with a wide vocal range.<br>Tough vs. Zombies, with Area Attack.	Virtual singer loved by the entire Cat Empire.<br>Blessed with expressive, manly voice.<br>Tough vs. Zombies, with Area Attack.	
592	Die-hard fan of a fresh-faced popstar.<br>Known for gifting fresh oranges to the crowd.<br>Might Dodge attacks from Black enemies.	Die-hard fan of a charming popstar.<br>Dreams of her voice being heard around the world.<br>Might Dodge attacks from Black enemies.	
593	Die-hard fan of a powerful popstar.<br>Adolescence has recently developed his voice.<br>Might Dodge attacks from Metal enemies.	Die-hard fan of a dignified popstar.<br>Touring the world in a handmade banana boat.<br>Might Dodge attacks from Metal enemies.	
594	Schatzhändler, die die Welt per Zeppelin bereisen. Haben ein<br>seltsames Artefakt, das kosmische Energie abgibt.<br>Irrer Schaden gg. Zombie-Feinde. Rundumschlag.	Das mysteriöse Artefakt wird unter Elite-Sicherheitsaufsicht<br>an eine geheime Militäreinheit geliefert.<br>Irrer Schaden gg. Zombie-Feinde. Rundumschlag.	Das Artefakt transportieren Ultra-Elite-Sicherheitsleute.<br>Irrer Schaden gg. Zombie-Feinde, Chance auf Ausweichen.<br>Überlebt garantiert einen tödlichen Schlag. (Rundumschlag)
595	Ein mythischer Drache und Frühlingsbote. Er erscheint,<br>sobald 7 Ostereier gesammelt wurden. Kann eiserne<br>Feinde verlangsamen & zurückstoßen. Flächenangriff.	Mythischer, mit 7 Ostereiern beschworener Drache.<br>Alles, was sein magischer Atem berührt, blüht auf. Kann<br>eiserne Feinde verlangs. & zurückstoßen. Flächenangriff.	Legendärer Drache, der denen, die vom Frühling träumen,<br>Wünsche erfüllt und neues Leben aufblühen lässt.<br>Kann eiserne und Aku-Feinde zurückstoßen/lähmen.
596	Joining from "Ranma 1/2"! Heir to the<br>Saotome style of Anything Goes Martial Arts.<br>Massive Omnistrike damage to Red/Floating.	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a girl!<br>Massive Omnistrike damage to Red/Floating.	
597	Joining from "Ranma 1/2"! Strong and clumsy,<br>but pure-hearted girl engaged to Ranma.<br>Long-range Savage Blows w/ Barrier Break!	Joining from "Ranma 1/2"! Never misses a<br>day of training. All suitors will be crushed!<br>Long-range Savage Blows w/ Barrier Break!	
598	Joining from "Ranma 1/2"! Cute piglet pampered<br>by Akane. But when doused in hot water...<br>Tough vs Metal/Black enemies, might Knockback	Joining from "Ranma 1/2"! Thinks of himself as<br>Ranma's rival, but can't find the dojo to fight him.<br>Tough vs Metal/Black enemies, 100% Knockback	
599	Joining from "Ranma 1/2"! When doused in<br>water, Cursed Springs magic turns her into a cat.<br>Attacks have chance of Mini-Wave.	Joining from "Ranma 1/2"! Mighty Amazon who'll<br>fight anyone standing between her and Ranma.<br>100% chance of Mini-Wave.	
600	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a duck.<br>Long-range strikes might Curse Aliens/Zombies.	Joining from "Ranma 1/2"! Dirty tricks master in<br>love with Shampoo... who has no feelings for him.<br>Long-range strikes 100% Curse Aliens/Zombies.	
601	Joining from "Ranma 1/2"! Founder of Anything<br>Goes style, who even Ranma cannot challenge.<br>Area atks might Knockback Red/Floating/Zombies.	Joining from "Ranma 1/2"! A troublesome<br>letch with a habit of stealing underwear...<br>Area atks might Knockback Red/Floating/Zombies.	
602	Joining from "Ranma 1/2"! Ranma's OTHER<br>fiancee, a commanding fighter (with a girlish heart).<br>Chance to Weaken Metal, might Critical.	Joining from "Ranma 1/2"! Polished her fighting<br>skills cooking okonomiyaki at her shop.<br>Chance to Weaken Metal, might Critical.	
603	Joining from "Ranma 1/2"! Rising star of the<br>kendo world, and hopelessly in love with Akane.<br>Chance to Slow/Knockback and Dodge Angels!	Joining from "Ranma 1/2"! In love with girl Ranma<br>at first sight, still shamelessly pursuing Akane.<br>Chance to Slow/Knockback and Dodge Angels!	
604	Die hard fan of Anything Goes Martial Arts.<br>Cat Fist technique is deadly at close range.<br>Massive damage to Floating, with chance to Slow!	Turned into a lady Cat for some reason. Can't<br>figure out why, looking for a way to turn back.<br>Chance to Slow and Dodge Floating attacks.	
605	A pure-hearted Cat loved by all the guys.<br>Awaiting the fiance of her dreams.<br>Chance to strike a Savage Blow!	A Cat who just can't stand boys! Trains while<br>imagining she's beating up that one rude guy!<br>Chance to strike a Savage Blow!	
606	A Cat who admires the Saotome school master,<br>and always trains wearing a cute panda outfit.<br>Collects Extra Money after defeating enemies!	A Cat who admires the Saotome school master.<br>Sold his panda outfit for a cool martial arts gi.<br>Collects Extra Money after defeating enemies!	
607	Furchtlose Schwertkämpferin aus einer Welt der Fantasie!<br>Ist durch ein Portal in das Katzenimperium gestolpert.<br>Heftiger Distanz-Flächen-Zufallsschaden gg. schwarze Feinde!	Neugierige Reisende, die nur nach Hause zurückkehrt, um<br>nach Abenteuern Geschichten und Schätze zu teilen. Heftiger<br>Distanz-Flächen-Zufallsschaden gegen schwarze Feinde!	Hat genug geleistet, um zur Legende zu werden und will die<br>Abenteuer doch nicht aufgeben. Behemothtöter, mit heftigem<br>Distanz-Flächen-Zufallsschaden gegen schwarze Feinde!
608			
609	Spiegelversion des unerschütterlichen Wächtertieres,<br>das in die kalte, harsche Realität geboren wurde. Robust gg.<br>Wertelose. Mini-Wellen-Rundumschlag. Immun gg. Wellen.	Eine Vision der Verzweiflung derer, die ihre Liebsten nicht<br>schützen konnten. Robust gg. Wertelose. Rundumschläge<br>werden nach erlittenem Schaden stärker. Immun gg. Wellen.	Eine Vision der Verzweiflung derer, die ihre Liebsten nicht<br>schützen konnten. Robust gg. Wertelose, Rundumschläge<br>werden nach erlittenem Schaden stärker. Immun gg. Wellen.
610	Ein dicker Batzen aus reinem Gold, der doppelt so viel<br>wert war, bevor die Panzer-Katze damit zu tun hatte.<br>Robust gegen fliegende Feinde. Flächenangriff.	Ein Truppe aus Goldbarrenkatzen hat sich vereint und ist zu<br>einer glitzernden Kampfeinheit geworden. Lang lebe der König!<br>Robust gegen fliegende Feinde. Flächenangriff.	Ein goldener Katzenpharao, der seit Urzeiten des Imperiums<br>nicht gesehen wurde. Jetzt ein beliebtes Ziel für Touristen.<br>Robust gegen Fliegende. Immun gegen Gifte. Flächenangriff.
611	A Cat who loves to play Godzilla, rampaging<br>through the city streets meowing furiously.<br>Strong vs Black Enemies	Wants to become the king of monsters like Godzilla.<br>Drinks milk daily, hoping to grow to 118.5 meters tall.<br>Strong vs Black Enemies	
612	In einem versteckten Katzenkönigreich hat ein neunjähriges<br>Genie alle königlichen Bibliotheken auswendig gelernt.<br>Schwächt Rote, Engel und Zombies. Mit Mini-Welle.	Mit ihrer großen Intelligenz (und verbotenen Zauberbüchern)<br>hat sie das Katzenimperium in ein goldenes Zeitalter geführt.<br>Schwächt Rote, Engel und Zombies. Mit Mini-Welle.	
613	Uralter Held, der jetzt mit den trendy Katzen verbündet ist.<br>Hat sich umgestylt, ohne es seinen Eltern zu sagen.<br>Friert Relikte garantiert ein. Einzelner Zufallsangriff.	Ist die Zwänge der Familientraditionen leid und zeigt mit<br>einer neuen Katzenmaske sein wahres Ich.<br>Friert Relikte garantiert ein. Einzelner Zufallsangriff.	Hat als Mantra: „Kunst ist gewalttätig!“ Ganz von Künstler-<br>Ehrgeiz verschlungen. Koloss-/Behemothtöter.<br>100 % Einfrieren/Rückstoß gg. Relikte. 1x Zufallsangriff.
614	Hat ihren Mondpalast verlassen, um auf der Erde Urlaub<br>zu machen und frische Wassermelonen zu genießen.<br>Flächenangriffe können schwarze/Alien-Feinde verlangs.	Uralte Superwaffe, die ein Tropenparadies mit gezielten<br>Kokosnussschüssen auf Invasoren verteidigen soll.<br>Flächenangriffe verlangs. schwarze/Alien-Feinde garantiert.	Uralte Superwaffe, die alle Strände überblickt.<br>Wird als großes, bewegliches Reiseziel beworben.<br>Lähmt schwarze, Alien- und Aku-Feinde garantiert.
615	Eine gepanzerte Katze, die Eichensaft liebt.<br>Kann nicht mit einem normalen Netz gefangen werden.<br>Stark gegen rote und schwarze Feinde.	Der mächtige, einhörnige König des Sommers.<br>Im Insekten-Sumoturnier ungeschlagen.<br>Stark gegen rote und schwarze Feinde.	
616	Eine gepanzerte Katze, die Melonenschalen liebt.<br>Kann nur mit einem besonderen Netz gefangen werden.<br>Stark gegen fliegende und Alien-Feinde.	Champion des Sommers mit einem robusten,<br>glänzendem Körper. Kämpft auch nach dem Match<br>noch weiter. Stark gegen fliegende und Alien-Feinde.	
617	Um die Welt zu retten, schloss er einen Pakt mit den Aku.<br>Befehligt finstere Diener für einen guten Zweck ... noch.<br>Distanz-Flächenangriffe lähmen Aku garantiert.	Nur sein reiner Wunsch, die Welt zu retten, rettet Satoru<br>vor der Verderbnis durch die Magie des Aku-Paktes.<br>Distanz-Flächenangriffe lähmen Aku garantiert.	In die Welt gekommen, um den Aku-König zu unterwerfen. Sein<br>Kampf zum Schutz der Katzen beginnt jetzt! Distanz-<br>Flächenangriffe mit garantierten Rückstoß/Lähmen gg. Aku.
618	Eine Uhrwerkschöpfung, erfüllt mit der Seele eines jungen<br>Eiferers. Für sein Ziel in den blutigen Kampf getrieben.<br>Heftiger Flächenschaden gg. Aku- und schwarze Feinde.	Sein ewiger Kreuzzug hat seinen eigenen Geist befleckt und<br>ihn in einen rachsüchtigen Geist des Gemetzels verwandelt.<br>Heftiger Flächenschaden gg. Aku- und schwarze Feinde.	Verkörpert Groll und Zorn auf dem Schlachtfeld.<br>Beherbergt rächendes Höllenfeuer, das die Welt zerstört.<br>Heftiger Flächenschaden gg. Aku- und schwarze Feinde.
619	Diese irre Forscherin hat an ihren eigenen Mitschülern<br>experimentiert, um das böse Mateki-Elixier herzustellen.<br>Stark gegen Engel und Aku, mit durchdringenden Angriffen.	Hat einen Pakt mit dem bösen Aku geschlossen, um mit der<br>ultimativen Mateki-Formel die ganze Akademie zu knechten.<br>Stark gegen Engel und Aku, m. garantiert durchdr. Angriffen.	Eine verrückte, die Elixiere braut, um Dämonen zu versklaven.<br>Betrachtet Unheil und Chaos mit bezauberndem Grinsen.<br>Stark gegen Engel und Aku, m. garantiert durchdr. Angriffen.
620	Ein widerwärtiger Drache, aus dem Miasma geboren und dazu<br>bestimmt, törichten Sterblichen Verderben zu bringen.<br>Resistent gg. Rot und Aku, Chance auf Rückstoß/durchdringend.	Ihm wurde die überwältigende Macht verliehen, das Königreich<br>der Himmel durch finstere Pakte mit den Aku zu vernichten.<br>Resistent gg. Rot und Aku, Chance auf Rückstoß/durchdringend.	Ein finsterer Drache, der dunkles Licht in sich aufgenommen<br>hat. Sein Feuer hat Welten vernichtet. Robust gg. Aku/Rot,<br>mit garantiertem Rückstoß und Chance auf Schilddurchdr.
621	Ein tapferer Gelehrter, der sich in den Vortex wagte, um die<br>wahre Natur der Aku zu verstehen. Hat sein ganzes Vermögen<br>in diese Leidenschaft gesteckt.	Je mehr verbotenes Wissen er sich aneignete, desto mehr<br>ähnelte er selbst den Aku. Chance auf<br>Haudrauf-Treffer; durchdringende Angriffe.	Gelehrter, der sich dem Aku-Studium verschrieben hat.<br>Ist wahnsinnig neugierig auf Katzen, die Aku bedrohen.<br>Chance auf Haudrauf, mit durchdringenden Angriffen.
622	Ein aus dem Ei des Gottes der Zerstörung geschlüpftes Baby.<br>Hält die Katzen, die ihn aufgezogen haben, für seine Eltern.<br>Stark gegen Wertelose, mit garantiertem Zufallsangriff.	Die Katzen haben das Kind der Zerstörung überraschend gut<br>erzogen. Ist jetzt zwei und verschont nichts und niemanden.<br>Stark gg. Wertelose, m. garantiertem Zufallsangr. + Rückstoß.	
623	Flötespielende Musikantenkatze, die von Stadt zu Stadt zieht.<br>Irgendetwas an der Melodie lockt dich, ihr zu folgen ...<br>Schwächt Aku garantiert, Chance auf durchdringende Treffer.	Nutzt die Anonymität, um ihr Flötenspiel zu verbessern.<br>Verdient ihren Unterhalt mit dem Verkauf von Reisehüten.<br>Schwächt Aku garantiert, Chance auf durchdringende Treffer.	
624	Joining the fight from the River City series!<br>Bad-boy who defends the weak and defies the strong!<br>	Joining the fight from the River City series!<br>Plays dodgeball to train his body for taking on<br>the world! Long-range Area strikes!	
625	Unsicher, ob das wirklich eine Katze ist ...<br>Irgendwas stimmt nicht mit diesen ...<br>brennenden Haarlocken ...	Kann die Welt noch mehr von denen ertragen?!<br>Diese hier scheint Flächenangriffe zu haben, die<br>garantiert durchdringen und die Abwehr durchbrechen.	
626			
627			
628			
629	Kosteneffektive Standardkatze, die durch<br>Gedankenkontrolle programmiert ist, Angriffen von<br>schwarzen und Aku-Feinden auszuweichen!	Verkaufsargument: definierte Muskeln. (Und eine<br>Chance, dank Gedankenkontrolle Angriffen von<br>schwarzen/Aku-Feinden auszuweichen!)	
630	Künstler, zu dessen typischem Stil ein Riesenpinsel und jede<br>Menge durchgestrichene Fehler gehören (er hat es nicht so<br>mit Rechtschreibung). Stark gegen Relikt-Feinde.	Stellt mit einem persönlichen Quirl gigantische Mengen<br>Tee her, die kostenlos an das ganze Katzenimperium gehen.<br>Stark gegen Reliktfeinde, immun gegen Wellen/Zufallsangriffe.	
631	Ein Trugbild der Finsternis, in den Tiefen des Alls<br>geboren und im Herz eines Asteroiden auf die Erde<br>gekommen. Kann Alien- & Aku-Feinde schwächen.	Erzeugt eine tiefschwarze Leere, die Planeten<br>aus dem Orbit ziehen und Barrieren einfach brechen kann!<br>Robust gegen Alien und Aku, m. garantiertem Schwächen	Dunkler Geisterfürst, der Sternenlicht verschlingt.<br>Bricht Barrieren und blockiert Wellenangriffe.<br>Robust gegen Alien und Aku, m. garantiertem Schwächen
632	Brandschatzende Katzen auf einer von Aku-Energien<br>angetriebenen Kriegsmaschine wollen die Ödnis erobern.<br>Heftiger Flächenschaden gegen Zombies/Engel/Aku	Hochentwickelte Waffe auf Basis gestohlener Aku-<br>Technologie. Die Schienenkanone vernichtet alles vor ihr, bis<br>zum Horizont. Heftiger Flächenschaden gg. Zombies/Engel/Aku	Mit Aku-Technologie gebaute Massenvernichtungswaffe.<br>Keine Waffe auf dem Planeten kann sie am Vorrücken hindern.<br>Fügt Zombies, Engeln und Aku heftigen Schaden zu.
633	Schatzjäger, der im Haus eines Spatzen eine heimgesuchte<br>Truhe „gefunden“ hat. Mini-Welle mit Chance auf<br>Rückstoß/Fluch gegen Aku/Engel.	Geisterjäger, die mit Truhengeistern zusammenarbeiten, um<br>mit einem hochtechnisierten Ecto-Netz Yokai zu fangen. Chance<br>auf Mini-Welle, garantierter Rückstoß/Fluch gg. Aku/Engel.	Geisterjäger, die mit ihrem Job fett verdienen.<br>Fange Geister mit ihrer hochmodernen Ausrüstung.<br>Mini-Welle, garantierter Rückstoß/Fluch gg. Aku/Engel.
634	Dämonentötender Hüter der Unschuldigen. Vernichtet die<br>aus der Dunkelheit Geborenen mit heiligem Licht.<br>Kann Aku/Aliens einfrieren, mit Schilddurchdringung.	Rasender Kreuzritter, der seinen Körper an die Aku geopfert<br>hat, um die absolute Macht zu erhalten, Böses zu vernichten.<br>Stark gegen Aku und Aliens.	
635			
636	Katze mit hoher Gesundheit, die stark genug ist, einen<br>Kieselstein heben zu können durch Gedankenkontrolle, um<br>Flächenangriffe zu erhalten, mit zusätzlicher Robustheit.	Katze mit robuster Verteidigung. Dank Gedankenkontrolle mit<br>der Stärke ausgestattet, einen kleinen Stein zu bewegen,<br>sowie Flächenangriffe, mit zusätzlicher Robustheit.	
637			
638			
639			
640			
641	Tänzerin, die Menschen mit ihrer Kunst zum Lächeln bringen<br>will. Kennt ihre eigene innere Kraft nicht.<br>Heftiger Rundumschlag-Schaden an Feinden mit einem Wert.	Anmutige Tänzerin, die mit eleganten Bewegungen bezaubert.<br>Ruft magische Kraft hervor und verursacht irren Schaden an<br>Feinden mit einem Wert. Wird nach erlittenem Schaden stärker.	
642	Herausgeworfen, nachdem er verbotene Mächte erlangen wollte.<br>Vernichtet Feinde mit der Höllenklinge des gefallenen Engels.<br>Stark gegen Fliegende/Aku. 100% Chance auf Zufallsangriff	Feind des Himmels, Kommandant der Dämonenlegionen.<br>Erschafft mit der unheiligen Höllenklinge eine finstere Welt.<br>Stark gegen Fliegende/Aku. 100% Chance auf Zufallsangriff	
643	Überwand die Sterblichkeit, um das Schicksal zu wenden.<br>Eilt auf Ziele zu und greift mit dem langen Schwanz an.<br>Heftiger Schaden gegen Relikte. (Rundumschlag)	Katze, die sich freiwillig in die Schlacht stürzt.<br>Sucht Freiheit durch reine Körperkraft.<br>Heftiger Schaden gegen Relikte. (Rundumschlag)	Genetische Verkörperung von „Verkatzte Menschheit“.<br>Nach Jahren der Biorekombination erwacht.<br>Heftiger Schaden gegen Relikte. (Rundumschlag)
644	Hat Schokolade in den Antriebsreaktor gegossen,<br>um die Struktur menschlicher Liebe zu entschlüsseln.<br>Flächenangriffe können Wertelose einfrieren.	Durch ihre Verbitterung über fehlende Forschungsergebnisse<br>wird auch Mekakos Mech immer finsterer ...<br>Flächenangriffe können schwarze Feinde einfrieren.	Liebe in selbstgemachter Schokolade. Die Süßigkeiten<br>ihrer Roboter können Liebe enthalten oder auch nicht.<br>Flächenangriffe können Relikte einfrieren.
645	Durch Gedankenkontrolle programmiert, ein rasender<br>Kampffanatiker zu werden, der stark gegen Wertelose ist<br>und seine Ziele verfluchen kann.	Gedankenkontrollierter Möchtegern-Held,<br>auf Stärke gegen Wertelose programmiert.<br>Hat eine Chance, Ziele zu verfluchen.	
646	Eine sehr rote, sehr glückbringende Katze. Vertreibt mit<br>ihrem Laut Böses und bringt Glück.<br>Fügt roten Feinden heft. Schaden zu, kann Angr. ausweichen.	König aller Böllerkatzen. Macht die lautesten Geräusche und<br>blitzt heller als jede andere Böllerkatze.<br>Fügt roten Feinden heft. Schaden zu, kann Angr. ausweichen.	
647	Ihr Leben veränderte sich für immer, als sie auf die Jagd<br>eingeladen wurde. Jagt mit Schüssen aus ihrem Blitzbogen.<br>Kolosstöter, Flächenangriffe lähmen rote/Alien-Feinde.	Sie ist übernatürlich ruhig und clever und trifft<br>zuverlässig die Schwachstellen ihrer riesigen Ziele.<br>Kolosstöter, Flächenangriffe lähmen rote/Alien-Feinde.	
