000	Le Chat de base.<br><br>	Son atout charme : ses muscles bien dessinés.<br>Un Chat de base.<br>	Son atout charme : ses muscles bien dessinés.<br>Autre atout charme : ses beaux cheveux.<br>
534	Seigneur suprême et juge de la mort.<br>Condamne les âmes malveillantes avec sa faux infernale.<br>Immun. toxique/téléportation. (Att. de zone)	Souverain des enfers qui fauche les esprits des pécheurs,<br>scellant leur destin funeste.<br>Immun. toxique/téléportation. (Att. de zone)	Il règne sur l’outre-monde et utilise le fruit de la création<br>pour attirer les pauvres pécheurs en son royaume.<br>Immun. toxique/téléportation. (Att. de zone)
535	Virtual singer loved by the entire Cat Empire!<br>Cute & stylish electric pop diva. (Area Attack)<br>Strong vs. & Weakens Red, Floating, Angels.	Virtual singer loved by the entire Cat Empire!<br>Her voice is famous around the globe. (Area Attack)<br>Strong vs. & Weakens Red, Floating, Angels.	
536	Virtual singer loved by the entire Cat Empire!<br>Cute & stylish diva dressed for spring! Long-range<br>Area attacks Freeze Aliens, might break Barriers.	Virtual singer loved by the entire Cat Empire!<br>Diva who dances among the cherry blossoms.<br>Area attacks Freeze Aliens, might break Barriers.	
537	Virtual singers loved by the entire Cat Empire!<br>Powerful and charming twin vocals. Long-range<br>Area attacks might Knockback/Slow Black & Metal	Virtual singers loved by the entire Cat Empire!<br>Voices filled with the dreams of youth. Long-range<br>Area attacks might Knockback/Slow Black & Metal	
538	Die-hard fan of a cute & stylish pop diva.<br>Broke a mirror trying to cover Miku's songs.<br>Might Dodge Floating enemy attacks	Taking first steps toward global pop stardom.<br>Has front row seats for Miku's next show.<br>Might Dodge Floating enemy attacks	
539	Jeune ailier talentueux pour le F.C. Félin. Attaquant décisif<br>dans les dernières victoires contre les Toutous.<br>Fort contre les ennemis noirs, immunité aux vagues. (Att. de zone)	Il a traversé les mers et commencé un nouveau sport.<br>Il est bien rembourré ! Fort contre<br>les ennemis noirs, immunité aux vagues. (Zone longue portée)	Dégage un nuage de fumée en chargeant. Crie<br>« Hoho ! » en allant chercher le touchdown !<br>Assure contre noirs/Akus, immun. vagues/séries(zone).
540			
541			
542			
543	Écoutant les murmures des malédictions, elle erre<br>à la recherche de sa paix intérieure.<br>Répliques offensives longue portée avec 100 % de malédiction.	En laissant son âme absorber les pouvoirs maudits,<br>elle est devenue l’incarnation du désastre.<br>Répliques offensives longue portée avec 100 % de malédiction.	
544	Curieuse jeune fille explorant l’empire des Chats, elle<br>terrasse les démons avec sa lame, Honoka. Résistance acharnée<br>face aux ennemis métal, att. de zone possiblement critiques.	Ses expériences dans notre monde l’ont rendue plus sage.<br>Honoka l’a protégée maintes fois au combat. Rés. acharnée<br>face aux ennemis métal, att. de zone possiblement critiques.	
545	Une silhouette qui ressemble vaguement à un Chat.<br>A du mal à tenir en place par temps venteux.<br>Dégâts massifs aux anges par att. de zone longue portée.	Un être à la félinité ambiguë, fait de sombre vapeur.<br>Crache des gaz toxiques quand il a des soucis gastriques.<br>Dégâts massifs aux anges par att. de zone longue portée.	
546	Est-ce un Chat ?<br>Il a quand même un drôle<br>de sourire sans dents...	Eh bien mes aïeux ! On dirait que<br>ce mystérieux vétéran a des att. de zone qui donnent<br>100 % de malédiction aux ennemis non-métal.	Un retraité lambda... ou une force mystérieuse de<br>destruction surnaturelle ? Tu ne veux pas vraiment savoir.<br>100 % malédiction contre non-métal, immunité répliques off.
547	Being of purity who heralds the world's end.<br>Where lies the exit from this shining night?<br>Tough vs Traited enemies, with 100% Slow.	Unshakable faith in a hopeful dawn to come<br>gives her the strength to keep fighting on.<br>Tough vs Traited enemies, with 100% Slow.	
548	Terrifying being appearing with unknown intent.<br>Striking out with piercing light from its palms.<br>Massive Area damage & Knockback vs Black enemies.	A Cat Army-produced replica of the 4th Angel.<br>Modified by fusing a Cat to the Angel's core.<br>Massive Area damage & Knockback vs Black enemies.	
549	Terrifying being appearing with unknown intent. An<br>ever-shifting form of incomprehensible power. Massive<br>Long-Range Area damage & Slow vs Floating enemies.	A Cat Army-produced replica of the 6th Angel. Already<br>forgot what their original form looks like. Massive<br>Long-Range Area damage & Slow vs Floating enemies.	
550	Terrifying being appearing with unknown intent.<br>Lashes out by extending its mighty A.T. Field. Massive<br>Omnistrike Damage & Freeze vs Angelic enemies.	A Cat Army-produced replica of the 10th Angel.<br>Unknown genomes spliced into Gross Cat DNA. Massive<br>Omnistrike Damage & Freeze vs Angelic enemies.	
551	Terrifying being appearing with unknown intent.<br>Possessing the physical form of Eva Unit-03. Massive<br>Long-range Area Damage & Weaken vs Alien enemies.	A Cat Army-produced replica of the 9th Angel.<br>Controlled by Tank Cat like a dummy plug. Massive<br>Long-range Area Damage & Weaken vs Alien enemies.	
552	Cat resembling a mysterious boy who enjoys<br>playing piano and making ominous statements.<br>Tough vs Black enemies, with Massive Damage.	Recently seen on the moon performing his original<br>composition, "The Promised Time of Shinji Cat"<br>Tough vs Black enemies, with Massive Damage.	
553	Il a fui son domicile pour devenir boulanger en ville.<br>Ses croissants sont goûteux et prêts à se battre.<br>Att. longue portée, 100 % de maléd. sur anges/aliens/zombies.	Lassé de la vie urbaine, il est rentré chez lui,<br>fier chasseur maniant une arme à tête chercheuse.<br>Att. longue portée, 100 % de maléd. sur anges/aliens/zombies.	
554	La volonté de celui qui s’habille ainsi fait loi.<br>Il s’est donc fait enrôler dans l’armée de Chats.<br>100 % de ralent. contre reliques, répliques offens. de zone.	Un combattant légendaire qui a su éloigner le roi démon<br>... selon le perroquet. Le masque est un cadeau.<br>100 % de ralent. contre reliques, répliques offens. de zone.	
555	Heavenly hero serving the will of Nadia.<br>Also the parent of Super Zeus. Long-range<br>attacks might Knockback traited enemies.	The ultimate manifestation of compassion<br>raising his sword to defend innocents from evil!!<br>Long-range attacks Knockback traited enemies.	
556	An angel born in the realm of dreams, who soars<br>through the heavens sealing away stray devils.<br>Massive long-range damage to Black/Angels!	Sealing demons with his righteous blade,<br>the true scion of the heavenly realms!<br>Massive long-range damage to Black/Angels!	Heaven's hero, corrupted by infernal magics?!<br>Can this fallen knight's rampage be stopped??<br>Massive long-range damage to Black/Angels!
557	An angel who frolics through the elysian fields.<br>Make the devils dance before crushing them!<br>Extra money earned by defeating enemies!	Divine King who uses godlike speed to fulfill<br>the prophecies of the heavenly realms.<br>Extra money earned by defeating enemies!	
558	Il a fui la machine à Chapsules pour fêter<br>une autre année de jeu ! Faites tourner le Chat,<br>encore et encore ! Peut repousser les ennemis.	Ce n’est même pas ma forme la plus chanceuse, imbécile !<br>C’est possible, de TROP tourner ?<br>Peut repousser les ennemis.	
559	Chasseuse d’âmes maléfiques qui essaie d’échapper<br>au châtiment éternel. Elle te suit dans l’arène.<br>Son att. devant-derrière peut affaiblir. Immunité aux vagues.	Juge, juré et bourreau des vils défunts<br>qui ont oublié tout l’honneur de la victoire au combat.<br>Son att. devant-derrière peut affaiblir. Immunité aux vagues.	
560	Virtual singer loved by the entire Cat Empire!<br>Bilingual vocalist with just a bit of mystery to her.<br>Massive Long-Range Area Damage to Floating/Black	Virtual singer loved by the entire Cat Empire!<br>Laid-back bilingual vocalist with a silky smooth voice.<br>Massive Long-Range Area Damage to Floating/Black	
561	Virtual singer loved by the entire Cat Empire!<br>Talented vocalist who transcends genre.<br>Massive Long-Range Area Damage to Red	Virtual singer loved by the entire Cat Empire!<br>Heartfelt singer with a world-class voice.<br>Massive Long-Range Area Damage to Red	
562	Die-hard fan of a cool & mysterious singer.<br>Avoids dancing to preserve her mysterious allure.<br>Chance to Dodge Alien attacks	To better be like that cool & mysterious singer,<br>dances with a tuna and talks like a salty sea dog.<br>Chance to Dodge Alien attacks	
563	Difficile de viser avec ça... mais au moins, si tu tires<br>par mégarde sur un allié, ça ne fait que le mouiller.<br>Att. longue portée qui ne touche que les flottants/noirs.	Veille sur les plages pour protéger les tortues<br>de mer des fêtards qui utilisent des feux d’artifice.<br>Att. longue portée qui ne touche que les flottants/anges.	Se pavane sur les plages pour mieux les protéger.<br>Purifie le cœur des braconniers avec son pistolet à eau.<br>Attaques puissantes qui ne touchent que les Flottants/Anges.
564	Est-ce un Chat ? Ou une fille ?<br>Il a quand même un drôle<br>de goût vestimentaire...	Par tous les bigorneaux ! Cette beauté<br>des bords de mer dispose de<br>100 % de chances de répliques offensives de zone.	Est-ce un Chat ou une fabuleuse vedette ?<br>Une drôle de fille dont l'identité reste mystérieuse.<br>100 % de chances de répliques offensives de zone.
565	Bronzé à la perfection par le soleil d’été.<br>Ne s’inquiète pas des rides pour l’instant.<br>Chances d’esquiver les attaques sans caractéristiques.	Bronzé à la perfection en faisant des pompes<br>sur la plage. Quand le soleil sort, il sort aussi !<br>Chances d’esquiver les attaques sans caractéristiques.	Bronzé à la perfection, aussi réfléchissant que le soleil.<br>Les filles sur les plages dérobent volontiers son cœur.<br>Chances d’esquiver les attaques sans caractéristiques.
566	Des potes qui assurent fun et sécurité sur la plage.<br>Leur regard perçant est rivé sur les vagues.<br>Att. de zone longue portée, chance de ralentir sans caract.	Trois frères loyaux qui ressemblent à une friandise.<br>Bizarrement, celui du haut n’est pas le plus vieux.<br>Att. de zone longue portée, chance de ralentir sans caract.	Trois frères loyaux parfaitement synchronisés. Ils se nomment<br>Fraise, Vanille et Wasabi. Fléaux des Béhémoths.<br>Att. de zone longue portée. Ralentissent les sans caract.
567	En direct de ShiroDora !<br>Un œuf mystérieux en forme de Chat. Et s’il évolue, alors...<br>	En direct de ShiroDora !<br>Un Chat qui est extrêmement fier de ses origines.<br>Assure contre les sans caract. (Att. de zone)	
568	Forme de vie mystérieuse qui semble analyser<br>les Chats. Nul ne sait pourquoi elle a rejoint<br>leur armée. Dégâts de zone massifs sur les reliques.	Sort de nulle part pour effectuer des scans<br>de Chats puissants. Nul ne connaît encore sa mission.<br>Dégâts de zone massifs sur les reliques.	
569	Un esprit minéral qui a traversé l’univers,<br>récupérant l’énergie cosmique pendant son voyage.<br>100 % de chances de vague offensive.	Un esprit minéral qui commande les énergies latentes<br>des météorites pour écraser tous les ennemis des Chats.<br>Balèze contre aliens, 100 % de chances de vague offensive.	Le dieu des météorites a donné vie à un rocher.<br>Son énergie sacrée et cosmique brise les barrières !<br>Balèze contre aliens, 100 % de chances de vague offensive.
570	Un dragon mort depuis longtemps qui a fait un pacte avec une<br>bête squelettique pour gagner du pouvoir (et des bonbons).<br>Son att. de zone ralentit et repousse les aliens/zombies.	Spectre d’un seigneur dragon qui fend les cieux en<br>hurlant lors des nuits d’Halloween sans lune.<br>Son att. de zone ralentit et repousse les aliens/zombies.	Un chevalier noir au service du roi d’Halloween.<br>Il dépossède cavalièrement les passants de leurs bonbons.<br>100 % de chances de repousser/ralentir zombies et aliens.
571	Joining the fight from Street Fighter V!<br>The world will know the majestic art of Sumo!<br>Tough vs Angels, with 100% Knockback! (Area Atk)	Joining the fight from Street Fighter V!<br>Flying onto the world stage with a Super Head Ram!<br>Tough vs Angels, with 100% Knockback! (Area Atk)	
572	Joining the fight from Street Fighter V!<br>Former pro boxer, steadfast in his convictions.<br>Area Attacks only hit Red/Black/Zombies!	Joining the fight from Street Fighter V!<br>His Turn Punch guarantees a quick knockout!<br>Area Attacks only hit Red/Black/Zombies!	
573	Joining the fight from Street Fighter V!<br>A pure narcissist who strives to fight beautifully.<br>Freezes Metal, Long-Range Strikes might Critical!	Joining the fight from Street Fighter V!<br>Dance with death using a "Flying Barcelona Attack"<br>Freezes Metal, Long-Range Strikes might Critical!	
574	Joining the fight from Street Fighter V!<br>Ultimate strength and masterful technique. Massive<br>damage vs Floating, stronger after taking damage!	Joining the fight from Street Fighter V!<br>Crush fools with a Tiger Uppercut! Massive<br>damage vs Floating, stronger after taking damage!	Joining the fight from Street Fighter V!<br>Tiger Uppercut crushes foolishness! Massive<br>damage vs Floating, stronger after taking damage!
575	Joining the fight from Street Fighter V!<br>Mastermind of the evil organization Shadaloo.<br>Strong vs Floating/Aliens/Zombies!	Joining the fight from Street Fighter V!<br>Bring the world to heel with a Psycho Crusher!<br>Strong vs Floating/Aliens/Zombies!	
576	A Cat driven to spread the love of Sumo.<br>Winner of the Li'l Sumo Tournament for 20<br>years running. Tough vs Angels (Area Attack)	Cultivated his body to become a testament to<br>the healing powers of Japan's hot spring culture.<br>Tough vs Angels (Area Attack)	Cultivated his body to become a testament to<br>the healing powers of Japan's hot spring culture.<br>Tough vs Aliens (Area Attack)
577	Aiming to take the grand prize and get rich!<br>...but he's been disqualified for repeated fouls.<br>Strong vs Black enemies	An underworld legend with a flawless hook.<br>Can't sleep after fights due to muscle pain.<br>Strong vs Black enemies	Legendary underworld Cat with a flawless hook.<br>Can't sleep after fights due to muscle pain.<br>Strong vs Black enemies
578	Narcissist Cat drunk on his own beauty.<br>Wears a mask to protect his flawless looks.<br>Strong vs. Angels	Cat who mastered the beautiful art of<br>Spanish Ninjutsu. Mask is more beautiful<br>than his own face. Strong vs. Angels	
579	A prideful Cat known as The Emperor.<br>His personal Muay Thai style is undefeated.<br>Strong vs Floating, Immune to Waves!	Foolish defiance of the weak will not be tolerated.<br>Seeks a higher reason to achieve true strength.<br>Strong vs Floating, Immune to Waves!	
580	Wielding psycho-power, this deadly Cat aims to<br>tear down this world to build a new paradise.<br>Strong vs Aliens, with Long-Range Area Atk	The villainous leader of an evil secret society,<br>controlling the global Cat Food smuggling cartel.<br>Strong vs Aliens, with Long-Range Area Atk	
581	Une forme de vie minérale découverte par Gamatoto<br>dans les profondeurs terrestres. Enfin rendue utile<br>après huit ans de recherches. Attaque exactement une fois.	Chat sauvage en pierre, étonnamment fragile sur<br>les plans physique et émotionnel. Attention à ne pas<br>heurter son cœur délicat. Attaque exactement une fois.	
582	Virtual singer loved by the entire Cat Empire!<br>Performed at Magical Mirai 2020 in OSAKA/TOKYO!!<br>Massive damage vs Red/Angels, might Savage Blow.	Virtual singer loved by the entire Cat Empire!<br>Dressed for summer festivals in her best yukata!<br>Massive damage vs Red/Angels, might Savage Blow.	
583	Virtual singer loved by the entire Cat Empire!<br>Next performance: Magical Mirai 2020 in TOKYO<br>Tough vs Red/Angels, blocks Wave attacks.	Virtual singer loved by the entire Cat Empire!<br>Dressed for snowy cheer in stylish winter wear!<br>Tough vs Red/Angels, blocks Wave attacks.	
584	Il mène l'assaut de la guerre de Noël ! Distribue des cadeaux<br>aux gentils petits guerriers et des coups aux vilains !<br>Balèze contre rouges, renforcé après avoir subi des dégâts.	Ce guerrier aimait tellement Noël qu'un sapin tout décoré<br>est carrément sorti de sa tête !<br>Balèze contre rouges, renforcé après avoir subi des dégâts.	Féroce dieu de la guerre qui aime les conflits festifs.<br>Considéré comme excentrique dans ses choix vestimentaires.<br>Balèze contre rouges/Akus, renforcé en cas de dégâts.
585	Il défend les faibles de toute sa puissance. C'est vrai<br>qu'il est encore petit, mais il a un sacré potentiel...<br>Devant-derrière, balèze contre caract, immun. Vagues.	Si un être cher prie pour ta sécurité, Garu usera de<br>sa grande puissance pour te défendre. Balèze contre les<br>caract., immun. Vagues et mini-vagues de Devant-derrière.	
586	En bravant les dangers de la forêt séculaire, il a obtenu un<br>pouvoir magique inégalé permettant de dompter tous les Chats.<br>Att. de zone inflige des statuts nég. aux ennemis à caract.	Une magie aussi mystérieuse coûte très cher. Ainsi,<br>un éclat de son âme se consume à chaque combat.<br>Att. de zone inflige des statuts nég. aux ennemis à caract.	
587	Fière déesse de l'amour qui ne change de look qu'une fois<br>par an, pour un jour spécial. Son arc inflige de lourds<br>dégâts de zone longue portée aux ennemis rouges et noirs.	La reine de l'amour, habillée pour la Saint-Valentin et prête<br>à trouver l'amour. Son arc inflige de lourds<br>dégâts de zone longue portée aux ennemis rouges et noirs.	
588	Cette année, notre princesse bourgeoise a embauché le<br>meilleur pâtissier pour apprendre à faire du chocolat maison.<br>Peut esquiver les att. des rouges/flottants. Vague offensive.	Maîtrisant désormais le chocolat, elle est prête à avouer<br>ses sentiments... Reste à trouver l'élu(e) de son cœur.<br>Peut esquiver les att. des rouges/flottants. Vague offensive.	
589	Avec ses chocolats maison à la main, elle est prête à vaincre<br>pour enfin parler à qui lui plaît. Le moment est venu !<br>100 % de mini-vague offensive potentiellement critique.	Comme elle avait trop peur de lui parler, elle a<br>juste laissé ses chocolats et une lettre d'amour...<br>100 % de mini-vague offensive potentiellement critique.	Elle apporte avec elle ses meilleurs bonbons pour<br>les offrir à une personne très spéciale...<br>Mini-vagues pouvant percer les boucliers Akus, critique.
590	Virtual singer loved by the entire Cat Empire!<br>A majestic snow sculpture brought to life!<br>Strong vs.Traitless, with chance to Slow.	Virtual singer loved by the entire Cat Empire!<br>Beautifully bedecked in snow illuminations.<br>Strong vs.Traitless, with chance to Slow.	
591	Virtual singer loved by the entire Cat Empire!<br>A talented singer with a wide vocal range.<br>Tough vs. Zombies, with Area Attack.	Virtual singer loved by the entire Cat Empire.<br>Blessed with expressive, manly voice.<br>Tough vs. Zombies, with Area Attack.	
592	Die-hard fan of a fresh-faced popstar.<br>Known for gifting fresh oranges to the crowd.<br>Might Dodge attacks from Black enemies.	Die-hard fan of a charming popstar.<br>Dreams of her voice being heard around the world.<br>Might Dodge attacks from Black enemies.	
593	Die-hard fan of a powerful popstar.<br>Adolescence has recently developed his voice.<br>Might Dodge attacks from Metal enemies.	Die-hard fan of a dignified popstar.<br>Touring the world in a handmade banana boat.<br>Might Dodge attacks from Metal enemies.	
594	Marchands de trésors parcourant le monde en ballon.<br>Leur étrange artefact émet une énergie cosmique.<br>Devant-derrière inflige des dégâts insensés aux zombies.	Cet artefact mystérieux est livré à une unité militaire<br>secrète sous la surveillance d'un groupe de sécurité d'élite.<br>Devant-derrière inflige des dégâts insensés aux zombies.	L'artefact est livré par des agents de sécurité d'élite.<br>Dégâts insensés aux zombies, chance d'esquive.<br>Survit à coup sûr à 1 frappe fatale (devant-derrière).
595	Dragon mythique annonçant l'arrivée du printemps,<br>il apparaît après avoir ramassé 7 œufs de Pâques.<br>Peut ralentir/repousser les enn. de type métal. (att. de zone)	Dragon mythique invoqué par 7 œufs de Pâques.<br>Tout ce que touche son souffle magique prend vie.<br>Peut ralentir/repousser les enn. de type métal. (att. de zone)	Un dragon légendaire qui exauce les souhaits de ceux<br>qui rêvent de printemps en faisant germer une vie<br>nouvelle. Peut repousser/ralentir ennemis métal et Akus.
596	Joining from "Ranma 1/2"! Heir to the<br>Saotome style of Anything Goes Martial Arts.<br>Massive Omnistrike damage to Red/Floating.	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a girl!<br>Massive Omnistrike damage to Red/Floating.	
597	Joining from "Ranma 1/2"! Strong and clumsy,<br>but pure-hearted girl engaged to Ranma.<br>Long-range Savage Blows w/ Barrier Break!	Joining from "Ranma 1/2"! Never misses a<br>day of training. All suitors will be crushed!<br>Long-range Savage Blows w/ Barrier Break!	
598	Joining from "Ranma 1/2"! Cute piglet pampered<br>by Akane. But when doused in hot water...<br>Tough vs Metal/Black enemies, might Knockback	Joining from "Ranma 1/2"! Thinks of himself as<br>Ranma's rival, but can't find the dojo to fight him.<br>Tough vs Metal/Black enemies, 100% Knockback	
599	Joining from "Ranma 1/2"! When doused in<br>water, Cursed Springs magic turns her into a cat.<br>Attacks have chance of Mini-Wave.	Joining from "Ranma 1/2"! Mighty Amazon who'll<br>fight anyone standing between her and Ranma.<br>100% chance of Mini-Wave.	
600	Joining from "Ranma 1/2"! When doused in water,<br>Cursed Springs magic turns him into a duck.<br>Long-range strikes might Curse Aliens/Zombies.	Joining from "Ranma 1/2"! Dirty tricks master in<br>love with Shampoo... who has no feelings for him.<br>Long-range strikes 100% Curse Aliens/Zombies.	
601	Joining from "Ranma 1/2"! Founder of Anything<br>Goes style, who even Ranma cannot challenge.<br>Area atks might Knockback Red/Floating/Zombies.	Joining from "Ranma 1/2"! A troublesome<br>letch with a habit of stealing underwear...<br>Area atks might Knockback Red/Floating/Zombies.	
602	Joining from "Ranma 1/2"! Ranma's OTHER<br>fiancee, a commanding fighter (with a girlish heart).<br>Chance to Weaken Metal, might Critical.	Joining from "Ranma 1/2"! Polished her fighting<br>skills cooking okonomiyaki at her shop.<br>Chance to Weaken Metal, might Critical.	
603	Joining from "Ranma 1/2"! Rising star of the<br>kendo world, and hopelessly in love with Akane.<br>Chance to Slow/Knockback and Dodge Angels!	Joining from "Ranma 1/2"! In love with girl Ranma<br>at first sight, still shamelessly pursuing Akane.<br>Chance to Slow/Knockback and Dodge Angels!	
604	Die hard fan of Anything Goes Martial Arts.<br>Cat Fist technique is deadly at close range.<br>Massive damage to Floating, with chance to Slow!	Turned into a lady Cat for some reason. Can't<br>figure out why, looking for a way to turn back.<br>Chance to Slow and Dodge Floating attacks.	
605	A pure-hearted Cat loved by all the guys.<br>Awaiting the fiance of her dreams.<br>Chance to strike a Savage Blow!	A Cat who just can't stand boys! Trains while<br>imagining she's beating up that one rude guy!<br>Chance to strike a Savage Blow!	
606	A Cat who admires the Saotome school master,<br>and always trains wearing a cute panda outfit.<br>Collects Extra Money after defeating enemies!	A Cat who admires the Saotome school master.<br>Sold his panda outfit for a cool martial arts gi.<br>Collects Extra Money after defeating enemies!	
607	Une épéiste intrépide venue d'un monde fantastique !<br>Arrivée par hasard dans l'Empire des Chats. Répliques de<br>zone massives à longue portée contre les ennemis noirs.	Curieuse vagabonde qui ne revient chez elle qu'entre deux<br>aventures pour partager histoires et trésors. Répliques de<br>zone massives à longue portée contre les ennemis noirs.	Elle en a assez fait pour devenir une légende, mais elle joue<br>toujours les aventurières. Fléau des Béhémoths, dégâts<br>massifs de zone longue portée contre les ennemis noirs.
608			
609	Version miroir du fidèle gardien, né dans un monde<br>froid et dur. Balèze contre les sans caract.,<br>mini-vagues de devant-derrière, immun. Vagues.	Vision de désespoir de celui qui n'a pas pu protéger ses<br>êtres chers. Balèze contre les sans caract., mini-vagues de<br>Devant-derrière, se renforce après dégâts, immun. Vagues.	
610	Un bon gros morceau d'or pur qui valait<br>deux fois plus avant que le Chat tank ne tombe dedans.<br>Balèze contre les Flottant (Attaque de zone)	Une escouade de Chats briques en or s'est... réunie<br>pour former le Chat roi lingot !<br>Balèze contre les Flottant (Attaque de zone)	Un pharaon Chat doré disparu depuis l'Ancien Empire.<br>Les touristes affluent du monde entier pour le contempler.<br>Balèze contre les Flottant, Immun. toxique (Att. de zone)
611	A Cat who loves to play Godzilla, rampaging<br>through the city streets meowing furiously.<br>Strong vs Black Enemies	Wants to become the king of monsters like Godzilla.<br>Drinks milk daily, hoping to grow to 118.5 meters tall.<br>Strong vs Black Enemies	
612	Dans un royaume félin caché, un génie de 9 ans a mémorisé<br>l'intégralité du contenu des bibliothèques royales.<br>Affaiblit rouges, anges et zombies, avec mini-vague.	Avec sa grande intelligence (et ses grimoires interdits),<br>elle a guidé le Royaume des Chats jusqu'à l'âge d'or.<br>Affaiblit rouges, anges et zombies, avec mini-vague.	
613	Un héros ancestral maintenant allié aux Chats.<br>Il a revisité son look sans le dire à ses parents. 100 %<br>de chances d’immob. les reliques, réplique offensive x1.	Fatigué du poids des traditions familiales, il exprime<br>sa vraie identité avec un nouveau masque de Chat. 100 %<br>de chances d’immob. les reliques, réplique offensive x1.	Fan du mantra « L’art est violent ! ». Consumé par<br>ses ambitions artistiques. Fléau des Colosses/Béhémoths.<br>Immobilise/Recul à 100 % contre reliques, répl. offensive x1.
614	Elle a quitté son palais sur la Lune pour aller<br>manger des pastèques en vacances sur la Terre.<br>Att. de zone pouvant ralentir les ennemis noirs et aliens.	Une superarme ancestrale créée pour défendre un paradis<br>tropical en projetant des noix de coco sur ses ennemis.<br>100 % de ralent. des ennemis noirs/aliens. (Att. de zone)	Une super-arme ancienne qui veille sur les plages.<br>Il paraît que les touristes adorent la visiter.<br>100 % de chances de ralentir les ennemis noirs/aliens/Akus.
615	Un Chat blindé qui adore la sève de chêne.<br>Impossible à attraper avec un filet normal.<br>Assure contre les ennemis rouges et noirs.	Le puissant roi de l'été et sa corne.<br>Toujours invaincu dans le tournoi de sumo des insectes.<br>Assure contre les ennemis rouges et noirs.	
616	Un Chat blindé qui adore la peau des melons.<br>Ne peut s'attraper qu'avec un filet spécial.<br>Assure contre les ennemis flottants et aliens.	Le champion de l'été, au corps solide et brillant.<br>Il continue à se battre même une fois le combat terminé.<br>Assure contre les ennemis flottants et aliens.	
617	Pour sauver le monde, ce garçon a fait un pacte avec les<br>Akus. Ses sbires servent une bonne cause... Pour l’instant.<br>Att. de zone longue portée, ralenti les Akus à 100 %.	Seul son désir de sauver le monde empêche Satoru d’être<br>corrompu par la magie de son pacte avec les Akus.<br>Att. de zone longue portée, ralenti les Akus à 100 %.	Le protecteur des Chats, descendu ici-bas<br>pour vaincre le roi des Akus ! Attaques de zone<br>longue portée, repousse/ralentit les Akus à 100 %.
618	Création mécanique imprégnée de l'âme d'un jeune<br>rebelle. Livre des combats sanglants pour sa juste cause.<br>Dégâts de zone massifs contre Akus et ennemis noirs.	Sa croisade sans fin a souillé son propre esprit pour le<br>transformer en fantôme assoiffé de vengeance.<br>Dégâts de zone massifs contre Akus et ennemis noirs.	Rancœur et fureur incarnées sur le champ de bataille.<br>Le brasier de son cœur conduira le monde au trépas.<br>Dégâts de zone massifs contre Akus et ennemis noirs.
619	Cette chercheuse folle a pris ses camarades de classe<br>comme cobayes pour synthétiser l'infect élixir Mateki.<br>Assure contre les ennemis anges et Akus, attaques perforantes.	A conclu un pacte avec les ennemis Akus pour atteindre la formule<br>Mateki ultime et réduire toute l'académie en esclavage.<br>Assure contre les ennemis anges et Akus, attaques perforantes.	Une foldingue qui crée des élixirs pour asservir les démons.<br>Elle accueille chaos et mort avec un sourire envoûtant.<br>Assure contre anges et Akus, attaques perforantes à 100 %.
620	Dragon malsain, né des miasmes et destiné à provoquer le<br>désastre et la destruction chez ses pauvres ennemis mortels.<br>Balèze contre rouges et Akus, chance de repousser/perforer.	Possède l’irrésistible pouvoir d’annihiler le royaume<br>céleste grâce à de sombres pactes avec les Akus.<br>Balèze contre rouges et Akus, chance de repousser/perforer.	Un dragon noir imprégné de lumière ombreuse. Son<br>souffle a dévasté moult mondes. Assure contre Akus/rouges<br>avec 100 % de ch. de repousser et ch. de perfor. de bouclier
621	Un courageux érudit qui s'est aventuré dans le vortex<br>pour comprendre la vraie nature des Akus, engloutissant<br>toute sa fortune dans son obsession.	À mesure qu'il acquiert du savoir interdit, il devient<br>lui-même un Aku. Chance d'attaque critique,<br>avec attaques perforantes.	Érudit qui a sacrifié sa vie pour étudier les Akus.<br>A une curiosité sans fin sur les Chats qui menacent les Akus.<br>Chances d’attaques critiques avec attaques perforantes.
622	Un bébé né de l’œuf du Seigneur Ruine. Pense que<br>les Chats qui l’ont trouvé et élevé sont ses parents.<br>Assure contre les sans caract. et 100 % de rép. offensive.	Les Chats élèvent étonnamment bien le Seigneur Ruine.<br>Dans toute sa jeunesse, rien n’est épargné par sa fureur.<br>Assure contre sans caract., rép. offensive. et recul.	
623	Un Chat barde joueur de flûte qui va de ville en ville.<br>La mélodie qu’il joue vous pousse à le suivre...<br>100 % d’Affaiblissement vs Akus, chance de perforation.	Il adopte l’anonymat pour mieux maîtriser la flûte. Vend des<br>bobs personnalisés pour financer son voyage.<br>100 % d’Affaiblissement vs Akus, chance de perforation.	
624	Joining the fight from the River City series!<br>Bad-boy who defends the weak and defies the strong!<br>	Joining the fight from the River City series!<br>Plays dodgeball to train his body for taking on<br>the world! Long-range Area strikes!	
625	Est-ce un Chat ?<br>Il a quand même un drôle d’air<br>avec ces cheveux qui brûlent...	Le monde peut-il encore en supporter un autre ?<br>Les attaques de zone de ce spécimen brisent<br>les barrières et perforent les boucliers à 100 %.	
626			
627			
628			
