000	安価で生産できる基本キャラ<br><br>	鍛えぬいた筋肉がチャームポイントの<br>基本キャラ<br>	鍛えぬいた筋肉に男前なタテガミが<br>チャームポイントの基本キャラ<br>
455	異次元からやってきた宇宙をまたにかける刑事<br>ラブリー光線銃で宇宙の悪人を一網打尽！(範囲攻撃)<br>赤い敵と黒い敵と天使の動きを止める波動を放つ	宇宙戦艦に乗ってワルモノ退治をするセクシー刑事<br>一撃必殺のキューティービームで星ごと爆破(範囲攻撃)<br>赤い敵と黒い敵と天使の動きを止める波動を放つ	
456	Fate/stay night [HF]から参戦！<br>衛宮邸に通い、家事を担当している少女<br>黒い敵とエイリアンとゾンビに打たれ強い(範囲攻撃)	Fate/stay night [HF]から参戦！<br>「聖杯戦争」で傷つく士郎を心から案じている<br>黒い敵とエイリアンとゾンビに打たれ強い(範囲攻撃)	
457	正義の味方を目指す少年に憧れるネコ<br>まずは英霊召喚しようと、ずっと部屋にこもっている<br>黒い敵にめっぽう強い	未だ英霊を呼べていないネコ<br>初心にかえり、夜回りをするため外に出てみた<br>黒い敵にめっぽう強い	
458	剣も使える弓兵の英霊に憧れるネコ<br>ネコ士郎を敵視しているが真意は不明<br>波動によるダメージを無効にする	弓兵らしく弓で戦い始めたネコ<br>ネコ士郎を敵視しすぎて夜も眠れない<br>波動によるダメージを無効にする(遠方攻撃)	
459	鎖を華麗に扱う大人な女性に憧れるネコ<br>目隠しのせいであまり前が見えてない<br>たまに天使の動きを止める	伝説の生き物を手に入れたネコ<br>目隠しとペガサスの後頭部でほぼ前が見えていない<br>たまに天使の動きを止める	
460	激辛マーボー豆腐を完食する神父に憧れるネコと<br>戦況を見守る英霊に憧れるネコ(範囲攻撃)<br>たまに黒い敵の攻撃力を下げ、体力低下で攻撃力上昇	戦況を見守ることに飽きたネコと<br>激辛マーボー豆腐に挑戦し続けるネコ(範囲攻撃)<br>たまにゾンビの攻撃力を下げ、体力低下で攻撃力上昇	
461	ネコなのか何なのか、<br>まったく正体不明な異次元のキャラクター<br>進化させると…	ネコなのか何なのか、<br>まったく正体不明な異次元のキャラクター<br>波動によるダメージを無効にする(全方位攻撃)	
462	宇宙の果てで崩壊しかけた体を接着剤で直してくれた<br>「ネコ」という生命体に惹かれにゃんこ軍団参戦<br>属性を持たない敵の動きを必ず止める(全方位攻撃)	宇宙の果てで本来の力を失った謎の生命体<br>ネコが強そうな塗装をしてくれたが性能は据え置き<br>属性を持たない敵の動きを必ず止める(全方位攻撃)	
463	古代より伝わる未知のクリスタルを捧げた祭殿兵器<br>異次元の力は制御できず、世界を終末へと導く(全方位攻撃)<br>波動を打ち消し、ゾンビに打たれ強く極ダメージを与える	「四次元クリスタル」を解析する政府の極秘研究機関<br>制御不能の強大な力は自らをも破滅へと導く(全方位攻撃)<br>波動を打ち消し、ゾンビに打たれ強く極ダメージを与える	
464	わんこ軍団がネットオークションに出品していた<br>土偶戦士をにゃんこ軍団が送料込みの２２円で落札<br>属性を持たない敵に打たれ強い(範囲攻撃)	専門家による調査の結果、大昔のネコが作り上げ<br>わんこ達に高く売りつけた自家製ハニワだと判明<br>属性を持たない敵に打たれ強い(範囲攻撃)	
465			
466	聖神ナディアにより闇の次神子として創出された。<br>スーパーゼウスとは双子の兄弟である。<br>属性を持たない敵に極ダメージを与える(遠方範囲攻撃)	６聖卵で魔性を脱皮したゼウスは虹光波を発しながら<br>飛翔し続ける。神か悪魔なのか？<br>属性を持たない敵に極ダメージを与える(遠方範囲攻撃)	
467	天使たちの住む星・天聖界のトップとして聖神ナディアに<br>創出された次世代のリーダー。お金と美女に弱い。<br>属性を持つ敵に打たれ強く、必ず攻撃力を下げる(範囲攻撃)	全能の神ゼウスは、すべての悪魔をねじふせる<br>オールマイティの切り札なのだ！！<br>属性を持つ敵に打たれ強く、必ず攻撃力を下げる(範囲攻撃)	太陽に愛されし全能神は究極スケールUP<br>し恒聖皇へ黄金進化果たす！<br>属性を持つ敵に打たれ強く、必ず攻撃力を下げる(範囲攻撃)
468	聖神子フェニックスは愛と勇理の結晶として<br>誕生した次界創造の主なのだ！(範囲攻撃)<br>たまに浮いてる敵と黒い敵とエイリアンの動きを止める	高飛速し始めると聖戦衣化し次界天魔球の超悪魔との<br>対決に挑むのだ！行手は無縁ゾーン。(範囲攻撃)<br>たまに浮いてる敵と黒い敵とエイリアンの動きを止める	無縁ゾーンに突入したフェニックスは<br>聖神パシー受身により変貌の己を知る。ロココ誕生！<br>浮き、黒、エイリアンにめっぽう強く、動きを止める
469	魔性暗黒ゾーンに君臨する阿修羅デビルは<br>全悪魔界をブラック戒律で縛るのだ！！<br>天使の動きを必ず遅くする(遠方範囲攻撃)	聖域界に出現する偽神デビルは天使を<br>魔性暗黒ゾーンに落とす分化身像なのだ！！<br>天使の動きを必ず遅くする(遠方範囲攻撃)	怪しき月光が魔性を掻き乱し恒聖皇誕生に同調<br>デビル魔黒宙ヘッドに変貌！銀河は更に揺れる！？<br>天使の動きを必ず遅くする(遠方範囲攻撃)
470	豊・光・動・夢・遊・霊の６の聖球を奪った<br>マリアはパワーアップ！無敵の魔重進攻を開始？<br>波動ダメージを無効にし、赤い敵に超ダメージを与える	魔戦歴を経たマリアは６聖球ソードを自在に<br>操作し次界魔豊光動夢遊霊域の発見征服へ加速進攻？！<br>波動ダメージを無効にし、赤い敵に超ダメージを与える	
471	12天使が創造した聖ボット。悪魔界のウワサによると<br>12の理力均衡を狂わせると急激に減力とか！<br>浮いてる敵にめっぽう強い	聖神皇は増力する超悪魔に抗戦すべく、<br>12天使が創造した聖ボットなのだ。<br>エイリアンにめっぽう強い	
472	魔限界を超えたパワーが炸裂し魔身が<br>露出し始める！魔肖崩壊か、それとも天聖界？<br>ゾンビに超ダメージを与える(全方位攻撃)	６魔極の念魔で出現した魔偶王。<br>無化する魔性般若パワーが天聖界を覆い隠す！<br>ゾンビに超ダメージを与える(全方位攻撃)	
473	聖動源の下に誕生した天使。達急動で魔鬼を瞬時に<br>捕らえ一気酔剣で魔性を断ち切る理力の持主(範囲攻撃)<br>次界若神子の１！エイリアンとゾンビに超ダメージ	如面導きに相乗聖動が起り次界へ高飛速を始めた神帝１。<br>日出剣を新たに手中にし若神子からの聖儀完了！<br>未だ次界？エイリアンとゾンビに超ダメージ(範囲攻撃)	聖輝体変化開始のロココより壮聖光を浴びたヤマトに<br>積星が浮上し始める！！次動星雲が吠える<br>エイリアンとゾンビに超ダメージを与える(範囲攻撃)
474	アーメン十字架パワーとウィンクアイがクロスした時、<br>すごい光が発生！！ネ暗な悪魔も真白まじめに<br>なっちゃう！！ドジよ～　たまに赤い敵の攻撃力ダウン	黄金クロス砲で天魔界を飛び廻る魔人を打ち落す<br>パワーアップ天使。必殺真白まじめ光線を聖卵に<br>封じ込め聖戦出撃！たまに赤、黒の攻撃力ダウン	次界案内古師誘導で迷宮結ゾーンに着任の<br>アドバンテージ天使！剣玉十字架棒をフルスウィングし、<br>聖球をバッティング！たまに赤、黒、ゾンビの攻撃力ダウン
475	聖猫源の中で誕生した天使。光の理力で<br>魔犬を一刀両断のもとに打ち砕くヨ！<br>黒い敵にめっぽう強い(範囲攻撃)	にゃん子導きに相乗聖動が備わり次界への高飛速を<br>始めた猫帝１。勝手に無縁ゾーンへ突入！？<br>黒い敵にめっぽう強い(範囲攻撃)	
476	悪和合球に誕生した悪魔は次界へ魔獣進攻を開始！？<br>魔タタビをあげると見のがしてくれるゾ！<br>天使にめっぽう強い(範囲攻撃)	魔性般にゃパワーで変貌をとげた悪魔王。すべての<br>愛とネコ缶を吸収肥大化し天肉球をのみ込むとか！<br>天使にめっぽう強い(範囲攻撃)	
477	カタ～い体を活かして悪魔の攻撃を耐え抜いちゃう！<br>でも痛くなってきたら天使様を盾にしちゃうのよネ！<br>エイリアンにめっぽう強い(範囲攻撃)	天肉球の商売繁盛を見守る老守！？魔物の猛攻で<br>趣味のバス釣りに集中できない！天使さまあ～<br>エイリアンにめっぽう強い(範囲攻撃)	
478	宇宙の果てからやって来たと言われる幻の精霊<br>降り立った星に万物の源を宿す。エイリアンに<br>超打たれ強く、たまに攻撃力を下げてバリアを貫く	宇宙の運命を見定める幻の精霊。世界を構成する<br>元素を自在に操り、その力はバリアをも貫く<br>エイリアンに超打たれ強く、必ず攻撃力を下げる	
479	【成分】砂糖・水飴・ゼラチン・濃縮猫汁2％<br>【保存方法】直射日光・高温多湿を避けてください<br>※体力が高くノックバック回数が多い	【成分】砂糖・水飴・ゼラチン・ヒゲ・濃縮猫汁22％<br>【保存方法】直射日光が当たる縁側にて保存<br>※見つけた人はラッキーが訪れるという幸運のグミ	
480	ゆるゲゲから参戦！<br>普段は人間社会にとけこむ人の姿をしたネコの妖怪<br>	ゆるゲゲから参戦！<br>手なずけたボス猫とともに日光浴スポットを探す<br>範囲攻撃を取得	
481	異次元エネルギーの強大な力に魅せられた高名な科学者<br>生命体を破壊し、クリスタルに昇華する残酷な技術を持つ<br>黒い敵とエイリアンに超打たれ強い(範囲攻撃)	クリスタルの圧倒的な力に取り憑かれた名高い科学者<br>自らも力への渇望と破壊の衝動を止めることは出来ない<br>黒い敵とエイリアンに極ダメージを与える(範囲攻撃)	
482	ユキの弟。天上の世界に少年の姿で流れ着いた<br>過去の罪と向き合い、前に進むべく旅に出る(範囲攻撃)<br>たまに天使とエイリアンの動きを遅くし、攻撃力を下げる	流れ着いたところをネコに助けられ、協力を得たことで<br>新たなタマシイを呼び出す能力を取得したソウマ(範囲攻撃)<br>たまに天使とエイリアンの動きを遅くし、攻撃力を下げる	
483	消滅都市から参戦！旅人カノと少年ソウマ<br>自らの罪と向き合い、"消滅都市"を目指す<br>エイリアンに打たれ強い(範囲攻撃)	ソウマと一緒に浜辺に打ち上げられていたネコを乗せ<br>"消滅都市"を目指して旅をする<br>エイリアンに打たれ強い(範囲攻撃)	
484	漆黒の闇に身も心も染まったネコヴァルキリーの妹<br>天界の荒事を一身に請け負う極秘エージェント<br>必ず波動を放ち、波動ダメージを無効にする(範囲攻撃)	アジアの裏社会で暗躍する極秘エージェントであり<br>神さまバンドのボーカルも務めるミラクルアイドル<br>必ず波動を放ち、波動ダメージを無効にする(範囲攻撃)	
485	ケリ姫スイーツに登場するアラカルテット四姉妹の四女<br>悪戯好きでケリ姫によくちょっかいを出している<br>必ず天使とゾンビとエイリアンの攻撃力を下げる	ケリ姫スイーツに登場するアラカルテット四姉妹の四女<br>金品強奪、にゃんこ誘拐未遂と札付きの悪戯っ娘<br>必ず天使とゾンビとエイリアンの攻撃力を下げる	
486	ケリ姫スイーツに登場するキャラクター<br>アラカルテット四姉妹に仕えていた女剣士<br>必ず波動を放つ	ケリ姫スイーツに登場するキャラクター<br>働き者で人当りが良く、みんなの人気者<br>必ず波動を放つ	
487	エヴァンゲリオンから参戦！<br>反ネルフ組織であるヴィレが改修・運用する機体<br>浮いてる敵に3種の妨害効果をたまに発揮する(遠方範囲)	エヴァンゲリオンから参戦！<br>様々な銃器を使いこなし、援護射撃を得意とする<br>浮いてる敵に3種の妨害効果をたまに発揮する(遠方範囲)	
488	ヴィレ保有の巨大戦艦を見様見真似で作ったネコ達<br>外観にこだわりを発揮し、中身はほとんど手付かず<br>天使とゾンビに超ダメージを与える(範囲攻撃)	ネルフ撃滅を目標に掲げ、大空を舞うネコ搭載巨大戦艦<br>気まぐれで爆撃するネコ隊員達を配備した凶悪兵器<br>天使とゾンビに超ダメージを与える(範囲攻撃)	
489	エヴァンゲリオンから参戦！<br>明るくおちゃめな性格で、シンジの保護者役を務める<br>たまにバリアを貫き、エイリアンの動きを遅くする	エヴァンゲリオンから参戦！<br>反ネルフ組織ヴィレのリーダーを務める冷酷な女性<br>たまにバリアを貫き、エイリアンの動きを遅くする	
490	エヴァンゲリオンから参戦！<br>ネルフ技術開発部に所属する、クールな女性研究者<br>たまにエイリアンの攻撃力を下げる(範囲攻撃)	エヴァンゲリオンから参戦！<br>反ネルフ組織ヴィレの幹部として、シンジに冷徹に振舞う<br>たまにエイリアンの攻撃力を下げる(範囲攻撃)	
491	エヴァンゲリオンから参戦！<br>シンジのことを覚えていないようだが……？<br>黒い敵に打たれ強く、たまに攻撃力を下げる(範囲攻撃)	エヴァンゲリオンから参戦！<br>自分が何者なのか知りたいと思い始めている<br>黒い敵に打たれ強く、たまに攻撃力を下げる(範囲攻撃)	
492			
493	マナの力で世界を創造した全ての根源たる女神<br>始まりの神器「万物の創樹」で全ての敵を虚無へと還す<br>属性を持つ敵に極ダメージを与える(遠方範囲攻撃)	マナの力により真なる力を解放した始まりの女神<br>天地創造の神器「万物の神創樹」で敵を断罪する<br>属性を持つ敵に極ダメージを与える(遠方範囲攻撃)	
494	一日艦長に就任したマジカル美女。これでもかと<br>ネコを乗せ、沈みゆく船の舵を取る(範囲攻撃)<br>たまに赤、黒、メタルな敵の動きをしばらく止める	クルーからの支持を受け任期を延長した一日艦長<br>水平線に沈む夕日をネコと眺めるのが至福(範囲攻撃)<br>たまに赤、黒、メタルな敵の動きをしばらく止める	
495	オーレ！の掛け声で華麗に舞う勇敢な闘牛士にゃんこ<br>赤いマントをひるがえし敵の攻撃をひらりとかわす<br>たまに赤い敵からの攻撃を無効化する	オーレ！の掛け声で華麗に舞う踊り子にゃんこ<br>敵の攻撃も紳士のお誘いもひらりとかわす<br>たまに赤い敵からの攻撃を無効化する	
496	伝説の武具「にゃんこ薙刀」の呪いと引き換えに<br>何者にも屈しない肉体へと変貌した戦国の姫。ゾンビと<br>黒い敵の動きを必ず遅くし、たまに渾身の一撃を放つ	伝説の武具「にゃんこ薙刀」の呪いと調和し<br>立ちはだかる敵を一掃する戦国の美姫。ゾンビと<br>黒い敵の動きを必ず遅くし、たまに渾身の一撃を放つ	武具の呪いを昇華し、動乱の天下に太平を<br>もたらす凛々しき武神。ゾンビと黒い敵の<br>動きを必ず遅くし、たまに渾身の一撃を放つ
497			
498			
499			
500			
501	Switch版「ふたりで！にゃんこ大戦争」記念キャラ<br>ゲーム大好き、どこでもいっしょなスーパー仲良し兄弟<br>属性を持たない敵に打たれ強い(範囲攻撃)	Switch版「ふたりで！にゃんこ大戦争」記念キャラ<br>大人になっても一緒にゲームをする仲良しファミリー<br>属性を持たない敵に打たれ強い(範囲攻撃)	
502	何でもお金で解決しようとするブルジョワ令嬢<br>お金で解決できない場合は実力行使。たまに<br>属性を持たない敵からの攻撃を無効化し、波動を放つ	世間知らずのブルジョワ令嬢。場違いな発言で周囲を<br>困惑させるがメカ執事がすかさずフォロー。たまに<br>属性を持たない敵からの攻撃を無効化し、波動を放つ	きらびやかな生活を送る超ブルジョワ令嬢<br>庶民が行く牛丼店の味が今も忘れられない。たまに<br>属性を持たない敵からの攻撃を無効化し、波動を放つ
503	ドットヒーローズから参戦！<br>クラフトカードにドットで描かれたネコ<br>命が吹き込まれる時を待っている	ドットヒーローズから参戦！<br>ゲームの近代化と共に進化を果たしたネコ<br>これからの時代は３Ｄだと確信している	
504	新人ネコに泥棒のアレコレを教える世話好きおやじ<br>口は悪いがサングラスの奥につぶらな瞳を隠している<br>敵を倒したときにお金を多くもらえる	自称、伝説の泥棒団を束ねていたリーダー<br>ガマトトの脱退直後に膝を痛めて自らも引退<br>敵を倒したときにお金を多くもらえる	
505	天を貫く巨大な矛を携え、地を闊歩する伝説の角龍族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに属性を持たない敵をふっとばして遅くする	輝ける滅びの光を自らの力に変えた伝説の角龍族<br>圧倒的な破壊力で敵を攻撃する(範囲攻撃)<br>たまに属性を持たない敵をふっとばして遅くする	龍角山で滅びの光を浴び真の力に目覚めた角龍皇帝<br>激しい咆哮で全ての生命を破滅へいざなう(範囲攻撃)<br>必ず属性を持たない敵をふっとばして遅くする
506	メルクストーリアから参戦！<br>海賊だった過去を捨て、とある海兵の部下となった青年<br>必ず生き残り、たまに渾身の一撃を放つ(範囲攻撃)	メルクストーリアから参戦！<br>ただ一人のために自分の力を使おうと誓った青年<br>必ず生き残り、たまに渾身の一撃を放つ(範囲攻撃)	
507	謎のマントで空を飛ぶヒーロー気取りのただのネコ<br>一人暮らしを夢見てレジ打ちバイトに明け暮れている<br>属性を持たない敵の攻撃力を下げ、波動を打ち消す	ポテチの食べすぎでマッチョ化した空飛ぶネコ<br>将来の夢は歌手で毎日、公園で歌の練習を欠かさない<br>属性を持たない敵の攻撃力を下げ、波動を打ち消す	
508	強いやつと戦うため、修業の日々を送るネコ<br>出不精なので強いやつにはまだ会えた試しがない<br>たまに黒い敵の動きを止める	俺より強いやつに会いたくて旅を続けるネコ<br>俺より強いやつにしか会えず０勝２２連敗中<br>たまに黒い敵の動きを止める	
509	可愛らしいお団子ヘアーが特徴的なネコ<br>スピニングバードキックを見よう見まねで特訓中<br>ごくまれにクリティカルを放つ	ICPO捜査官の美女ファイターに憧れるネコ<br>美しき回転キックは対戦相手も自分も酔わせる<br>ごくまれにクリティカルを放つ	
510	ストリートファイターVから参戦！<br>強き者との死合いを求め闘い続ける格闘家<br>属性を持たない敵に極ダメージを与える(範囲攻撃)	ストリートファイターVから参戦！<br>殺意の波動を纏った「拳を極めし者」<br>属性を持たない敵に極ダメージを与える(範囲攻撃)	
511	ストリートファイターVから参戦！<br>真の格闘家への道を追い求める主人公<br>たまに渾身の一撃を放つ(範囲攻撃)	ストリートファイターVから参戦！<br>自分より強いやつを探し世界を旅する求道の格闘家<br>たまに渾身の一撃を放つ(範囲攻撃)	ストリートファイターVから参戦！<br>鬼神の如き強さを誇る「殺意の波動」の化身<br>たまに渾身の一撃を放ち、体力低下で攻撃力上昇
512	ストリートファイターVから参戦！<br>行方不明の父を探すためICPOの捜査官となった<br>たまに赤、黒、エイリアンをふっとばす	ストリートファイターVから参戦！<br>華麗に繰り出す「百烈脚」で敵を圧倒する<br>たまに赤、黒、エイリアンをふっとばす	
513	ストリートファイターVから参戦！<br>祖国の平和のために戦うハードボイルドなファイター<br>浮いてる敵に打たれ強く、攻撃力を下げ遅くする	ストリートファイターVから参戦！<br>「サマーソルトキック」で憎き悪を断つ<br>浮いてる敵に打たれ強く、攻撃力を下げ遅くする	
514	ストリートファイターVから参戦！<br>「赤きサイクロン」の異名を持つ巨漢のプロレスラー<br>たまにゾンビからの攻撃を無効化する(全方位攻撃)	ストリートファイターVから参戦！<br>「サイクロンラリアット」で敵を確実に仕留める<br>たまにゾンビからの攻撃を無効化する(全方位攻撃)	
515	ストリートファイターVから参戦！<br>アマゾンの大自然で育った心やさしい戦士<br>エイリアンに超ダメージを与える(全方位攻撃)	ストリートファイターVから参戦！<br>野性味あふれる「ローリングアタック」で敵を粉砕<br>エイリアンに超ダメージを与える(全方位攻撃)	
516	ストリートファイターVから参戦！<br>ヨーガの奇跡で変幻自在に戦うインドの修行僧<br>属性を持たない敵の攻撃力を必ず下げる(範囲攻撃)	ストリートファイターVから参戦！<br>火神アグニの力を借り幻の炎を自在に操る<br>属性を持たない敵の攻撃力を必ず下げる(範囲攻撃)	
517	ストリートファイターVから参戦！<br>リュウの兄弟弟子にして親友、そして最大のライバル<br>赤、浮き、天使にめっぽう強く、ふっとばす(全方位攻撃)	ストリートファイターVから参戦！<br>リュウの最大のライバルで必殺技の「昇龍拳」を放つ<br>赤、浮き、天使にめっぽう強く、ふっとばす(全方位攻撃)	
518	殺意の波動に目覚めてしまったキリンネコ<br>その禍々しい姿は見るものを震え上がらせる<br>属性を持たない敵にめっぽう強く、波動を無効(遠方範囲)	殺意の波動を解放し、真の姿に変貌したネコ<br>弱き者との死合いを嗅ぎつけ全速力で駆け付ける<br>属性を持たない敵にめっぽう強く、波動を無効(遠方範囲)	
519	光の住人を根絶やしにすべく闇より現れた悪の化身<br>たまに圧倒的な負の力を込めた渾身の一撃を放ち<br>1度だけ生き残り、体力減少で攻撃力上昇(範囲攻撃)	正義の光に追い詰められ最終形態を見せた悪の幻影<br>一度だけ蘇生した死の淵から猛攻を繰り出し、<br>時として冒険者達に怨念を込めた一撃を与える	
520	七つのありがたいご利益を一身に集めた福の神<br>集めた福でみんなに幸せを振りまく、つもりはない<br>属性を持つ敵に色んな妨害効果をたまに与える(遠方攻撃)	ご利益に溺れ、道を踏み外した元・福の神<br>盗んだバイクで夜の街を爆走し爆音と福を振りまく<br>属性を持つ敵に色んな妨害効果をたまに与える(遠方攻撃)	
521	個性的な髪型が自慢のキャラクター<br>髪の毛の重さはヘビー級<br>古代種の動きを一瞬止める(遠方範囲攻撃)	髪の毛をツインテールにした本気モードお嬢様<br>魔力とリボンの重さはスーパーヘビー級<br>古代種の動きを一瞬止める(遠方範囲攻撃)	
522	斧を落としたものにチャンスを与える泉のネコ<br>嘘をつく敵には容赦なくその斧をぶん投げる<br>(遠方範囲攻撃)	代理で出場した何かの大会でマグレ優勝したネコたち<br>思い入れのないメダルはお客さんにプレゼント<br>(遠方範囲攻撃)	
523	月謝4000円(税込)の武道家育成塾に週2で通い<br>天下一を目指す社会人2年目の格闘にゃんこ<br>ゾンビに打たれ強い	自作武器で師範に上り詰めた武道家にゃんこ<br>門下生に負け知らずも公式試合ではいつも反則負け<br>ゾンビに打たれ強い	
524	「東京スカイツリー」から参戦！<br>好奇心旺盛でステキな発見にワクワクする女の子<br>たまに渾身の一撃を放つ	ステキな発見ができたり、うれしいことが<br>あったりするとあたまの星がキラキラキラとひかる<br>たまに渾身の一撃を放つ	
525	株式会社マサカリに務めるエリート社員きんちゃん<br>今日も部下の子熊に担がれ山稽古に勤しむ(遠方範囲)<br>たまに天使の動きを遅くし、渾身の一撃を放つ	アシガラ山岳基地から緊急出撃し結集する「獣」達<br>猛獣バズーカではびこる悪をこらしめる(遠方範囲攻撃)<br>たまに天使の動きを遅くし、渾身の一撃を放つ	
526	クリスマス限定スタイルの無邪気な双子<br>肉球リースが繰り出す連撃パンチで寒さも吹き飛ばす<br>浮いてる敵と天使に超ダメージを与える(範囲攻撃)	「いい子」でサンタを迎え撃つ仲良しの双子<br>聖夜に燃える闘志も眠気には勝てないお年頃<br>浮いてる敵と天使に超ダメージを与える(範囲攻撃)	
527	目が覚めたらスライムになっていたキャラクター<br>新米勇者たちを探し求め街の周りだけをさまよう<br>必ず波動を放つ	お盆になると一斉に現れるキャラクター<br>見る者を癒やし、近づくものに容赦ない一撃と<br>波動をお見舞いする	
528	極寒の地で流行りのダンスをマスターしたネコ<br>ダンスで鍛えた足技の破壊力は恐ろしや<br>古代種に超ダメージを与える	自家製ウォッカを飲み狂うちょっとお偉い兵隊ネコ<br>酔いが回ると見境なくダンスを踊りまくる<br>古代種に超ダメージを与える	
529	千の呪いに蝕まれ、行く当てもなく彷徨う少女<br>自分の中に眠るチカラをまだ知らない(遠方範囲)<br>属性を持つ敵をごくたまにふっとばし、必ず烈波を放つ	人の優しさに触れることで愛される温もりを知り<br>呪いを祈りに昇華させ、人々を救う聖女(遠方範囲)<br>属性を持つ敵をたまにふっとばし、必ず烈波を放つ	
530	ケリ姫スイーツに登場するアラカルテット四姉妹の三女<br>お金と賭け事が大好きなお嬢様<br>ゾンビにめっぽう強い(全方位攻撃)	ケリ姫スイーツに登場するアラカルテット四姉妹の三女<br>ケリ姫の私財をばらまいて敵を蹴散らす<br>ゾンビにめっぽう強い(全方位攻撃)	
531	演劇「もりのクマ先生」の主役<br>自分より目立つものにコブシを振り下ろす<br>属性を持たない敵に極ダメージを与える(範囲攻撃)	演劇「もりのクマ先生」の黒子<br>自分の前に立つものを闇に紛れて暗殺する<br>黒い敵に極ダメージを与える(範囲攻撃)	演劇「もりのクマ先生 of THE END」の主役<br>前作の主役がゾンビになって蘇るB級ホラー作品<br>ゾンビに極ダメージを与える(範囲攻撃)
532	敗者は勝者の家来になる、と勝手に宣言して<br>一族のオキテにまで残した迷惑な古代戦士<br>たまにメタルな敵以外の攻撃力を下げる(範囲攻撃)	仮面を外してありのままの姿を見せた古代戦士<br>一族の悲願であるにゃんこっぽいケモノを手に入れた<br>たまにメタルな敵以外の攻撃力を下げる(範囲攻撃)	
533	学校帰りに任務を遂行する天才狙撃キッズ<br>戦場に現れれば争いを一発の弾で制圧する<br>エイリアンと赤い敵しか攻撃できない(遠方範囲)	家事手伝いと暗殺任務を両立する天才狙撃キッズ<br>闇夜の街で争いが起これば一発の弾で鎮圧する<br>エイリアンとゾンビしか攻撃できない(遠方範囲)	
534	亡者が行きつく冥府を統べる偉大なる神<br>魂の神器「審判の鎌」で邪悪なる者を断罪する<br>毒撃とワープを無効にする(範囲攻撃)	罪深き命を闇に引きずり込む冥界の神<br>処刑の神器「審判の神鎌」ですべての業を浄化する<br>毒撃とワープを無効にする(範囲攻撃)	罪深き命を常闇へいざなう冥界の大いなる神<br>創造の果実を刈り、すべての業を救済する<br>毒撃とワープを無効にする(範囲攻撃)
535	電子世界から人気バーチャル・シンガー登場！<br>ポップでキュートな歌姫(範囲攻撃)<br>赤、浮き、天使にめっぽう強く、攻撃力を一瞬下げる	電子世界から人気バーチャル・シンガー登場！<br>清楚で可憐な歌声が魅力的な歌姫(範囲攻撃)<br>赤、浮き、天使にめっぽう強く、攻撃力を一瞬下げる	
536	電子世界から人気バーチャル・シンガー登場！<br>春の訪れを知らせる特別な歌姫(遠方範囲攻撃)<br>エイリアンの動きを一瞬止め、たまにバリアを貫く	電子世界から人気バーチャル・シンガー登場！<br>桜舞う春の歌を届ける特別な歌姫(遠方範囲攻撃)<br>エイリアンの動きを一瞬止め、たまにバリアを貫く	
537	電子世界から人気バーチャル・シンガー登場！<br>パワフル＆チャーミングなツインボーカル(遠方範囲)<br>黒い敵とメタルな敵をたまにふっとばして動きを遅くする	電子世界から人気バーチャル・シンガー登場！<br>若さあふれる歌声がフレッシュなツインボーカル(遠方範囲)<br>黒い敵とメタルな敵をたまにふっとばして動きを遅くする	
538	ポップでキュートなバーチャル・シンガーに憧れるネコ<br>人気の曲を歌ってみたら部屋の窓ガラスが割れた<br>たまに浮いてる敵からの攻撃を無効化する	世界的な歌姫に一歩近づいた気がするネコ<br>次のライブはかなり前の席が取れた<br>たまに浮いてる敵からの攻撃を無効化する	
539	人気のスポーツに手を出したにわかネコ<br>わんチームに負けじとにゃんチームを統率する<br>黒い敵にめっぽう強く、波動を無効(遠方範囲攻撃)	より強そうなスポーツをはじめたネコ<br>頑丈な防具で身を固めてベンチを温め続ける<br>黒い敵にめっぽう強く、波動を無効(遠方範囲攻撃)	
540	地球侵略のため宇宙より飛来した謎のU.F.O.<br>「濃い濃いソース」が人類のすきっ腹を直撃<br>たまにバリアを貫き、ワープ無効(範囲攻撃)	地球侵略のため意気投合したネコと焼そばU.F.O.<br>香り高きソースで逃げ惑う人類の胃袋をキャッチ<br>たまにバリアを貫き、ワープ無効(範囲攻撃)	
541	普段はネコとして生活しているがその正体は<br>食生活を守るヒーローネコヤキソバン！<br>たまにメタルな敵以外をふっとばす(範囲攻撃)	うまいソース、太い麺、大きいキャベツが<br>味わえる焼そばU.F.Oをこよなく愛する巨大ネコ<br>たまにメタルな敵以外をふっとばす(範囲攻撃)	
542	年中短パンで過ごすわんぱく少年<br>将来の夢は学校の先生になること<br>	猫田大学を目指して猛勉強する受験生<br>先生になるためがんばるのでにゃ～る<br>	
543	居場所を見つけられないもう一人のキャスリィ<br>膨らむ憎悪が内なる呪いに身を委ねよとささやく<br>必ず敵を呪い、烈波を放つ(遠方範囲攻撃)	呪いに魂を飲まれる事で災いそのものと化した魔女<br>救いを求める者に終焉という安らぎを与える<br>必ず敵を呪い、烈波を放つ(遠方範囲攻撃)	
